parent,child,hits,mean,median
,,,,
SALMO,TRUTTA,695,13.21,13.21
SALMO,SALAR,615,13.14,13.14
SALVELINUS,ALPINUS,485,13.5,13.5
PERCA,FLUVIATILIS,230,13.5,13.5
TROUT,TRUTTA,226,12.29,12.29
ONCORHYNCHUS,MYKISS,212,12.92,12.92
RUTILUS,RUTILUS,199,13.93,13.93
ESOX,LUCIUS,179,11.995,11.995
SALVELINUS,FONTINALIS,163,12.27,12.27
ONCORHYNCHUS,KISUTCH,138,12.48,12.48
SALMON,SALAR,135,11.71,11.71
ONCORHYNCHUS,NERKA,105,12.16,12.16
ONCORHYNCHUS,TSHAWYTSCHA,101,12.11,12.11
GASTEROSTEUS,ACULEATUS,99,13.8,13.8
SALVELINUS,CONFLUENTUS,96,11.63,11.63
COREGONUS,LAVARETUS,95,12.91,12.91
COREGONUS,ALBULA,94,12.99,12.99
COTTUS,GOBIO,73,13.06,13.06
SALVELINUS,NAMAYCUSH,69,11.2,11.2
NEOGOBIUS,MELANOSTOMUS,67,13.61,13.61
PERCH,FLUVIATILIS,67,11.98,11.98
THYMALLUS,THYMALLUS,67,13.61,13.61
LEPOMIS,GIBBOSUS,60,13.15,13.15
BARBUS,BARBUS,59,13.61,13.61
SICYOPTERUS,LAGOCEPHALUS,57,13.28,13.28
LEPOMIS,MACROCHIRUS,56,13.12,13.12
LOTA,LOTA,55,11.56,11.56
ABRAMIS,BRAMA,54,13.81,13.81
PERCA,FLAVESCENS,53,12.21,12.21
SALMO,GAIRDNERI,53,10.14,10.14
ANGUILLA,ANGUILLA,52,12.66,12.66
SALMON,SALMO,52,11.43,11.43
PHOXINUS,PHOXINUS,51,13.83,13.83
ANGUILLA,JAPONICA,50,12.59,12.59
GAMBUSIA,HOLBROOKI,47,13.2,13.2
GYMNOCEPHALUS,CERNUUS,46,13.78,13.78
STIZOSTEDION,LUCIOPERCA,44,13.33,13.33
PUNGITIUS,PUNGITIUS,41,13.64,13.64
TROUT,MYKISS,41,10.69,10.69
GAMBUSIA,AFFINIS,40,13.07,13.07
SALMO,MARMORATUS,40,9.75,9.75
SALVELINUS,MALMA,39,10.45,10.45
TROUT,FONTINALIS,39,10.29,10.29
GALAXIAS,MACULATUS,38,13.37,13.37
LEUCISCUS,CEPHALUS,37,13.01,13.01
MICROPTERUS,DOLOMIEU,36,13.74,13.74
SANDER,VITREUS,36,13.48,13.48
THYMALLUS,ARCTICUS,34,12.96,12.96
ANGUILLA,ROSTRATA,32,12.14,12.14
EEL,ANGUILLA,30,12.08,12.08
EEL,JAPONICA,30,12.06,12.06
GADUS,MORHUA,30,13.95,13.95
PETROMYZON,MARINUS,30,13.91,13.91
GOBIO,GOBIO,29,12.78,12.78
SCARDINIUS,ERYTHROPHTHALMUS,29,13.72,13.72
ALBURNUS,ALBURNUS,28,13.9,13.9
PSEUDORASBORA,PARVA,27,13.94,13.94
TINCA,TINCA,27,13.87,13.87
ANGUILLA,DIEFFENBACHII,26,11.97,11.97
LEUCISCUS,LEUCISCUS,26,13.06,13.06
DREISSENA,POLYMORPHA,25,13.94,13.94
GOBY,MELANOSTOMUS,25,11.94,11.94
LAMPETRA,FLUVIATILIS,25,10.88,10.88
CARASSIUS,AURATUS,24,13.11,13.11
CYPRINELLA,VENUSTA,24,13.47,13.47
LAMPETRA,PLANERI,24,12.94,12.94
SANDER,LUCIOPERCA,24,12.43,12.43
SICYDIINAE,SPECIE,24,9.89,9.89
RHODEUS,SERICEUS,23,13.57,13.57
WHITEFISH,LAVARETUS,23,12.06,12.06
CARASSIUS,CARASSIUS,22,13.14,13.14
ICTALURUS,PUNCTATUS,22,13.81,13.81
POECILIA,RETICULATA,22,13.67,13.67
SICYOPTERUS,SPECIE,22,8.97,8.97
STICKLEBACK,ACULEATUS,22,11.99,11.99
TROUT,CONFLUENTUS,22,10.36,10.36
CHONDROSTOMA,NASUS,21,13.24,13.24
