parent,child,hits,score,score.1,Hits,Score
ABRAMIS,BALLERUS,1.0,8.96,8.96,1.0,8.96
ABRAMIS,BJOERKNA,8.0,11.5,11.5,8.0,11.5
ABRAMIS,BRAMA,54.0,13.81,13.81,54.0,13.81
ABRAMIS,HRAMA,1.0,8.98,8.98,1.0,8.98
ACANTHOPAGRUS,BUTCHERI,3.0,13.77,13.77,3.0,13.77
ACANTHOPAGRUS,SCHLEGELI,1.0,12.68,12.68,1.0,12.68
ACANTHURUS,TRIOSTEGUS,1.0,13.99,13.99,1.0,13.99
ACARI,TETRANYCHIDAE,1.0,13.99,13.99,1.0,13.99
ACARINA,CLADOCERA,1.0,12.19,12.19,1.0,12.19
ACERINA,CERNUA,1.0,11.09,11.09,1.0,11.09
ACID,ALBULA,1.0,12.19,12.19,1.0,12.19
ACID,COREGONUS,1.0,12.19,12.19,1.0,12.19
ACIPENSER,BAERII,1.0,11.3,11.3,1.0,11.3
ACIPENSER,FULVESCENS,3.0,12.68,12.68,3.0,12.68
ACIPENSER,RUTHENUS,2.0,12.19,12.19,2.0,12.19
ACIPENSER,STURIO,1.0,11.3,11.3,1.0,11.3
ACIPENSER,TRANSMONTANUS,5.0,13.23,13.23,5.0,13.23
ACTINOPTERYGII,CYPRINODONTIFORMES,1.0,13.41,13.41,1.0,13.41
ACTINOPTERYGII,OSTEOGLOSSIDAE,1.0,12.41,12.41,1.0,12.41
ACULEATUS,LINNAEUS,5.0,10.16,10.16,5.0,10.16
ACULEATUS,PUNGITIUS,1.0,8.87,8.87,1.0,8.87
ACULEATUS,STICKLEBACK,1.0,10.54,10.54,1.0,10.54
ADULT,HOYI,1.0,12.68,12.68,1.0,12.68
AESHNA,ACULEATUS,1.0,8.05,8.05,1.0,8.05
AGRARIA,MOLINA,1.0,13.99,13.99,1.0,13.99
ALBULA,RUTILUS,1.0,7.25,7.25,1.0,7.25
ALBURNUS,ALBURNUS,28.0,13.9,13.9,28.0,13.9
ALNUS,GLUTINOSA,4.0,13.99,13.99,4.0,13.99
ALONELLA,NANA,1.0,12.68,12.68,1.0,12.68
ALOSA,ALOSA,13.0,12.65,12.65,13.0,12.65
ALOSA,CHRYSOCHLORIS,1.0,9.24,9.24,1.0,9.24
ALOSA,FALLAX,4.0,11.14,11.14,4.0,11.14
ALOSA,PSEUDOHARENGUS,13.0,12.65,12.65,13.0,12.65
ALOSA,PSUEDOHARENGUS,2.0,10.19,10.19,2.0,10.19
ALOSA,SAPIDISSIMA,18.0,11.094999999999999,11.094999999999999,18.0,11.094999999999999
ALOSA,SAPISISSIMA,1.0,9.24,9.24,1.0,9.24
ALOSA,SPECIE,1.0,4.58,4.58,1.0,4.58
ALPINUS,LINNEAUS,2.0,12.29,12.29,2.0,12.29
ALUTACEUS,BALTEATUS,1.0,11.19,11.19,1.0,11.19
AMARUS,BRAMA,1.0,9.09,9.09,1.0,9.09
AMBIGUA,PERCICHTHYIDAE,1.0,12.41,12.41,1.0,12.41
AMBLOPLITES,RUPESTRIS,15.0,13.66,13.66,15.0,13.66
AMBLOPLITES,RUSPESTRIS,1.0,10.91,10.91,1.0,10.91
AMEIURUS,AURATUS,1.0,9.67,9.67,1.0,9.67
AMEIURUS,NATALIS,1.0,11.67,11.67,1.0,11.67
AMEIURUS,NEBULOSUS,5.0,13.62,13.62,5.0,13.62
AMEIURUS,PERCA,1.0,10.91,10.91,1.0,10.91
AMIEURUS,NATALIS,1.0,13.41,13.41,1.0,13.41
AMNIATABA,PERCOIDES,2.0,13.99,13.99,2.0,13.99
AMPHILIUS,LONGIROSTRIS,1.0,13.0,13.0,1.0,13.0
AMPHIPODA,EPHEMEROPTERA,1.0,11.3,11.3,1.0,11.3
AMPHIPODA,GASTROPODA,1.0,11.83,11.83,1.0,11.83
AMPHIPODA,HEMIPTERA,2.0,11.83,11.83,2.0,11.83
AMPHIPODA,TRICHOPTERA,2.0,11.35,11.35,2.0,11.35
ANCISTRUS,RINELORICARIA,1.0,13.99,13.99,1.0,13.99
ANGUILLA,ANGUILLA,52.0,12.66,12.66,52.0,12.66
ANGUILLA,AUSTRALIS,10.0,10.67,10.67,10.0,10.67
ANGUILLA,DIEFFENBACHIA,1.0,7.49,7.49,1.0,7.49
ANGUILLA,DIEFFENBACHII,26.0,11.97,11.97,26.0,11.97
ANGUILLA,EEL,4.0,9.844999999999999,9.844999999999999,4.0,9.844999999999999
ANGUILLA,JAPONICA,50.0,12.59,12.59,50.0,12.59
ANGUILLA,LARVA,4.0,7.105,7.105,4.0,7.105
ANGUILLA,MARMORATA,4.0,9.47,9.47,4.0,9.47
ANGUILLA,REINHARDTII,1.0,7.49,7.49,1.0,7.49
ANGUILLA,ROSTRATA,32.0,12.14,12.14,32.0,12.14
ANGUILLA,VULGARIS,1.0,7.47,7.47,1.0,7.47
