parent,child,hits,score,score
,,sum,mean,median
ABRAMIS_BJOERKNA,SCARDINIUS_ERYTHROPHTHALMUS,1.0,13.0,13.0
ABRAMIS_BRAMA,ALBURNUS_ALBURNUS,2.0,12.29,12.29
ABRAMIS_BRAMA,BARBUS_BARBUS,1.0,11.67,11.67
ABRAMIS_BRAMA,BLICCA_BJOERKNA,1.0,11.54,11.54
ABRAMIS_BRAMA,GOBIO_SPP,2.0,12.29,12.29
ABRAMIS_BRAMA,RUTILUS_RUTILUS,1.0,8.81,8.81
ABRAMIS_BRAMA,SALMO_SALAR,1.0,7.83,7.83
ACARI,TETRANYCHIDAE,1.0,13.99,13.99
ACARINA,CLADOCERA,1.0,12.19,12.19
ACERINA_CERNUA,STIZOSTEDION_LUCIOPERCA,1.0,13.41,13.41
ACID,COREGONUS_ALBULA,1.0,12.41,12.41
ACTINOPTERYGII,CYPRINODONTIFORMES,1.0,13.41,13.41
ACTINOPTERYGII,OSTEOGLOSSIDAE,1.0,12.41,12.41
AESHNA,GASTEROSTEUS_ACULEATUS,1.0,13.99,13.99
AESHNIDAE,ERPOBDELLIDAE_SPP,1.0,13.0,13.0
AETHIOMASTACEMBELUS_FRENATUS,ASTATOREOCHROMIS_ALLUAUDI,1.0,13.41,13.41
AGRARIA,MOLINA,1.0,13.99,13.99
ALBURNOIDES_BIPUNCTATUS,BARBUS_BARBUS,1.0,13.41,13.41
ALBURNUS_ALBURNUS,GOBIO_SPP,2.0,12.68,12.68
ALBURNUS_ALBURNUS,LEUCISCUS_CEPHALUS,2.0,13.0,13.0
ALBURNUS_ALBURNUS,ROACH,1.0,9.67,9.67
ALCEDO_ATTHIS,ARDEA_CINERIA,1.0,13.99,13.99
ALOSA,ALOSA,1.0,13.0,13.0
ALOSA,SAPIDISSIMA,1.0,13.0,13.0
ALOSA,SPECIE,1.0,4.43,4.43
AMBLOPLITES_RUPESTRIS,CATOSTOMUS_COMMERSONII,1.0,13.0,13.0
AMBLOPLITES_RUPESTRIS,CENTRARCHIDAE,2.0,13.19,13.19
AMBLYCIPITIDAE,BAGRIDAE,1.0,13.41,13.41
AMEIURUS,CARASSIUS_AURATUS,1.0,12.68,12.68
AMEIURUS_CATUS,ICTALURUS_PUNCTATUS,1.0,12.68,12.68
AMEIURUS_MELAS,CARASSIUS_AURATUS,1.0,12.41,12.41
AMEIURUS_MELAS,LEPOMIS_MACROCHIRUS,1.0,11.0,11.0
AMEIURUS_NATALIS,AMEIURUS_SPP,1.0,11.99,11.99
AMEIURUS_NATALIS,ICTALURUS_SPP,1.0,12.41,12.41
AMEIURUS_NATALIS,NOTURUS,1.0,12.41,12.41
AMEIURUS_NEBULOSUS,AMEIURUS_SPP,1.0,12.41,12.41
AMNIATABA_PERCOIDES,MELANOTAENIA_AUSTRALIS,1.0,13.99,13.99
AMPHIDROMOUS,FISH,1.0,6.71,6.71
AMPHIDROMOUS,SPECIE,3.0,6.01,6.01
AMPHIPODA,EPHEMEROPTERA,1.0,11.19,11.19
AMPHIPODA,GASTROPODA,1.0,11.83,11.83
AMPHIPODA,HEMIPTERA,2.0,11.75,11.75
AMPHIPODA,TRICHOPTERA,2.0,11.3,11.3
AMPHIPOGON_HYPERBOREUS,HEMIPTERA,1.0,11.19,11.19
ANABANTIDAE,ANABANTOIDEI,1.0,13.99,13.99
ANGUILLA_ANGUILLA,ANGUILLA_ROSTRATA,1.0,10.35,10.35
ANGUILLA_ANGUILLA,CICHLASOMA_FACETUM,1.0,11.0,11.0
ANGUILLA_ANGUILLA,COBITIS_PALUDICA,1.0,11.19,11.19
ANGUILLA_ANGUILLA,EEL,3.0,10.88,10.88
ANGUILLA_ANGUILLA,ESOX_LUCIUS,1.0,10.82,10.82
ANGUILLA_ANGUILLA,LARVA,1.0,6.27,6.27
ANGUILLA_ANGUILLA,LIZA_RAMADA,3.0,12.68,12.68
ANGUILLA_ANGUILLA,PLATYCHTYS_FLESUS,1.0,11.3,11.3
ANGUILLA_AUSTRALIS,NANNOPERCA_AUSTRALIS,1.0,13.41,13.41
ANGUILLIDAE,CENTRARCHIDAE,1.0,12.41,12.41
ANGUILLIDAE,CICHLASOMA_FACETUM,1.0,12.41,12.41
ANGUILLIFORMES,MURAENIDAE,1.0,13.99,13.99
ANNALES,FENNICA,1.0,13.99,13.99
ANODONTA_CYGNEA,UNIO_PICTORUM,1.0,13.99,13.99
APLOCHEILICHTHYS_PUMILUS,ASTATOREOCHROMIS_ALLUAUDI,1.0,13.41,13.41
AQUACULTURA,HUNGARICA,1.0,13.99,13.99
ARACHNIDA,ARTHROPODA,1.0,13.41,13.41
ARACHNIDA,HEMIPTERA,1.0,11.09,11.09
ARACHNIDAE,COLLEMBOLA,1.0,13.0,13.0
ARAPAIMA_GIGAS,TELEOSTEI,2.0,13.0,13.0
ARDEA_CINERA,ESOX_LUCIUS,1.0,11.41,11.41
ARDEA_CINERA,TROUT,1.0,8.08,8.08
ASTYANAX,CICHLA,1.0,13.41,13.41
ASTYANAX_BIMACULATUS,MOENKHAUSIA_INTERMEDIA,1.0,13.41,13.41
ASTYANAX_SCHUBARTI,MOENKHAUSIA_INTERMEDIA,1.0,13.41,13.41
ATHERINIDAE,ATHERINOPSIDAE,1.0,13.41,13.41
ATHERINIDAE,SPECIE,1.0,4.43,4.43
ATHERINOPSIDAE,BLENNIIDAE,1.0,13.99,13.99
ATYAEPHYRA,HEMIMYSIS,1.0,13.99,13.99
AUSTRALOHEROS_FACETUM,LEPOMIS_GIBBOSUS,1.0,12.19,12.19
AUSTRALOHEROS_FACETUS,CYPRINUS,1.0,13.99,13.99
AZOLLA_AFRICANA,NYMPHAEA_LOTUS,1.0,13.99,13.99
BAETIDAE,HEPTAGENIIDAE,1.0,13.41,13.41
BAETIDAE,SIPHLONURIDAE,1.0,13.41,13.41
BAETIS,NYMPH,2.0,11.67,11.67
BAGRUS_DOCMAK,SCHILBE_INTERMEDIUS,1.0,13.99,13.99
BARBATULA_BARBATULA,LINNAEUS,1.0,8.69,8.69
BARBATULA_BARBATULA,SILURUS_GLANIS,1.0,12.41,12.41
BARBUS,SPECIES,1.0,10.68,10.68
BARBUS,TROPIDOPHOXINELLUS_ALBURNOIDES,1.0,13.41,13.41
