parent,child,hits,score,score.1,Hits,Score
ACARI,TETRANYCHIDAE,1.0,13.99,13.99,1.0,13.99
AESHNA,GASTEROSTEUS_ACULEATUS,1.0,13.99,13.99,1.0,13.99
AGRARIA,MOLINA,1.0,13.99,13.99,1.0,13.99
ALCEDO_ATTHIS,ARDEA_CINERIA,1.0,13.99,13.99,1.0,13.99
AMNIATABA_PERCOIDES,MELANOTAENIA_AUSTRALIS,1.0,13.99,13.99,1.0,13.99
ANABANTIDAE,ANABANTOIDEI,1.0,13.99,13.99,1.0,13.99
ANGUILLIFORMES,MURAENIDAE,1.0,13.99,13.99,1.0,13.99
ANNALES,FENNICA,1.0,13.99,13.99,1.0,13.99
ANODONTA_CYGNEA,UNIO_PICTORUM,1.0,13.99,13.99,1.0,13.99
AQUACULTURA,HUNGARICA,1.0,13.99,13.99,1.0,13.99
ATHERINOPSIDAE,BLENNIIDAE,1.0,13.99,13.99,1.0,13.99
ATYAEPHYRA,HEMIMYSIS,1.0,13.99,13.99,1.0,13.99
AUSTRALOHEROS_FACETUS,CYPRINUS,1.0,13.99,13.99,1.0,13.99
AZOLLA_AFRICANA,NYMPHAEA_LOTUS,1.0,13.99,13.99,1.0,13.99
BAGRUS_DOCMAK,SCHILBE_INTERMEDIUS,1.0,13.99,13.99,1.0,13.99
BARBUS_PETENYI,LOTA_LOTA,1.0,13.99,13.99,1.0,13.99
BARBUS_SCLATERI,IBEROCHONDROSTOMA_ALMACAI,1.0,13.99,13.99,1.0,13.99
BATRACHIUM,MYRIOPHYLLUM,1.0,13.99,13.99,1.0,13.99
BLEPHAROCERIDAE,DIXIDAE,1.0,13.99,13.99,1.0,13.99
BLUEGILL,LEPOMIS_MACROCHIRUS,11.0,13.6,13.6,11.0,13.6
BRACHIONUS,HEXARTHRA,1.0,13.99,13.99,1.0,13.99
BRACHYMYSTAX,HUCHO,1.0,13.99,13.99,1.0,13.99
CAECIDOTEA,LIRCEUS,1.0,13.99,13.99,1.0,13.99
CAENIDAE,BAETIDAE,2.0,13.67,13.67,2.0,13.67
CAIOLA,CALLES,1.0,13.99,13.99,1.0,13.99
CALLES,CAMPANA,2.0,13.99,13.99,2.0,13.99
CALLITRICHE,BATRACHIUM,1.0,13.99,13.99,1.0,13.99
CAREX_RIPARIA,JUNCUS_EFFUSUS,1.0,13.99,13.99,1.0,13.99
CATARINA,CORREIA,1.0,13.99,13.99,1.0,13.99
CATOSTOMUS,CHASMISTES,1.0,13.99,13.99,1.0,13.99
CATOSTOMUS_COMMERSONII,CULAEA_INCONSTANS,1.0,13.99,13.99,1.0,13.99
CERAMBYCIDAE,DISTENIIDAE,1.0,13.99,13.99,1.0,13.99
CERATOPHYLLUM,FONTINALIS,1.0,13.99,13.99,1.0,13.99
CERATOPHYLLURN_DEMERSUM,MYRIOPHYLLUM_SPICATUM,1.0,13.99,13.99,1.0,13.99
CHANNIDAE,CHANNA_ARGUS,1.0,13.99,13.99,1.0,13.99
CHARACIDIUM,TRICHOMYCTERUS,1.0,13.99,13.99,1.0,13.99
CHLOROPHYTA,SCENEDESMUS,1.0,13.99,13.99,1.0,13.99
CICHLASOMA_UROPHTHALMUS,HEMICHROMIS_LETOURNEUXI,1.0,13.99,13.99,1.0,13.99
CICHLA_PIQUITI,OREOCHROMIS_NILOTICUS,1.0,13.99,13.99,1.0,13.99
CICONIA_CICONIA,MILVUS_NIGRANS,1.0,13.99,13.99,1.0,13.99
CLADOCERA,DAPHNIA,1.0,13.99,13.99,1.0,13.99
CLADONIA,VACCINIUM,1.0,13.99,13.99,1.0,13.99
CLARIAS_PLATYCEPHALUS,CLARIAS_PACHYNEMA,1.0,13.99,13.99,1.0,13.99
COBITIDAE,COBITIS_TAENIA,1.0,13.99,13.99,1.0,13.99
COBITIS_SINENSIS,ODONTOBUTIS_OBSCURUS,1.0,13.99,13.99,1.0,13.99
