TAXRANK_source,TAXRANK_target,source,target,data_source_x,relations_x,relations_y,data_source_y,_merge,Specific differences,Set criteria,,,,,,,
,,CYPRINIDAE,ESOX,,,PARENT-CHILD,extended corpus,right_only,Esox (genus) of the Esocidae family and cyprinidae (family) - latter are carps or minnows,Incorrect matching - group various rank,,,,,,,
,,CYPRINIDAE,PERCA,,,PARENT-CHILD,extended corpus,right_only,Family to genus (Cyprinidae) to genus (Perca) but should be Percidae(?) Is this something that is disputed at all?,Incorrect matching - group various rank,,,,,,,
,,ESOX,CYPRINIDAE,,,PARENT-CHILD,extended corpus,right_only,"Wrong way round, also different families",Incorrect matching - parent/child reversal,,,,,,,
,,CYPRINIDAE,FLUVIATILIS,,,PARENT-CHILD,extended corpus,right_only,Skipping rank but within same family ,Ranks skipped,,,,,,,
,,COTTUS,BAIRDI,,,PARENT-CHILD,extended corpus,right_only,Cottus bairdii,Synonym in the VTO,,,,,,,
,,SALMO,GAIRDNERI,,,PARENT-CHILD,extended corpus,right_only,Synonym for Oncorhynchus mykiss,Synonym in the VTO,,,,,,,
,,STIZOSTEDION,LUCIOPERCA,,,PARENT-CHILD,extended corpus,right_only,related synonym for Sander lucioperca,Synonym in the VTO,,,,,,,
,,STIZOSTEDION,VITREUM,,,PARENT-CHILD,extended corpus,right_only,related synonym for Sander vitreus,Synonym in the VTO,,,,,,,
 GENUS, SPECIES,LUTRA,LUTRA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,ANGUILLA,MARMORATA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,ANGUILLA,ROSTRATA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,ANGUILLA,JAPONICA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,ANGUILLA,ANGUILLA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,CLUPEA,HARENGUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,ALOSA,PSEUDOHARENGUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,CLARIAS,GARIEPINUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,SILURUS,GLANIS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,ICTALURUS,PUNCTATUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,AMEIURUS,NEBULOSUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,LEUCISCUS,LEUCISCUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,SCARDINIUS,ERYTHROPHTHALMUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,ABRAMIS,BRAMA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,TINCA,TINCA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,RUTILUS,RUTILUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,CARASSIUS,AURATUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,PHOXINUS,PHOXINUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,SANDER,LUCIOPERCA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,SANDER,VITREUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,GYMNOCEPHALUS,CERNUUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,PERCA,FLAVESCENS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,PERCA,FLUVIATILIS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
