TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
,GADUS,[NUMBER],,,,9.87,WEB corpus,right_only
,MORHUA,[NUMBER],,,,9.87,WEB corpus,right_only
,MYKISS,[NUMBER],,,,10.81,WEB corpus,right_only
,ONCORHYNCHUS,[NUMBER],,,,10.81,WEB corpus,right_only
,PARR,[NUMBER],,,,11.37,WEB corpus,right_only
,SALMO,[NUMBER],,,,11.35,WEB corpus,right_only
,TRUTTA,[NUMBER],,,,9.87,WEB corpus,right_only
,BALLERUS,ABRAMIS,,,,10.04,WEB corpus,right_only
 SPECIES,BJOERKNA,ABRAMIS, GENUS,VTO ontology,is_a,8.15,WEB corpus,both
 SPECIES,BRAMA,ABRAMIS, GENUS,VTO ontology,is_a,13.93,WEB corpus,both
,HIRUDINEA,ACANTHOCEPHALA,,,,11.83,WEB corpus,right_only
 SPECIES,BUTCHERI,ACANTHOPAGRUS, GENUS,VTO ontology,is_a,13,WEB corpus,both
,SCHLEGELI,ACANTHOPAGRUS,,,,13.67,WEB corpus,right_only
,BIVALVIA,ACARI,,,,11.99,WEB corpus,right_only
,CERNUA,ACERINA,,,,13.36,WEB corpus,right_only
 SPECIES,BAERII,ACIPENSER, GENUS,VTO ontology,is_a,9.21,WEB corpus,both
 SPECIES,FULVESCENS,ACIPENSER, GENUS,VTO ontology,is_a,11.87,WEB corpus,both
 SPECIES,GUELDENSTAEDTII,ACIPENSER, GENUS,VTO ontology,is_a,9.21,WEB corpus,both
 SPECIES,RUTHENUS,ACIPENSER, GENUS,VTO ontology,is_a,10.75,WEB corpus,both
 SPECIES,STURIO,ACIPENSER, GENUS,VTO ontology,is_a,13.16,WEB corpus,both
 SPECIES,TRANSMONTANUS,ACIPENSER, GENUS,VTO ontology,is_a,13.11,WEB corpus,both
,UMATILLA,ACIPENSER,,,,9.14,WEB corpus,right_only
,ACHIRIDAE,ACTINOPTERYGII,,,,12.41,WEB corpus,right_only
,CYPRINIDAE,ACTINOPTERYGII,,,,11.83,WEB corpus,right_only
,LINNAEUS,ACTINOPTERYGII,,,,8.04,WEB corpus,right_only
,TRICHOMYCTERIDAE,ACTINOPTERYGII,,,,12.19,WEB corpus,right_only
,GASTEROSTEIDAE,ACULEATUS,,,,11.91,WEB corpus,right_only
