Index,Filter,VTO_total,JEFF_total_long_list,VTO_not_in_JEFF,JEFF_not_in_VTO,VTO_in_JEFF,%_only_in_VTO,%_only_in_JEFF,%_common_vs_VTO,%_common_JEFF
1,JEFF_200304_test_rel_over0.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
2,JEFF_200304_test_rel_over5.csv,107028,257,106820,52,208,99.80565833,20.23346304,0.194341668,80.93385214
3,JEFF_200304_test_rel_over10.csv,107028,142,106904,20,124,99.88414247,14.08450704,0.115857533,87.32394366
4,JEFF_200304_test_rel_over15.csv,107028,96,106941,9,87,99.91871286,9.375,0.08128714,90.625
5,JEFF_200304_test_rel_over20.csv,107028,72,106960,4,68,99.93646522,5.555555556,0.063534776,94.44444444
6,JEFF_200304_test_rel_over25.csv,107028,57,106975,4,53,99.95048025,7.01754386,0.049519752,92.98245614
7,JEFF_200304_test_rel_over30.csv,107028,47,106984,3,44,99.95888926,6.382978723,0.041110737,93.61702128
8,JEFF_200304_test_rel_over35.csv,107028,41,106990,3,38,99.96449527,7.317073171,0.035504728,92.68292683
9,JEFF_200304_test_rel_over40.csv,107028,36,106995,3,33,99.96916695,8.333333333,0.030833053,91.66666667
10,JEFF_200304_test_rel_over45.csv,107028,32,106998,2,30,99.97196995,6.25,0.028030048,93.75
11,JEFF_200304_test_rel_over50.csv,107028,30,106999,1,29,99.97290429,3.333333333,0.027095713,96.66666667
12,JEFF_200304_test_rel_over55.csv,107028,24,107004,0,24,99.97757596,0,0.022424039,100
13,JEFF_200304_test_rel_over60.csv,107028,20,107008,0,20,99.9813133,0,0.018686699,100
14,JEFF_200304_test_rel_over65.csv,107028,19,107009,0,19,99.98224764,0,0.017752364,100
15,JEFF_200304_test_rel_over70.csv,107028,16,107012,0,16,99.98505064,0,0.014949359,100
16,JEFF_200304_test_rel_over75.csv,107028,15,107013,0,15,99.98598498,0,0.014015024,100
17,JEFF_200304_test_rel_over80.csv,107028,15,107013,0,15,99.98598498,0,0.014015024,100
18,JEFF_200304_test_rel_over85.csv,107028,15,107013,0,15,99.98598498,0,0.014015024,100
19,JEFF_200304_test_rel_over90.csv,107028,15,107013,0,15,99.98598498,0,0.014015024,100
20,JEFF_200304_test_rel_over95.csv,107028,14,107014,0,14,99.98691931,0,0.013080689,100
21,JEFF_200304_test_rel_over100.csv,107028,11,107017,0,11,99.98972232,0,0.010277684,100
22,JEFF_200304_test_sal_over0.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
23,JEFF_200304_test_sal_over0.5.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
24,JEFF_200304_test_sal_over1.0.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
25,JEFF_200304_test_sal_over1.5.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
26,JEFF_200304_test_sal_over2.0.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
27,JEFF_200304_test_sal_over2.5.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
28,JEFF_200304_test_sal_over3.0.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
29,JEFF_200304_test_sal_over3.5.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
30,JEFF_200304_test_sal_over4.0.csv,107028,1715,106355,1052,673,99.37119259,61.34110787,0.628807415,39.24198251
31,JEFF_200304_test_sal_over4.5.csv,107028,1714,106355,1051,673,99.37119259,61.31855309,0.628807415,39.26487748
32,JEFF_200304_test_sal_over5.0.csv,107028,1706,106355,1043,673,99.37119259,61.13716295,0.628807415,39.44900352
