TAXRANK_target,target,source,TAXRANK_source,relations_y,Hits,Score,data_source_y
,SCHLEGELI,ACANTHOPAGRUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,TETRANYCHIDAE,ACARI,,PARENT-CHILD,1.0,13.99,JEFF corpus
,CLADOCERA,ACARINA,,PARENT-CHILD,1.0,12.19,JEFF corpus
,CERNUA,ACERINA,,CHILD-PARENT,1.0,11.09,JEFF corpus
,ALBULA,ACID,,CHILD-PARENT,1.0,12.19,JEFF corpus
,COREGONUS,ACID,,CHILD-PARENT,1.0,12.19,JEFF corpus
,CYPRINODONTIFORMES,ACTINOPTERYGII,,PARENT-CHILD,1.0,13.41,JEFF corpus
,OSTEOGLOSSIDAE,ACTINOPTERYGII,,PARENT-CHILD,1.0,12.41,JEFF corpus
,LINNAEUS,ACULEATUS,,PARENT-CHILD,5.0,10.3,JEFF corpus
,PUNGITIUS,ACULEATUS,,PARENT-CHILD,1.0,9.21,JEFF corpus
,HOYI,ADULT,,CHILD-PARENT,1.0,12.68,JEFF corpus
,HOLBROOKI,AFFINIS,,PARENT-CHILD,1.0,9.27,JEFF corpus
,MYERSII,AFFINIS,,PARENT-CHILD,1.0,13.0,JEFF corpus
,LOTUS,AFRICANA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,MOLINA,AGRARIA,,CHILD-PARENT,1.0,13.99,JEFF corpus
,CEPHALUS,ALBURNUS,,PARENT-CHILD,2.0,10.02,JEFF corpus
,GLUTINOSA,ALNUS,,PARENT-CHILD,4.0,13.99,JEFF corpus
,NANA,ALONELLA,,CHILD-PARENT,1.0,12.68,JEFF corpus
,ROSTRATA,ALONELLA,,CHILD-PARENT,1.0,9.83,JEFF corpus
,PSUEDOHARENGUS,ALOSA,,PARENT-CHILD,2.0,10.21,JEFF corpus
,SAPISISSIMA,ALOSA,,PARENT-CHILD,1.0,9.27,JEFF corpus
,LINNEAUS,ALPINUS,,PARENT-CHILD,2.0,12.54,JEFF corpus
,BALTEATUS,ALUTACEUS,,CHILD-PARENT,1.0,11.19,JEFF corpus
,BRAMA,AMARUS,,PARENT-CHILD,1.0,9.09,JEFF corpus
,PERCICHTHYIDAE,AMBIGUA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,RUSPESTRIS,AMBLOPLITES,,PARENT-CHILD,1.0,10.91,JEFF corpus
,AURATUS,AMEIURUS,,PARENT-CHILD,1.0,9.67,JEFF corpus
,PERCA,AMEIURUS,,PARENT-CHILD,1.0,11.19,JEFF corpus
,NATALIS,AMIEURUS,,CHILD-PARENT,1.0,13.41,JEFF corpus
,EPHEMEROPTERA,AMPHIPODA,,PARENT-CHILD,1.0,11.3,JEFF corpus
,GASTROPODA,AMPHIPODA,,PARENT-CHILD,1.0,11.99,JEFF corpus
,HEMIPTERA,AMPHIPODA,,PARENT-CHILD,2.0,11.83,JEFF corpus
,TRICHOPTERA,AMPHIPODA,,PARENT-CHILD,2.0,11.35,JEFF corpus
,RINELORICARIA,ANCISTRUS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,CENTRARCHIDAE,ANGUILLIDAE,,PARENT-CHILD,1.0,12.68,JEFF corpus
,FENNICA,ANNALES,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ETHEOSTOMA,ANNULARIS,,PARENT-CHILD,1.0,12.41,JEFF corpus
,ATROMACULATUS,ANOMALUM,,PARENT-CHILD,1.0,10.47,JEFF corpus
,OCULATUS,ANURA,,PARENT-CHILD,1.0,11.41,JEFF corpus
,MELANOSTOMA,APOLLONIA,,CHILD-PARENT,1.0,13.41,JEFF corpus
,HEMIPTERA,ARACHNIDA,,PARENT-CHILD,1.0,11.3,JEFF corpus
