source,target,relations_x,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
ABRAMIS,BJOERKNA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ABRAMIS,BRAMA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,TRANSMONTANUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALBURNUS,ALBURNUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,ALOSA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,PSEUDOHARENGUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,SAPIDISSIMA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBLOPLITES,RUPESTRIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NEBULOSUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ANGUILLA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,AUSTRALIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,DIEFFENBACHII,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,JAPONICA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ROSTRATA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
APLODINOTUS,GRUNNIENS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ARAPAIMA,GIGAS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASPIUS,ASPIUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTYANAX,INTERMEDIUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ATRACTOSTEUS,SPATULA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBATULA,BARBATULA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,BARBUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,HAASI,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,PETENYI,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BLICCA,BJOERKNA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CAMPOSTOMA,ANOMALUM,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,AURATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,CARASSIUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,GIBELIO,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CASTOR,CANADENSIS,CHILD-PARENT,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,CATOSTOMUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,COMMERSONII,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHONDROSTOMA,NASUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,GARIEPINUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,HARENGUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,PALUDICA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,TAENIA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ALBULA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
