source,target,relations_x,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
ABRAMIS,BJOERKNA,PARENT-CHILD,8.0,11.5,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ABRAMIS,BRAMA,PARENT-CHILD,54.0,13.81,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACANTHOPAGRUS,BUTCHERI,PARENT-CHILD,3.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACANTHURUS,TRIOSTEGUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,BAERII,PARENT-CHILD,1.0,11.3,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,FULVESCENS,PARENT-CHILD,3.0,12.68,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,RUTHENUS,PARENT-CHILD,2.0,12.19,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,STURIO,PARENT-CHILD,1.0,11.3,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,TRANSMONTANUS,PARENT-CHILD,5.0,13.23,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALBURNUS,ALBURNUS,PARENT-CHILD,28.0,13.92,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,ALOSA,PARENT-CHILD,13.0,12.68,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,CHRYSOCHLORIS,PARENT-CHILD,1.0,9.27,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,FALLAX,PARENT-CHILD,4.0,11.17,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,PSEUDOHARENGUS,PARENT-CHILD,13.0,12.68,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,SAPIDISSIMA,PARENT-CHILD,18.0,11.125,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBLOPLITES,RUPESTRIS,PARENT-CHILD,15.0,13.69,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NATALIS,PARENT-CHILD,1.0,11.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NEBULOSUS,PARENT-CHILD,5.0,13.62,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMNIATABA,PERCOIDES,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMPHILIUS,LONGIROSTRIS,CHILD-PARENT,1.0,13.0,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ANGUILLA,PARENT-CHILD,52.0,12.86,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,AUSTRALIS,PARENT-CHILD,10.0,10.74,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,DIEFFENBACHII,PARENT-CHILD,26.0,12.03,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,JAPONICA,PARENT-CHILD,50.0,12.79,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,MARMORATA,PARENT-CHILD,4.0,9.5,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,REINHARDTII,PARENT-CHILD,1.0,7.52,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ROSTRATA,PARENT-CHILD,32.0,12.27,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANOLIS,SAGREI,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
APHREDODERUS,SAYANUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
APLODINOTUS,GRUNNIENS,PARENT-CHILD,6.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ARAPAIMA,GIGAS,PARENT-CHILD,14.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ARDEA,CINEREA,PARENT-CHILD,4.0,13.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASPIUS,ASPIUS,PARENT-CHILD,7.0,13.9,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTROBLEPUS,UBIDIAI,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTYANAX,BIMACULATUS,PARENT-CHILD,1.0,11.0,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTYANAX,FASCIATUS,PARENT-CHILD,1.0,10.04,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTYANAX,INTERMEDIUS,PARENT-CHILD,11.0,13.6,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTYANAX,MEXICANUS,PARENT-CHILD,1.0,11.0,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ATHERINA,BOYERI,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ATRACTOSTEUS,SPATULA,PARENT-CHILD,6.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BALLERUS,BALLERUS,CHILD-PARENT,1.0,13.41,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBATULA,BARBATULA,PARENT-CHILD,16.0,13.95,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,BARBUS,PARENT-CHILD,59.0,13.61,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,BRAZZAI,PARENT-CHILD,1.0,8.46,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,CAMPTACANTHUS,PARENT-CHILD,1.0,8.46,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,HAASI,PARENT-CHILD,6.0,10.95,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,PETENYI,PARENT-CHILD,5.0,10.72,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BLICCA,BJOERKNA,PARENT-CHILD,14.0,13.48,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRACHYRHAPHIS,RHABDOPHORA,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BREVOORTIA,TYRANNUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRYCONAMERICUS,IHERINGII,PARENT-CHILD,1.0,12.68,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRYCONAMERICUS,STRAMINEUS,PARENT-CHILD,2.0,12.29,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CAMPOSTOMA,ANOMALUM,PARENT-CHILD,16.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,AURATUS,PARENT-CHILD,24.0,13.11,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,CARASSIUS,PARENT-CHILD,22.0,13.14,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,CUVIERI,PARENT-CHILD,1.0,9.12,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,GIBELIO,PARENT-CHILD,9.0,12.12,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARPIODES,CYPRINUS,PARENT-CHILD,4.0,13.83,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARPIODES,VELIFER,PARENT-CHILD,1.0,12.41,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CASTOR,CANADENSIS,CHILD-PARENT,9.0,13.47,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,CLARKII,PARENT-CHILD,3.0,10.65,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,COMMERSONII,PARENT-CHILD,10.0,12.54,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,DISCOBOLUS,PARENT-CHILD,3.0,11.03,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,INSIGNIS,PARENT-CHILD,1.0,9.5,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,LATIPINNIS,PARENT-CHILD,3.0,11.03,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,MACROCHEILUS,PARENT-CHILD,3.0,11.03,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CERVUS,ELAPHUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHARACIFORMES,CHARACIDAE,PARENT-CHILD,1.0,12.68,JEFF corpus, FAMILY, ORDER,VTO ontology,is_a,both
CHEIMARRICHTHYS,FOSTERI,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHONDROSTOMA,NASUS,PARENT-CHILD,21.0,13.32,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,CAMERUNENSIS,PARENT-CHILD,1.0,11.54,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,GARIEPINUS,PARENT-CHILD,5.0,13.51,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,JAENSIS,PARENT-CHILD,1.0,11.54,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,PACHYNEMA,PARENT-CHILD,1.0,11.54,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,PLATYCEPHALUS,PARENT-CHILD,1.0,11.54,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLINOSTOMUS,FUNDULOIDES,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,HARENGUS,PARENT-CHILD,6.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,PALUDICA,PARENT-CHILD,8.0,13.35,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,TAENIA,PARENT-CHILD,7.0,13.16,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ALBULA,PARENT-CHILD,94.0,13.01,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ARTEDI,PARENT-CHILD,10.0,10.13,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,CLUPEAFORMIS,PARENT-CHILD,17.0,10.87,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,FONTANAE,PARENT-CHILD,3.0,8.44,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,HOYI,PARENT-CHILD,8.0,9.82,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,KIYI,PARENT-CHILD,1.0,6.86,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,LAVARETUS,PARENT-CHILD,95.0,13.01,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,NASUS,PARENT-CHILD,13.0,10.39,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,PIDSCHIAN,PARENT-CHILD,6.0,9.42,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,SARDINELLA,PARENT-CHILD,11.0,10.27,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ZENITHICUS,PARENT-CHILD,6.0,9.42,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,ASPER,PARENT-CHILD,3.0,9.18,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,ASPERRIMUS,PARENT-CHILD,1.0,7.63,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,BAIRDII,PARENT-CHILD,9.0,10.73,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,CAROLINAE,PARENT-CHILD,8.0,10.56,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,COGNATUS,PARENT-CHILD,20.0,11.78,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,GOBIO,PARENT-CHILD,73.0,13.13,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,GULOSUS,PARENT-CHILD,2.0,8.6,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,HANGIONGENSIS,PARENT-CHILD,5.0,9.91,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,HYPSELURUS,PARENT-CHILD,3.0,9.2,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,NOZAWAE,PARENT-CHILD,2.0,8.62,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,PAULUS,PARENT-CHILD,6.0,10.17,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,PERIFRETUM,PARENT-CHILD,1.0,7.63,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,POECILOPUS,PARENT-CHILD,2.0,8.62,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,POLLUX,PARENT-CHILD,2.0,8.62,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,RICEI,PARENT-CHILD,1.0,7.63,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTYLOPUS,ACUTIPINNIS,PARENT-CHILD,6.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COUESIUS,PLUMBEUS,PARENT-CHILD,5.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CRATEROCEPHALUS,FLUVIATILIS,CHILD-PARENT,6.0,9.35,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CRATEROCEPHALUS,STRAMINEUS,CHILD-PARENT,1.0,10.41,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYCLEPTUS,ELONGATUS,PARENT-CHILD,2.0,13.41,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,CAERULEA,PARENT-CHILD,6.0,11.91,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,GALACTURA,PARENT-CHILD,2.0,10.44,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,LUTRENSIS,PARENT-CHILD,9.0,12.33,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,SPILOPTERA,PARENT-CHILD,1.0,9.48,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,VENUSTA,PARENT-CHILD,24.0,13.47,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINIFORMES,CATOSTOMIDAE,CHILD-PARENT,1.0,13.0,JEFF corpus, FAMILY, ORDER,VTO ontology,is_a,both
CYPRINIFORMES,CYPRINIDAE,CHILD-PARENT,1.0,11.0,JEFF corpus, FAMILY, ORDER,VTO ontology,is_a,both
