source,target,score.1,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
ABRAMIS,BRAMA,13.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,MEDIROSTRIS,12.4,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,STURIO,12.79,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,TRANSMONTANUS,12.73,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALBURNUS,ALBURNUS,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALCEDO,ATTHIS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,ALOSA,9.815,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,FALLAX,12.32,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,PSEUDOHARENGUS,13.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,SAPIDISSIMA,12.4,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBLOPLITES,RUPESTRIS,13.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NATALIS,13.23,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NEBULOSUS,13.06,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANCHOA,MITCHILLI,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ANGUILLA,11.86,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,DIEFFENBACHII,10.01,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,JAPONICA,13.15,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,MARMORATA,11.63,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ROSTRATA,12.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
APLODINOTUS,GRUNNIENS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ARDEA,CINEREA,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ARRIPIS,TRUTTA,10.04,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASPIUS,ASPIUS,13.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBATULA,BARBATULA,13.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,BARBUS,13.43,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BIDYANUS,BIDYANUS,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BLICCA,BJOERKNA,13.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,AURATUS,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,CARASSIUS,12.63,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,CATOSTOMUS,12.57,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,COMMERSONII,11.51,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHASMODES,BOSQUIANUS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHONDROSTOMA,NASUS,13.12,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,GARIEPINUS,13.85,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLINOSTOMUS,ELONGATUS,13.56,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,HARENGUS,13.8,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,PALLASII,12.13,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,TAENIA,13.5,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ALBULA,10.28,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ARTEDI,10.52,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,AUTUMNALIS,9.75,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,CLUPEAFORMIS,11.86,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,HOYI,10.57,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,LAVARETUS,13.02,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,NASUS,9.38,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,ALEUTICUS,10.87,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,ASPER,11.52,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,BAIRDII,10.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,COGNATUS,12.21,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,CONFUSUS,11.3,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,GOBIO,12.4,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,POECILOPUS,10.87,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,RICEI,9.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COUESIUS,PLUMBEUS,13.95,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYGNUS,OLOR,13.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINUS,CARPIO,12.204999999999998,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DANIO,RERIO,13.81,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DICENTRARCHUS,LABRAX,11.775,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DOROSOMA,CEPEDIANUM,13.64,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ENGRAULIS,MORDAX,12.43,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESOX,LUCIUS,11.17,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESOX,MASQUINONGY,13.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
EUMETOPIAS,JUBATUS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,HETEROCLITUS,13.69,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GADUS,MORHUA,11.835,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,OLIDUS,13.26,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAMBUSIA,AFFINIS,12.92,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,ACULEATUS,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIO,GOBIO,12.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
