source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
ABRAMIS,BRAMA,13.9,84.0,13.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ABYSSOBROTULA,GALATHEAE,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACANTHOCYBIUM,SOLANDRI,13.99,4.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACANTHOGOBIUS,FLAVIMANUS,13.92,9.0,13.92,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACHONDROSTOMA,ARCASII,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSERIFORMES,ACIPENSERIDAE,13.99,1.0,13.99,WEB corpus, FAMILY, ORDER,VTO ontology,is_a,both
ACROCHEILUS,ALUTACEUS,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ADRIANICHTHYS,KRUYTI,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ADRIANICHTHYS,ROSENI,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALBURNOIDES,BIPUNCTATUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALBURNUS,ALBURNUS,13.77,29.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALCEDO,ATTHIS,13.99,15.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALCES,ALCES,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOPEX,LAGOPUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOPIAS,VULPINUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,PSEUDOHARENGUS,13.19,59.0,13.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBLOPLITES,RUPESTRIS,13.93,21.0,13.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBYSTOMA,BARBOURI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NATALIS,13.23,30.0,13.23,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NEBULOSUS,13.06,37.0,13.06,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMMOCRYPTA,PELLUCIDA,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMMODYTES,HEXAPTERUS,13.12,6.0,13.12,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMPHILIUS,URANOSCOPUS,13.67,6.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMPHIPRION,CHRYSOPTERUS,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMPHIPRION,MELANOPUS,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANABAS,TESTUDINEUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANARHICHAS,LUPUS,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANAS,CRECCA,13.51,5.0,13.51,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANCHOA,MITCHILLI,13.99,28.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,JAPONICA,13.15,181.0,13.15,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLIFORMES,ANGUILLIDAE,13.41,1.0,13.41,WEB corpus, FAMILY, ORDER,VTO ontology,is_a,both
