TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
 SPECIES,LAEVIS,XENOPUS, GENUS,VTO ontology,is_a,13.65,WEB corpus,both
 SPECIES,TEMPORARIA,RANA, GENUS,VTO ontology,is_a,13.54,WEB corpus,both
 SPECIES,JUBATUS,EUMETOPIAS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,LUTRA,LUTRA, GENUS,VTO ontology,is_a,13.98,WEB corpus,both
 SPECIES,VITULINA,PHOCA, GENUS,VTO ontology,is_a,13.72,WEB corpus,both
 SPECIES,ORCA,ORCINUS, GENUS,VTO ontology,is_a,11.92,WEB corpus,both
 SPECIES,ATTHIS,ALCEDO, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,IMMER,GAVIA, GENUS,VTO ontology,is_a,13.86,WEB corpus,both
 SPECIES,AURITUS,PHALACROCORAX, GENUS,VTO ontology,is_a,13.79,WEB corpus,both
 SPECIES,HYPOLEUCA,FICEDULA, GENUS,VTO ontology,is_a,13.9,WEB corpus,both
 SPECIES,RUSTICA,HIRUNDO, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,SERRATOR,MERGUS, GENUS,VTO ontology,is_a,12.26,WEB corpus,both
 SPECIES,MERGANSER,MERGUS, GENUS,VTO ontology,is_a,13.85,WEB corpus,both
 SPECIES,CLANGULA,BUCEPHALA, GENUS,VTO ontology,is_a,13.73,WEB corpus,both
 SPECIES,OLOR,CYGNUS, GENUS,VTO ontology,is_a,13.91,WEB corpus,both
 SPECIES,CRECCA,ANAS, GENUS,VTO ontology,is_a,13.51,WEB corpus,both
 SPECIES,OSTRALEGUS,HAEMATOPUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,CRISTATUS,PODICEPS, GENUS,VTO ontology,is_a,13.72,WEB corpus,both
 SPECIES,CINEREA,ARDEA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,AUSTRALIS,ANGUILLA, GENUS,VTO ontology,is_a,9.14,WEB corpus,both
 SPECIES,MARMORATA,ANGUILLA, GENUS,VTO ontology,is_a,11.63,WEB corpus,both
 SPECIES,ROSTRATA,ANGUILLA, GENUS,VTO ontology,is_a,12.68,WEB corpus,both
 SPECIES,JAPONICA,ANGUILLA, GENUS,VTO ontology,is_a,13.15,WEB corpus,both
 SPECIES,ANGUILLA,ANGUILLA, GENUS,VTO ontology,is_a,11.86,WEB corpus,both
 SPECIES,CELEBESENSIS,ANGUILLA, GENUS,VTO ontology,is_a,9.12,WEB corpus,both
 SPECIES,REINHARDTII,ANGUILLA, GENUS,VTO ontology,is_a,8.46,WEB corpus,both
 SPECIES,MOSSAMBICA,ANGUILLA, GENUS,VTO ontology,is_a,8.46,WEB corpus,both
 SPECIES,DIEFFENBACHII,ANGUILLA, GENUS,VTO ontology,is_a,10.01,WEB corpus,both
 SPECIES,MYRIASTER,CONGER, GENUS,VTO ontology,is_a,13.48,WEB corpus,both
 SPECIES,HARENGUS,CLUPEA, GENUS,VTO ontology,is_a,13.8,WEB corpus,both
 SPECIES,PALLASII,CLUPEA, GENUS,VTO ontology,is_a,12.13,WEB corpus,both
 SPECIES,SPRATTUS,SPRATTUS, GENUS,VTO ontology,is_a,13.96,WEB corpus,both
 SPECIES,SAGAX,SARDINOPS, GENUS,VTO ontology,is_a,13.96,WEB corpus,both
 SPECIES,PILCHARDUS,SARDINA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,TYRANNUS,BREVOORTIA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,CHRYSOCHLORIS,ALOSA, GENUS,VTO ontology,is_a,10.09,WEB corpus,both
 SPECIES,FALLAX,ALOSA, GENUS,VTO ontology,is_a,12.32,WEB corpus,both
