TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,Hits,Score,data_source_y,_merge
 SPECIES,DITROPIS,LAMNA, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
 SPECIES,NASUS,LAMNA, GENUS,VTO ontology,is_a,10.71,2.0,10.71,WEB corpus,both
 SPECIES,MAXIMUS,CETORHINUS, GENUS,VTO ontology,is_a,11.09,2.0,11.09,WEB corpus,both
 SPECIES,VULPINUS,ALOPIAS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,CANICULA,SCYLIORHINUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,LIMBATUS,CARCHARHINUS, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,GLAUCA,PRIONACE, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,BREVIROSTRIS,NEGAPRION, GENUS,VTO ontology,is_a,11.83,1.0,11.83,WEB corpus,both
 SPECIES,CANIS,MUSTELUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,MICROCEPHALUS,SOMNIOSUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,FABRICII,CENTROSCYLLIUM, GENUS,VTO ontology,is_a,12.68,1.0,12.68,WEB corpus,both
 SPECIES,PASTINACA,DASYATIS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,BARBOURI,AMBYSTOMA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,MACULOSUS,NECTURUS, GENUS,VTO ontology,is_a,13.67,4.0,13.67,WEB corpus,both
 SPECIES,PORPHYRITICUS,GYRINOPHILUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,GRANULOSA,TARICHA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,LAEVIS,XENOPUS, GENUS,VTO ontology,is_a,13.65,11.0,13.65,WEB corpus,both
 SPECIES,FUSCUS,PELOBATES, GENUS,VTO ontology,is_a,12.68,2.0,12.68,WEB corpus,both
 SPECIES,TEMPORARIA,RANA, GENUS,VTO ontology,is_a,13.54,12.0,13.54,WEB corpus,both
 SPECIES,MUSCOSA,RANA, GENUS,VTO ontology,is_a,10.54,1.0,10.54,WEB corpus,both
 SPECIES,AURORA,RANA, GENUS,VTO ontology,is_a,10.47,1.0,10.47,WEB corpus,both
 SPECIES,CATESBEIANA,RANA, GENUS,VTO ontology,is_a,12.35,4.0,12.35,WEB corpus,both
 SPECIES,PIPIENS,RANA, GENUS,VTO ontology,is_a,10.54,1.0,10.54,WEB corpus,both
 SPECIES,CHIRICAHUENSIS,RANA, GENUS,VTO ontology,is_a,11.47,2.0,11.47,WEB corpus,both
 SPECIES,AMAUENSIS,PAEDOPHRYNE, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,NATALENSIS,HADROMOPHRYNE, GENUS,VTO ontology,is_a,13.41,2.0,13.41,WEB corpus,both
 SPECIES,CALAMITA,EPIDALEA, GENUS,VTO ontology,is_a,12.68,2.0,12.68,WEB corpus,both
 SPECIES,MARINA,RHINELLA, GENUS,VTO ontology,is_a,10.91,1.0,10.91,WEB corpus,both
 SPECIES,CRANWELLI,CERATOPHRYS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,AFRICANA,LOXODONTA, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,PALUSTRIS,SOREX, GENUS,VTO ontology,is_a,12.41,1.0,12.41,WEB corpus,both
 SPECIES,LUCIFUGUS,MYOTIS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,LEISLERI,NYCTALUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CALIFORNIANUS,ZALOPHUS, GENUS,VTO ontology,is_a,13.83,4.0,13.83,WEB corpus,both
 SPECIES,JUBATUS,EUMETOPIAS, GENUS,VTO ontology,is_a,13.99,10.0,13.99,WEB corpus,both
 SPECIES,MARITIMUS,URSUS, GENUS,VTO ontology,is_a,12.41,1.0,12.41,WEB corpus,both
 SPECIES,ARCTOS,URSUS, GENUS,VTO ontology,is_a,13.83,4.0,13.83,WEB corpus,both
 SPECIES,LUTRA,LUTRA, GENUS,VTO ontology,is_a,13.98,38.0,13.98,WEB corpus,both
 SPECIES,PROVOCAX,LONTRA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,VISON,NEOVISON, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
 SPECIES,LUPUS,CANIS, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,SCHAUINSLANDI,MONACHUS, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,GROENLANDICA,PHOCA, GENUS,VTO ontology,is_a,12.41,2.0,12.41,WEB corpus,both
 SPECIES,VITULINA,PHOCA, GENUS,VTO ontology,is_a,13.72,7.0,13.72,WEB corpus,both
 SPECIES,CRISTATA,CYSTOPHORA, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
 SPECIES,GRYPUS,HALICHOERUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,ALCES,ALCES, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CAPREOLUS,CAPREOLUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,SCROFA,SUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,TRUNCATUS,TURSIOPS, GENUS,VTO ontology,is_a,13.41,4.0,13.41,WEB corpus,both
 SPECIES,ORCA,ORCINUS, GENUS,VTO ontology,is_a,11.92,68.0,11.92,WEB corpus,both
 SPECIES,GUIANENSIS,SOTALIA, GENUS,VTO ontology,is_a,13.41,4.0,13.41,WEB corpus,both
 SPECIES,NOVAEANGLIAE,MEGAPTERA, GENUS,VTO ontology,is_a,13.67,2.0,13.67,WEB corpus,both
 SPECIES,MUSCULUS,BALAENOPTERA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,MUSCULUS,BALAENOPTERA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,PHYSALUS,BALAENOPTERA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,ROBUSTUS,ESCHRICHTIUS, GENUS,VTO ontology,is_a,13.19,2.0,13.19,WEB corpus,both
 SPECIES,MEDIUS,CHEIROGALEUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,SYLVANUS,MACACA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CUNICULUS,ORYCTOLAGUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,TIMIDUS,LEPUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,TIMIDUS,LEPUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,PALLIDUS,MICRODIPODOPS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,FIBER,CASTOR, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,ZIBETHICUS,ONDATRA, GENUS,VTO ontology,is_a,13.99,3.0,13.99,WEB corpus,both
 SPECIES,AMPHIBIUS,ARVICOLA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,AGRESTIS,MICROTUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,CRISTICAUDA,DASYCERCUS, GENUS,VTO ontology,is_a,13.67,4.0,13.67,WEB corpus,both
 SPECIES,FRAGILIS,ANGUIS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,VIVIPARA,ZOOTOCA, GENUS,VTO ontology,is_a,13.77,3.0,13.77,WEB corpus,both
 SPECIES,NATRIX,NATRIX, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,COLLARIS,CROTAPHYTUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,ATTHIS,ALCEDO, GENUS,VTO ontology,is_a,13.99,15.0,13.99,WEB corpus,both
 SPECIES,AURATUS,COLAPTES, GENUS,VTO ontology,is_a,8.75,1.0,8.75,WEB corpus,both
 SPECIES,STELLATA,GAVIA, GENUS,VTO ontology,is_a,12.19,1.0,12.19,WEB corpus,both
 SPECIES,IMMER,GAVIA, GENUS,VTO ontology,is_a,13.86,5.0,13.86,WEB corpus,both
 SPECIES,BASSANUS,MORUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CARBO,PHALACROCORAX, GENUS,VTO ontology,is_a,10.91,1.0,10.91,WEB corpus,both
 SPECIES,AURITUS,PHALACROCORAX, GENUS,VTO ontology,is_a,13.79,13.0,13.79,WEB corpus,both
 SPECIES,PENICILLATUS,PHALACROCORAX, GENUS,VTO ontology,is_a,10.68,1.0,10.68,WEB corpus,both
 SPECIES,ARISTOTELIS,PHALACROCORAX, GENUS,VTO ontology,is_a,10.91,1.0,10.91,WEB corpus,both
 SPECIES,CINCLUS,CINCLUS, GENUS,VTO ontology,is_a,13.77,3.0,13.77,WEB corpus,both
 SPECIES,MEXICANUS,CINCLUS, GENUS,VTO ontology,is_a,12.68,1.0,12.68,WEB corpus,both
 SPECIES,HYPOLEUCA,FICEDULA, GENUS,VTO ontology,is_a,13.9,7.0,13.9,WEB corpus,both
 SPECIES,ALBICOLLIS,FICEDULA, GENUS,VTO ontology,is_a,11.83,1.0,11.83,WEB corpus,both
 SPECIES,CAURINUS,CORVUS, GENUS,VTO ontology,is_a,11.83,1.0,11.83,WEB corpus,both
 SPECIES,RUSTICA,HIRUNDO, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,DOMESTICUS,PASSER, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,VULGARIS,STURNUS, GENUS,VTO ontology,is_a,11.75,2.0,11.75,WEB corpus,both
 SPECIES,PENDULINUS,REMIZ, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,ANGUSTIROSTRIS,MARMARONETTA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,FERINA,AYTHYA, GENUS,VTO ontology,is_a,12.83,2.0,12.83,WEB corpus,both
 SPECIES,FULIGULA,AYTHYA, GENUS,VTO ontology,is_a,12.83,2.0,12.83,WEB corpus,both
 SPECIES,MARILA,AYTHYA, GENUS,VTO ontology,is_a,12.41,1.0,12.41,WEB corpus,both
 SPECIES,SERRATOR,MERGUS, GENUS,VTO ontology,is_a,12.26,6.0,12.26,WEB corpus,both
 SPECIES,MERGANSER,MERGUS, GENUS,VTO ontology,is_a,13.85,28.0,13.85,WEB corpus,both
