TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,NAUPLIUS,BALANUS,,,13.96,WEB corpus
,COMMERSONI,CATOSTOMUS,,,12.94,WEB corpus
,BAIRDI,COTTUS,,,11.68,WEB corpus
,FLUVIATILIS,CYPRINIDAE,,,12.93,WEB corpus
,LUCIUS,CYPRINIDAE,,,12.93,WEB corpus
,PERCA,CYPRINIDAE,,,12.91,WEB corpus
,POLYMORPHA,DREISSENA,,,13.84,WEB corpus
,CRASSUM,EUBOTHRIUM,,,13.58,WEB corpus
,COLUMNARE,FLAVOBACTERIUM,,,13.97,WEB corpus
,BOSCI,GOBIOSOMA,,,13.59,WEB corpus
,VERTICILLATA,HYDRILLA,,,13.97,WEB corpus
,MELA,ICTALURUS,,,12.9,WEB corpus
,MARGARITIFERA,MARGARITIFERA,,,13.94,WEB corpus
,SPICATUM,MYRIOPHYLLUM,,,13.75,WEB corpus
,CLARKI,ONCORHYNCHUS,,,9.48,WEB corpus
,GAIRDNERI,SALMO,,,11.45,WEB corpus
,MAXIMUS,SCOPHTHALMUS,,,13.91,WEB corpus
,LUCIOPERCA,STIZOSTEDION,,,12.69,WEB corpus
,VITREUM,STIZOSTEDION,,,13.21,WEB corpus
