TAXRANK_target,target,source,TAXRANK_source,relations,score.1,Hits,Score,data_source_y
,MONILIS,ABLABESMYIA,,,13.41,1.0,13.41,WEB corpus
,TRIGONURA,ABRALIA,,,13.99,1.0,13.99,WEB corpus
,BALLERUS,ABRAMIS,,,9.95,3.0,9.95,WEB corpus
,BLICCA,ABRAMIS,,,8.445,2.0,8.445,WEB corpus
,SAPA,ABRAMIS,,,8.43,1.0,8.43,WEB corpus
,WARTMANNI,ABRAMIS,,,8.33,1.0,8.33,WEB corpus
,FLAVIMANUS,ACANOTHOGOBIUS,,,11.54,1.0,11.54,WEB corpus
,CESTODA,ACANTHOCEPHALA,,,12.41,1.0,12.41,WEB corpus
,HIRUDINEA,ACANTHOCEPHALA,,,11.99,1.0,11.99,WEB corpus
,LUCII,ACANTHOCEPHALUS,,,13.99,4.0,13.99,WEB corpus
,VERNALIS,ACANTHOCYCLOPS,,,13.41,1.0,13.41,WEB corpus
,AMERICANUS,ACANTHOCYLOPS,,,9.95,1.0,9.95,WEB corpus
,SCHLEGELI,ACANTHOPAGRUS,,,13.19,4.0,13.19,WEB corpus
,BIVALVIA,ACARI,,,11.99,1.0,11.99,WEB corpus
,HYDRACHNIDIA,ACARI,,,13.41,1.0,13.41,WEB corpus
,BIFILOSA,ACARTIA,,,13.41,3.0,13.41,WEB corpus
,TONSA,ACARTIA,,,13.41,3.0,13.41,WEB corpus
,CERNUA,ACERINA,,,13.34,20.0,13.34,WEB corpus
,AMEIURI,ACETODEXTRA,,,13.99,1.0,13.99,WEB corpus
,DOMESTICUS,ACHETA,,,13.41,1.0,13.41,WEB corpus
,SULCATUS,ACILIUS,,,13.99,1.0,13.99,WEB corpus
,GULDENSTAEDTII,ACIPENSER,,,8.73,1.0,8.73,WEB corpus
,HERPESVIRUS,ACIPENSERID,,,13.99,4.0,13.99,WEB corpus
,CALAMUS,ACORUS,,,13.67,2.0,13.67,WEB corpus
,LACUSTRIS,ACROLOXUS,,,10.47,1.0,10.47,WEB corpus
,HARPAE,ACROPERUS,,,13.99,5.0,13.99,WEB corpus
,ACHIRIDAE,ACTINOPTERYGII,,,12.41,1.0,12.41,WEB corpus
,CYPRINIDAE,ACTINOPTERYGII,,,11.75,2.0,11.75,WEB corpus
,HEMIRAMPHIDAE,ACTINOPTERYGII,,,12.41,1.0,12.41,WEB corpus
,TRICHOMYCTERIDAE,ACTINOPTERYGII,,,12.19,1.0,12.19,WEB corpus
,GASTEROSTEIDAE,ACULEATUS,,,12.41,2.0,12.41,WEB corpus
,PEREGRA,ACULEATUS,,,11.19,1.0,11.19,WEB corpus
,PUNGITIUS,ACULEATUS,,,10.09,2.0,10.09,WEB corpus
,GASTEROSTEI,ADAMSI,,,13.0,1.0,13.0,WEB corpus
,HADIATYAE,ADRIANICHTHYIDAE,,,12.68,1.0,12.68,WEB corpus
,AEGYPTI,AEDES,,,13.51,5.0,13.51,WEB corpus
