index,filter,VTO_total,WEB_total,VTO_not_in_WEB,WEB_not_in_VTO,VTO_in_WEB,%_only_in_VTO,%_only_in_WEB,%_common_vs_VTO,%_common_WEB
1,WEB_JEFF_shrtlist_200308_rel_over0.csv,107028,1351,106616,942,409,99.615054,69.72612879,0.382142991,30.27387121
2,WEB_JEFF_shrtlist_200308_rel_over5.csv,107028,284,106828,85,199,99.81313301,29.92957746,0.185932653,70.07042254
3,WEB_JEFF_shrtlist_200308_rel_over10.csv,107028,173,106891,37,136,99.87199611,21.38728324,0.127069552,78.61271676
4,WEB_JEFF_shrtlist_200308_rel_over15.csv,107028,132,106923,27,105,99.90189483,20.45454545,0.098105169,79.54545455
5,WEB_JEFF_shrtlist_200308_rel_over20.csv,107028,106,106938,16,90,99.91590986,15.09433962,0.084090145,84.90566038
6,WEB_JEFF_shrtlist_200308_rel_over25.csv,107028,92,106951,15,77,99.92805621,16.30434783,0.07194379,83.69565217
7,WEB_JEFF_shrtlist_200308_rel_over30.csv,107028,79,106961,12,67,99.93739956,15.18987342,0.062600441,84.81012658
8,WEB_JEFF_shrtlist_200308_rel_over35.csv,107028,70,106968,10,60,99.9439399,14.28571429,0.056060096,85.71428571
9,WEB_JEFF_shrtlist_200308_rel_over40.csv,107028,61,106976,9,52,99.95141458,14.75409836,0.048585417,85.24590164
10,WEB_JEFF_shrtlist_200308_rel_over45.csv,107028,54,106977,3,51,99.95234892,5.555555556,0.047651082,94.44444444
11,WEB_JEFF_shrtlist_200308_rel_over50.csv,107028,49,106981,2,47,99.95608626,4.081632653,0.043913742,95.91836735
12,WEB_JEFF_shrtlist_200308_rel_over55.csv,107028,43,106987,2,41,99.96169227,4.651162791,0.038307733,95.34883721
13,WEB_JEFF_shrtlist_200308_rel_over60.csv,107028,37,106992,1,36,99.96636394,2.702702703,0.033636058,97.2972973
14,WEB_JEFF_shrtlist_200308_rel_over65.csv,107028,36,106993,1,35,99.96729828,2.777777778,0.032701723,97.22222222
15,WEB_JEFF_shrtlist_200308_rel_over70.csv,107028,33,106996,1,32,99.97010128,3.03030303,0.029898718,96.96969697
16,WEB_JEFF_shrtlist_200308_rel_over75.csv,107028,31,106998,1,30,99.97196995,3.225806452,0.028030048,96.77419355
17,WEB_JEFF_shrtlist_200308_rel_over80.csv,107028,31,106998,1,30,99.97196995,3.225806452,0.028030048,96.77419355
18,WEB_JEFF_shrtlist_200308_rel_over85.csv,107028,26,107003,1,25,99.97664163,3.846153846,0.023358374,96.15384615
19,WEB_JEFF_shrtlist_200308_rel_over90.csv,107028,23,107006,1,22,99.97944463,4.347826087,0.020555369,95.65217391
20,WEB_JEFF_shrtlist_200308_rel_over95.csv,107028,23,107006,1,22,99.97944463,4.347826087,0.020555369,95.65217391
21,WEB_JEFF_shrtlist_200308_rel_over100.csv,107028,21,107008,1,20,99.9813133,4.761904762,0.018686699,95.23809524
