source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
ABRAMIS,BJOERKNA,8.15,1.0,8.15,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ABRAMIS,BRAMA,13.93,84.0,13.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACANTHOPAGRUS,BUTCHERI,13.0,2.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,BAERII,9.21,1.0,9.21,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,FULVESCENS,11.87,7.0,11.87,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,GUELDENSTAEDTII,9.21,1.0,9.21,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,RUTHENUS,10.75,3.0,10.75,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,STURIO,13.16,21.0,13.16,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,TRANSMONTANUS,13.11,20.0,13.11,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALBURNUS,ALBURNUS,13.85,29.0,13.85,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,AESTIVALIS,9.76,4.0,9.76,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,ALOSA,9.815,19.0,9.815,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,CHRYSOCHLORIS,10.09,5.0,10.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,FALLAX,12.32,27.0,12.32,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,PSEUDOHARENGUS,13.2,59.0,13.2,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,SAPIDISSIMA,12.4,29.0,12.4,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBLOPLITES,RUPESTRIS,13.96,21.0,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBLYOPSIS,ROSAE,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,CATUS,9.87,2.0,9.87,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NATALIS,13.25,30.0,13.25,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NEBULOSUS,13.47,36.0,13.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ANGUILLA,11.93,59.0,11.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,AUSTRALIS,9.23,9.0,9.23,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,DIEFFENBACHII,10.08,15.0,10.08,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,JAPONICA,13.23,181.0,13.23,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,MARMORATA,11.72,50.0,11.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,REINHARDTII,8.53,5.0,8.53,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ROSTRATA,12.75,116.0,12.75,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLIFORMES,ANGUILLIDAE,13.99,1.0,13.99,WEB corpus, FAMILY, ORDER,VTO ontology,is_a,both
ANOPLOPOMA,FIMBRIA,13.99,4.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
APHREDODERUS,SAYANUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
APLODINOTUS,GRUNNIENS,13.99,13.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ARDEA,CINEREA,13.93,10.0,13.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASPIUS,ASPIUS,13.66,15.0,13.66,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTYANAX,MEXICANUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ATHERINA,PRESBYTER,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AWAOUS,GUAMENSIS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BALLERUS,BALLERUS,13.19,2.0,13.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBATULA,BARBATULA,13.88,17.0,13.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,BARBUS,13.9,28.0,13.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,HAASI,10.04,1.0,10.04,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,MERIDIONALIS,10.04,1.0,10.04,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,NASUS,9.91,1.0,9.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BLICCA,BJOERKNA,13.91,24.0,13.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRACHYMYSTAX,LENOK,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BREVOORTIA,TYRANNUS,13.99,6.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRYCON,CEPHALUS,8.44,1.0,8.44,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CAMPOSTOMA,ANOMALUM,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,AURATUS,13.52,52.0,13.52,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,CARASSIUS,12.63,20.0,12.63,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,CUVIERI,8.64,1.0,8.64,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,GIBELIO,11.34,7.0,11.34,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARPIODES,CYPRINUS,13.58,3.0,13.58,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARPIODES,VELIFER,13.19,2.0,13.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CASTOR,CANADENSIS,10.3,1.0,10.3,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,CATOSTOMUS,12.68,18.0,12.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,COMMERSONII,11.57,12.0,11.57,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,DISCOBOLUS,9.79,2.0,9.79,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,LATIPINNIS,8.81,1.0,8.81,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,MACROCHEILUS,11.48,7.0,11.48,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,PLATYRHYNCHUS,10.35,3.0,10.35,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CENTRARCHIDAE,LEPOMIS,11.83,1.0,11.83,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CENTRARCHIDAE,MICROPTERUS,11.83,1.0,11.83,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CENTRARCHIDAE,POMOXIS,11.83,1.0,11.83,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CHAETODON,MULTICINCTUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHEIMARRICHTHYS,FOSTERI,13.77,3.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHONDROSTOMA,NASUS,13.33,18.0,13.33,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,GARIEPINUS,13.98,51.0,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,MACROCEPHALUS,9.27,1.0,9.27,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,HARENGUS,13.97,83.0,13.97,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,CALDERONI,13.21,9.0,13.21,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,TAENIA,13.5,12.0,13.5,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ALBULA,12.24,86.0,12.24,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ARTEDI,10.67,26.0,10.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,CLUPEAFORMIS,11.99,71.0,11.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,FONTANAE,8.03,4.0,8.03,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,HOYI,10.72,27.0,10.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,KIYI,7.62,3.0,7.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,LAVARETUS,13.08,220.0,13.08,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,MARAENA,7.62,3.0,7.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,NASUS,9.54,12.0,9.54,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,OXYRINCHUS,8.03,4.0,8.03,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,PELED,7.62,3.0,7.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,SARDINELLA,8.35,5.0,8.35,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ZENITHICUS,8.03,4.0,8.03,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTIDAE,COTTUS,13.41,1.0,13.41,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
COTTUS,ASPER,11.83,39.0,11.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,BAIRDII,10.79,18.0,10.79,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,CAROLINAE,8.29,3.0,8.29,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
