TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,Hits,Score,data_source_y,_merge
 SPECIES,TEMPORARIA,RANA, GENUS,VTO ontology,is_a,13.88,12.0,13.88,WEB corpus,both
 SPECIES,ARCTOS,URSUS, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,LUTRA,LUTRA, GENUS,VTO ontology,is_a,13.98,38.0,13.98,WEB corpus,both
 SPECIES,MERGANSER,MERGUS, GENUS,VTO ontology,is_a,13.97,28.0,13.97,WEB corpus,both
 SPECIES,CRISTATUS,PODICEPS, GENUS,VTO ontology,is_a,13.99,7.0,13.99,WEB corpus,both
 SPECIES,CINEREA,ARDEA, GENUS,VTO ontology,is_a,13.93,10.0,13.93,WEB corpus,both
 SPECIES,HARENGUS,CLUPEA, GENUS,VTO ontology,is_a,13.97,83.0,13.97,WEB corpus,both
 SPECIES,TYRANNUS,BREVOORTIA, GENUS,VTO ontology,is_a,13.99,6.0,13.99,WEB corpus,both
 SPECIES,CEPEDIANUM,DOROSOMA, GENUS,VTO ontology,is_a,13.67,14.0,13.67,WEB corpus,both
 SPECIES,GARIEPINUS,CLARIAS, GENUS,VTO ontology,is_a,13.98,51.0,13.98,WEB corpus,both
 SPECIES,GLANIS,SILURUS, GENUS,VTO ontology,is_a,13.92,38.0,13.92,WEB corpus,both
 SPECIES,PUNCTATUS,ICTALURUS, GENUS,VTO ontology,is_a,13.77,58.0,13.77,WEB corpus,both
 SPECIES,OLIVARIS,PYLODICTIS, GENUS,VTO ontology,is_a,13.99,7.0,13.99,WEB corpus,both
 SPECIES,MALABARICUS,HOPLIAS, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,BIGUTTATUS,NOCOMIS, GENUS,VTO ontology,is_a,13.83,4.0,13.83,WEB corpus,both
 SPECIES,CAURINUS,MYLOCHEILUS, GENUS,VTO ontology,is_a,13.99,6.0,13.99,WEB corpus,both
 SPECIES,BALTEATUS,RICHARDSONIUS, GENUS,VTO ontology,is_a,13.99,11.0,13.99,WEB corpus,both
 SPECIES,BJOERKNA,BLICCA, GENUS,VTO ontology,is_a,13.91,24.0,13.91,WEB corpus,both
 SPECIES,ERYTHROPHTHALMUS,SCARDINIUS, GENUS,VTO ontology,is_a,13.94,47.0,13.94,WEB corpus,both
 SPECIES,BRAMA,ABRAMIS, GENUS,VTO ontology,is_a,13.93,84.0,13.93,WEB corpus,both
 SPECIES,PROMELAS,PIMEPHALES, GENUS,VTO ontology,is_a,13.61,23.0,13.61,WEB corpus,both
 SPECIES,BOCAGEI,LUCIOBARBUS, GENUS,VTO ontology,is_a,13.8,10.0,13.8,WEB corpus,both
 SPECIES,TINCA,TINCA, GENUS,VTO ontology,is_a,13.92,37.0,13.92,WEB corpus,both
 SPECIES,MOLITRIX,HYPOPHTHALMICHTHYS, GENUS,VTO ontology,is_a,13.61,13.0,13.61,WEB corpus,both
 SPECIES,CARPIO,CYPRINUS, GENUS,VTO ontology,is_a,13.67,6.0,13.67,WEB corpus,both
 SPECIES,AURATUS,CARASSIUS, GENUS,VTO ontology,is_a,13.52,52.0,13.52,WEB corpus,both
 SPECIES,PARVA,PSEUDORASBORA, GENUS,VTO ontology,is_a,13.73,5.0,13.73,WEB corpus,both
 SPECIES,ASPIUS,ASPIUS, GENUS,VTO ontology,is_a,13.66,15.0,13.66,WEB corpus,both
 SPECIES,ATROMACULATUS,SEMOTILUS, GENUS,VTO ontology,is_a,13.96,19.0,13.96,WEB corpus,both
 SPECIES,PHOXINUS,PHOXINUS, GENUS,VTO ontology,is_a,13.89,46.0,13.89,WEB corpus,both
 SPECIES,CRYSOLEUCAS,NOTEMIGONUS, GENUS,VTO ontology,is_a,13.94,12.0,13.94,WEB corpus,both
 SPECIES,PLUMBEUS,COUESIUS, GENUS,VTO ontology,is_a,13.97,30.0,13.97,WEB corpus,both
 SPECIES,MARGARITA,MARGARISCUS, GENUS,VTO ontology,is_a,13.99,6.0,13.99,WEB corpus,both
 SPECIES,BARBUS,BARBUS, GENUS,VTO ontology,is_a,13.9,28.0,13.9,WEB corpus,both
 SPECIES,CORNUTUS,LUXILUS, GENUS,VTO ontology,is_a,13.75,8.0,13.75,WEB corpus,both
 SPECIES,ALBURNUS,ALBURNUS, GENUS,VTO ontology,is_a,13.85,29.0,13.85,WEB corpus,both
 SPECIES,OREGONENSIS,PTYCHOCHEILUS, GENUS,VTO ontology,is_a,13.55,18.0,13.55,WEB corpus,both
 SPECIES,ANGUILLICAUDATUS,MISGURNUS, GENUS,VTO ontology,is_a,13.94,13.0,13.94,WEB corpus,both
 SPECIES,TAENIA,COBITIS, GENUS,VTO ontology,is_a,13.5,12.0,13.5,WEB corpus,both
 SPECIES,BARBATULA,BARBATULA, GENUS,VTO ontology,is_a,13.88,17.0,13.88,WEB corpus,both
 SPECIES,CYPRINELLUS,ICTIOBUS, GENUS,VTO ontology,is_a,13.62,5.0,13.62,WEB corpus,both
 SPECIES,OBLONGUS,ERIMYZON, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,JAPONICUS,LATEOLABRAX, GENUS,VTO ontology,is_a,13.99,6.0,13.99,WEB corpus,both
 SPECIES,AUSTRALASICA,MACQUARIA, GENUS,VTO ontology,is_a,13.84,31.0,13.84,WEB corpus,both
 SPECIES,AUSTRALIS,NANNOPERCA, GENUS,VTO ontology,is_a,13.62,37.0,13.62,WEB corpus,both
 SPECIES,TRUCHA,PERCICHTHYS, GENUS,VTO ontology,is_a,13.99,8.0,13.99,WEB corpus,both
 SPECIES,PEELII,MACCULLOCHELLA, GENUS,VTO ontology,is_a,13.67,6.0,13.67,WEB corpus,both
 SPECIES,CERNUUS,GYMNOCEPHALUS, GENUS,VTO ontology,is_a,13.8,55.0,13.8,WEB corpus,both
 SPECIES,AURATA,SPARUS, GENUS,VTO ontology,is_a,13.96,19.0,13.96,WEB corpus,both
 SPECIES,LABRAX,DICENTRARCHUS, GENUS,VTO ontology,is_a,13.99,39.0,13.99,WEB corpus,both
 SPECIES,SAXATILIS,MORONE, GENUS,VTO ontology,is_a,13.75,52.0,13.75,WEB corpus,both
 SPECIES,DOLOMIEU,MICROPTERUS, GENUS,VTO ontology,is_a,13.69,52.0,13.69,WEB corpus,both
 SPECIES,NIGROMACULATUS,POMOXIS, GENUS,VTO ontology,is_a,13.57,23.0,13.57,WEB corpus,both
 SPECIES,RUPESTRIS,AMBLOPLITES, GENUS,VTO ontology,is_a,13.96,21.0,13.96,WEB corpus,both
 FAMILY,SCIAENIDAE,PERCIFORMES, ORDER,VTO ontology,is_a,13.54,4.0,13.54,WEB corpus,both
 SPECIES,OCELLATUS,SCIAENOPS, GENUS,VTO ontology,is_a,13.88,12.0,13.88,WEB corpus,both
 SPECIES,REGALIS,CYNOSCION, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,GRUNNIENS,APLODINOTUS, GENUS,VTO ontology,is_a,13.99,13.0,13.99,WEB corpus,both
 SPECIES,BIFASCIATUM,THALASSOMA, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,MINUTUS,POMATOSCHISTUS, GENUS,VTO ontology,is_a,13.94,14.0,13.94,WEB corpus,both
 SPECIES,MELANOSTOMUS,NEOGOBIUS, GENUS,VTO ontology,is_a,13.94,83.0,13.94,WEB corpus,both
 SPECIES,ARMATUS,LEPTOCOTTUS, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,FIMBRIA,ANOPLOPOMA, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,ACULEATUS,GASTEROSTEUS, GENUS,VTO ontology,is_a,13.96,254.0,13.96,WEB corpus,both
 SPECIES,PUNGITIUS,PUNGITIUS, GENUS,VTO ontology,is_a,13.83,45.0,13.83,WEB corpus,both
 SPECIES,HETEROCLITUS,FUNDULUS, GENUS,VTO ontology,is_a,13.8,33.0,13.8,WEB corpus,both
 SPECIES,RETICULATA,POECILIA, GENUS,VTO ontology,is_a,13.59,14.0,13.59,WEB corpus,both
 SPECIES,MENIDIA,MENIDIA, GENUS,VTO ontology,is_a,13.86,10.0,13.86,WEB corpus,both
 SPECIES,PLATESSA,PLEURONECTES, GENUS,VTO ontology,is_a,13.81,22.0,13.81,WEB corpus,both
 SPECIES,FLESUS,PLATICHTHYS, GENUS,VTO ontology,is_a,13.8,7.0,13.8,WEB corpus,both
 SPECIES,LIMANDA,LIMANDA, GENUS,VTO ontology,is_a,13.91,8.0,13.91,WEB corpus,both
 SPECIES,OLIVACEUS,PARALICHTHYS, GENUS,VTO ontology,is_a,13.62,22.0,13.62,WEB corpus,both
 SPECIES,SOLEA,SOLEA, GENUS,VTO ontology,is_a,13.99,12.0,13.99,WEB corpus,both
 SPECIES,MORHUA,GADUS, GENUS,VTO ontology,is_a,13.98,100.0,13.98,WEB corpus,both
 SPECIES,AEGLEFINUS,MELANOGRAMMUS, GENUS,VTO ontology,is_a,13.96,21.0,13.96,WEB corpus,both
 SPECIES,LOTA,LOTA, GENUS,VTO ontology,is_a,13.96,84.0,13.96,WEB corpus,both
 SPECIES,MERLUCCIUS,MERLUCCIUS, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,LIMI,UMBRA, GENUS,VTO ontology,is_a,13.67,6.0,13.67,WEB corpus,both
 SPECIES,WILLIAMSONI,PROSOPIUM, GENUS,VTO ontology,is_a,13.55,18.0,13.55,WEB corpus,both
 SPECIES,ALTIVELIS,PLECOGLOSSUS, GENUS,VTO ontology,is_a,13.99,9.0,13.99,WEB corpus,both
 SPECIES,VILLOSUS,MALLOTUS, GENUS,VTO ontology,is_a,13.99,12.0,13.99,WEB corpus,both
 SPECIES,FOSSOR,ICHTHYOMYZON, GENUS,VTO ontology,is_a,13.88,6.0,13.88,WEB corpus,both
 SPECIES,MARINUS,PETROMYZON, GENUS,VTO ontology,is_a,13.96,245.0,13.96,WEB corpus,both
,SCHLEGELI,ACANTHOPAGRUS,,,,13.67,4.0,13.67,WEB corpus,right_only
,MELANOSTOMA,APOLLONIA,,,,13.73,5.0,13.73,WEB corpus,right_only
,AQUATICUS,ASELLUS,,,,13.94,14.0,13.94,WEB corpus,right_only
,LONGIMANUS,BYTHOTREPHES,,,,13.99,6.0,13.99,WEB corpus,right_only
,DEMERSUM,CERATOPHYLLUM,,,,13.88,18.0,13.88,WEB corpus,right_only
,FLAVICANS,CHAOBORUS,,,,13.83,4.0,13.83,WEB corpus,right_only
,PLUMOSUS,CHIRONOMUS,,,,13.5,6.0,13.5,WEB corpus,right_only
,SINENSIS,CLONORCHIS,,,,13.99,5.0,13.99,WEB corpus,right_only
,CRANGON,CRANGON,,,,13.54,4.0,13.54,WEB corpus,right_only
,POLYMORPHA,DREISSENA,,,,13.88,30.0,13.88,WEB corpus,right_only
,MELANOGASTER,DROSOPHILA,,,,13.86,5.0,13.86,WEB corpus,right_only
,CANADENSIS,ELODEA,,,,13.69,17.0,13.69,WEB corpus,right_only
,TRIDENTATUS,ENTOSPHENUS,,,,13.86,5.0,13.86,WEB corpus,right_only
,LAMELLATUS,EURYCERCUS,,,,13.99,12.0,13.99,WEB corpus,right_only
,SYLVATICA,FAGUS,,,,13.8,7.0,13.8,WEB corpus,right_only
,ANOMALA,HEMIMYSIS,,,,13.99,5.0,13.99,WEB corpus,right_only
,GIBBERUM,HOLOPEDIUM,,,,13.99,5.0,13.99,WEB corpus,right_only
,VERTICILLATA,HYDRILLA,,,,13.97,28.0,13.97,WEB corpus,right_only
,SPICATUM,MYRIOPHYLLUM,,,,13.88,57.0,13.88,WEB corpus,right_only
,EDULIS,MYTILUS,,,,13.99,11.0,13.99,WEB corpus,right_only
