TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,COMMERSONI,CATOSTOMUS,,,13.05,WEB corpus
,BAIRDI,COTTUS,,,11.99,WEB corpus
,ESOX,CYPRINIDAE,,,12.61,WEB corpus
,FLUVIATILIS,CYPRINIDAE,,,12.62,WEB corpus
,LUCIUS,CYPRINIDAE,,,12.62,WEB corpus
,PERCA,CYPRINIDAE,,,12.6,WEB corpus
,POLYMORPHA,DREISSENA,,,13.88,WEB corpus
,CYPRINIDAE,ESOX,,,10.105,WEB corpus
,VERTICILLATA,HYDRILLA,,,13.97,WEB corpus
,SPICATUM,MYRIOPHYLLUM,,,13.88,WEB corpus
,CLARKI,ONCORHYNCHUS,,,9.49,WEB corpus
,GAIRDNERI,SALMO,,,11.48,WEB corpus
,MAXIMUS,SCOPHTHALMUS,,,13.99,WEB corpus
,LUCIOPERCA,STIZOSTEDION,,,12.71,WEB corpus
,VITREUM,STIZOSTEDION,,,13.23,WEB corpus
