TAXRANK_target,target,source,TAXRANK_source,relations,score.1,Hits,Score,data_source_y
,HIRUDINEA,ACANTHOCEPHALA,,,11.83,1.0,11.83,WEB corpus
,SCHLEGELI,ACANTHOPAGRUS,,,13.67,4.0,13.67,WEB corpus
,BIVALVIA,ACARI,,,11.99,1.0,11.99,WEB corpus
,CERNUA,ACERINA,,,13.36,20.0,13.36,WEB corpus
,ACHIRIDAE,ACTINOPTERYGII,,,12.41,1.0,12.41,WEB corpus
,CYPRINIDAE,ACTINOPTERYGII,,,11.83,2.0,11.83,WEB corpus
,TRICHOMYCTERIDAE,ACTINOPTERYGII,,,12.19,1.0,12.19,WEB corpus
,GASTEROSTEIDAE,ACULEATUS,,,11.91,2.0,11.91,WEB corpus
,CHIRONOMIDAE,AESHNIDAE,,,12.68,2.0,12.68,WEB corpus
,GLUTINOSA,ALNUS,,,13.99,3.0,13.99,WEB corpus
,CERIODAPHNIA,ALONA,,,13.0,1.0,13.0,WEB corpus
,NANA,ALONELLA,,,13.99,3.0,13.99,WEB corpus
,OXYRINCHUS,ALPINUS,,,11.99,1.0,11.99,WEB corpus
,ETHEOSTOMA,AMMOCRYPTA,,,12.68,1.0,12.68,WEB corpus
,HYLIDAE,AMPHIBIA,,,13.99,1.0,13.99,WEB corpus
,ISOPODA,AMPHIPODA,,,11.83,1.0,11.83,WEB corpus
,BAGRIDAE,ANGUILLIDAE,,,13.0,1.0,13.0,WEB corpus
,UMBRIDAE,ANGUILLIDAE,,,11.83,1.0,11.83,WEB corpus
,FENNICA,ANNALES,,,13.99,1.0,13.99,WEB corpus
,ACARI,ANNELIDA,,,12.68,1.0,12.68,WEB corpus
,MELANOSTOMA,APOLLONIA,,,13.73,5.0,13.73,WEB corpus
,GADIDAE,ARCTICUS,,,11.99,1.0,11.99,WEB corpus
,LAMPETRA,ARCTICUS,,,12.68,1.0,12.68,WEB corpus
,NOBILIS,ARISTICHTHYS,,,12.41,2.0,12.41,WEB corpus
,SALINA,ARTEMIA,,,13.99,3.0,13.99,WEB corpus
,INSECTA,ARTHROPODA,,,13.99,1.0,13.99,WEB corpus
,AQUATICUS,ASELLUS,,,13.94,14.0,13.94,WEB corpus
,GARIEPINUS,ASSEMBLAGE,,,13.41,1.0,13.41,WEB corpus
,LIMI,ATROMACULATUS,,,11.67,1.0,11.67,WEB corpus
,ERECTUM,AUSTRALIS,,,12.19,1.0,12.19,WEB corpus
,RHINOGOBIUS,AWAOUS,,,13.41,1.0,13.41,WEB corpus
,GYMNOTRACHELUS,BABKA,,,13.99,1.0,13.99,WEB corpus
,CINYGMULA,BAETIS,,,13.41,2.0,13.41,WEB corpus
,EPHEMERELLA,BAETIS,,,13.0,1.0,13.0,WEB corpus
,MACROCHEILUS,BAIRDII,,,11.83,1.0,11.83,WEB corpus
,OCEANOGRAFIA,BIOLOGIA,,,13.41,1.0,13.41,WEB corpus
,ACARI,BIVALVIA,,,12.19,1.0,12.19,WEB corpus
,MOLLUSCA,BIVALVIA,,,11.83,1.0,11.83,WEB corpus
,UNIONIDAE,BIVALVIA,,,12.68,1.0,12.68,WEB corpus
,SQUALIUS,BOCAGEI,,,12.19,1.0,12.19,WEB corpus
,2,BOSMINA,,,12.68,1.0,12.68,WEB corpus
,BIOMASS,BOSMINA,,,12.41,1.0,12.41,WEB corpus
,CHYDORUS,BOSMINA,,,12.79,5.0,12.79,WEB corpus
,COREGONI,BOSMINA,,,12.26,3.0,12.26,WEB corpus
,NUMBER,BOSMINA,,,11.99,1.0,11.99,WEB corpus
,TAB,BOSMINA,,,12.68,1.0,12.68,WEB corpus
,COPEPODS,BRACHIONUS,,,13.41,1.0,13.41,WEB corpus
,COLEOPTERA,BRACHYCENTRIDAE,,,12.68,2.0,12.68,WEB corpus
,COREGONUS,BRACHYMYSTAX,,,12.41,1.0,12.41,WEB corpus
,FOSTERI,BREVIPINNIS,,,12.68,1.0,12.68,WEB corpus
,ARTEMIA,BSN,,,13.99,1.0,13.99,WEB corpus
,UMBELLATUS,BUTOMUS,,,13.99,1.0,13.99,WEB corpus
,LONGIMANUS,BYTHOTREPHES,,,13.99,6.0,13.99,WEB corpus
,EXILE,CAERULEUM,,,11.83,1.0,11.83,WEB corpus
,SQUALIUS,CALDERONI,,,13.0,2.0,13.0,WEB corpus
,PETROMYZONTIDAE,CAMTSCHATICUM,,,13.41,1.0,13.41,WEB corpus
,MAENAS,CARCINUS,,,13.99,2.0,13.99,WEB corpus
,CAREX,CAREX,,,12.68,1.0,12.68,WEB corpus
,ICTALURIDAE,CATOSTOMIDAE,,,12.88,3.0,12.88,WEB corpus
,SALMONIDAE,CATOSTOMIDAE,,,11.64,4.0,11.64,WEB corpus
,COMMERSONI,CATOSTOMUS,,,13.05,26.0,13.05,WEB corpus
,COUESIUS,CATOSTOMUS,,,12.19,1.0,12.19,WEB corpus
,HUDSONIUS,CATOSTOMUS,,,12.19,1.0,12.19,WEB corpus
,NOTROPIS,CATOSTOMUS,,,12.19,1.0,12.19,WEB corpus
,PIMEPHALES,CATOSTOMUS,,,12.19,1.0,12.19,WEB corpus
,PLUMBEUS,CATOSTOMUS,,,12.19,1.0,12.19,WEB corpus
,ICTALURUS,CENTRARCHIDAE,,,13.12,3.0,13.12,WEB corpus
,NATALIS,CENTRARCHIDAE,,,11.83,1.0,11.83,WEB corpus
,PERCIDAE,CENTRARCHIDAE,,,13.0,1.0,13.0,WEB corpus
,PUNCTATUS,CENTRARCHIDAE,,,11.83,1.0,11.83,WEB corpus
,DEMERSUM,CERATOPHYLLUM,,,13.88,18.0,13.88,WEB corpus
,GASTROPODA,CERATOPOGONIDAE,,,13.67,2.0,13.67,WEB corpus
,CHYDORUS,CERIODAPHNIA,,,11.83,1.0,11.83,WEB corpus
,DIAPHANOSOMA,CERIODAPHNIA,,,12.68,1.0,12.68,WEB corpus
,QUADRANGULA,CERIODAPHNIA,,,12.68,1.0,12.68,WEB corpus
,CERNUA,CERNUUS,,,11.97,6.0,11.97,WEB corpus
,FLAVICANS,CHAOBORUS,,,13.83,4.0,13.83,WEB corpus
,ROTIFERA,CHAOBORUS,,,11.99,1.0,11.99,WEB corpus
,OSTARIOPHYSI,CHARACIDAE,,,13.41,1.0,13.41,WEB corpus
,AMPHIPODA,CHIRONOMIDAE,,,11.75,2.0,11.75,WEB corpus
,DIPTERA,CHIRONOMIDAE,,,11.71,4.0,11.71,WEB corpus
,PLUMOSUS,CHIRONOMUS,,,13.5,6.0,13.5,WEB corpus
,RIPARIUS,CHIRONOMUS,,,12.77,3.0,12.77,WEB corpus
,TOXOSTOMA,CHONDROSTOMA,,,12.41,5.0,12.41,WEB corpus
,NEOGAEUS,CHROSOMUS,,,13.99,1.0,13.99,WEB corpus
,CORNUTUS,CHRYSOCEPHALUS,,,11.54,1.0,11.54,WEB corpus
,CURCULIONIDAE,CHRYSOMELIDAE,,,13.41,1.0,13.41,WEB corpus
,PERCA,CHRYSOPS,,,11.83,1.0,11.83,WEB corpus
,CRUSTACEA,CHYDORIDAE,,,12.41,1.0,12.41,WEB corpus
,HEMIPTERA,CICADELLIDAE,,,12.41,1.0,12.41,WEB corpus
,BOSMINA,CLADOCERA,,,11.675,3.0,11.675,WEB corpus
,CHYDORUS,CLADOCERA,,,12.19,1.0,12.19,WEB corpus
,COPEPODA,CLADOCERA,,,12.705,16.0,12.705,WEB corpus
,DAPHNIA,CLADOCERA,,,12.83,2.0,12.83,WEB corpus
,FOOD,CLADOCERA,,,11.54,1.0,11.54,WEB corpus
,NUMBER,CLADOCERA,,,11.99,1.0,11.99,WEB corpus
,ORGANISM,CLADOCERA,,,12.68,1.0,12.68,WEB corpus
,RUDD,CLADOCERA,,,12.68,1.0,12.68,WEB corpus
,SILURIFORMES,CLARIIDAE,,,13.41,1.0,13.41,WEB corpus
,SALVELINUS,CLARKI,,,11.67,1.0,11.67,WEB corpus
,SINENSIS,CLONORCHIS,,,13.99,5.0,13.99,WEB corpus
,RICEI,COGNATUS,,,12.19,2.0,12.19,WEB corpus
,LEPIDOPTERA,COLEOPTERA,,,11.83,2.0,11.83,WEB corpus
,OLIGOCHAETA,COLLEMBOLA,,,13.0,1.0,13.0,WEB corpus
,PERCA,COMMERSONI,,,12.19,1.0,12.19,WEB corpus
,COULTERII,COMMERSONII,,,12.54,2.0,12.54,WEB corpus
,CYCLOPOIDA,COPEPODA,,,11.54,1.0,11.54,WEB corpus
,DECAPODA,COPEPODA,,,11.99,2.0,11.99,WEB corpus
,CLADOCERA,COPEPODS,,,12.68,1.0,12.68,WEB corpus
,COREGONUS,COREGONUS,,,12.19,3.0,12.19,WEB corpus
,HYMENOPTERA,CORIXIDAE,,,11.54,1.0,11.54,WEB corpus
,COTTIDAE,COTTID,,,13.99,1.0,13.99,WEB corpus
,MORONIDAE,COTTIDAE,,,13.41,2.0,13.41,WEB corpus
,BAIRDI,COTTUS,,,11.99,44.0,11.99,WEB corpus
,BAIRDII,COULTERII,,,11.54,2.0,11.54,WEB corpus
,CRANGON,CRANGON,,,13.54,4.0,13.54,WEB corpus
,SEPTEMSPINOSA,CRANGON,,,13.26,3.0,13.26,WEB corpus
,DECAPODA,CRUSTACEA,,,12.33,3.0,12.33,WEB corpus
,IDELLUS,CTENOPHARYNGODON,,,13.58,3.0,13.58,WEB corpus
,GAMMARUS,CULEX,,,13.41,1.0,13.41,WEB corpus
,MUSCIDAE,CULICIDAE,,,13.0,1.0,13.0,WEB corpus
,ELMIDAE,CURCULIONIDAE,,,12.41,1.0,12.41,WEB corpus
,ESOX,CYPRINIDAE,,,12.61,43.0,12.61,WEB corpus
,FLUVIATILIS,CYPRINIDAE,,,12.62,43.0,12.62,WEB corpus
,LUCIUS,CYPRINIDAE,,,12.62,43.0,12.62,WEB corpus
,OSTARIOPHYSI,CYPRINIDAE,,,11.54,1.0,11.54,WEB corpus
,PERCA,CYPRINIDAE,,,12.6,43.0,12.6,WEB corpus
,CYPRINELLA,CYPRINUS,,,11.67,1.0,11.67,WEB corpus
,OSMERIDAE,DALLIA,,,13.41,1.0,13.41,WEB corpus
,HYALINA,DAPHNIA,,,12.13,7.0,12.13,WEB corpus
,KERATELLA,DAPHNIA,,,13.41,1.0,13.41,WEB corpus
,LONGISPINA,DAPHNIA,,,12.38,9.0,12.38,WEB corpus
,POLYARTHRA,DAPHNIA,,,13.41,1.0,13.41,WEB corpus
,PULEX,DAPHNIA,,,11.74,7.0,11.74,WEB corpus
,AMPHIPODA,DECAPODA,,,12.19,1.0,12.19,WEB corpus
,ATYIDAE,DECAPODA,,,12.68,1.0,12.68,WEB corpus
,CRUSTACEA,DECAPODA,,,11.99,1.0,11.99,WEB corpus
,BOSMINA,DIAPHANOSOMA,,,11.67,1.0,11.67,WEB corpus
,CESTODA,DIGENEA,,,13.41,2.0,13.41,WEB corpus
,PHOXINI,DIPLOSTOMUM,,,13.41,2.0,13.41,WEB corpus
,SPATHACEUM,DIPLOSTOMUM,,,13.41,2.0,13.41,WEB corpus
,CHIRONOMID,DIPTERA,,,12.41,1.0,12.41,WEB corpus
,CHIRONOMIDAE,DIPTERA,,,11.54,2.0,11.54,WEB corpus
,COPEPODA,DIPTERA,,,11.99,1.0,11.99,WEB corpus
,HETEROPTERA,DIPTERA,,,11.75,2.0,11.75,WEB corpus
,LEPIDOPTERA,DIPTERA,,,12.41,1.0,12.41,WEB corpus
,ODONATA,DIPTERA,,,11.75,2.0,11.75,WEB corpus
,PISIDIUM,DIPTERA,,,12.41,1.0,12.41,WEB corpus
,CERATOPOGONIDAE,DIXIDAE,,,13.0,1.0,13.0,WEB corpus
,DOLICHOPODIDAE,DIXIDAE,,,13.0,1.0,13.0,WEB corpus
,DIXIDAE,DOLICHOPODIDAE,,,13.0,1.0,13.0,WEB corpus
,EMPIDIDAE,DOLICHOPODIDAE,,,13.0,1.0,13.0,WEB corpus
,MUSCIDAE,DOLICHOPODIDAE,,,12.68,1.0,12.68,WEB corpus
,BUGENSIS,DREISSENA,,,11.99,5.0,11.99,WEB corpus
,POLYMORPHA,DREISSENA,,,13.88,30.0,13.88,WEB corpus
,MELANOGASTER,DROSOPHILA,,,13.86,5.0,13.86,WEB corpus
,ELMIDAE,DYTISCIDAE,,,12.41,1.0,12.41,WEB corpus
,MOLLUSCA,ECHINODERMATA,,,12.41,1.0,12.41,WEB corpus
,DENSA,EGERIA,,,13.67,2.0,13.67,WEB corpus
,POTAMOGETON,EGERIA,,,13.0,1.0,13.0,WEB corpus
,AZUREA,EICHORNIA,,,13.99,1.0,13.99,WEB corpus
,GYRINIDAE,ELMIDAE,,,13.41,1.0,13.41,WEB corpus
,CANADENSIS,ELODEA,,,13.69,17.0,13.69,WEB corpus
,NICOLA,ELVIRA,,,13.99,1.0,13.99,WEB corpus
,DOLICHOPODIDAE,EMPIDIDAE,,,13.41,1.0,13.41,WEB corpus
,MARAENA,ENGLISH,,,13.41,1.0,13.41,WEB corpus
,CLUPEIDAE,ENTOSPHENUS,,,11.99,1.0,11.99,WEB corpus
,TRIDENTATUS,ENTOSPHENUS,,,13.86,5.0,13.86,WEB corpus
,BAETIS,EPHEMERELLA,,,13.99,2.0,13.99,WEB corpus
,ELMIDAE,EPHEMERELLIDAE,,,13.19,2.0,13.19,WEB corpus
,PLECOPTERA,EPHEMEROPTERA,,,13.31,19.0,13.31,WEB corpus
,EQUISETUM,EQUISETUM,,,13.41,1.0,13.41,WEB corpus
,PHRAGMITES,EQUISETUM,,,13.0,1.0,13.0,WEB corpus
,FOOD,ERYTHROPHTHALMUS,,,11.83,1.0,11.83,WEB corpus
,PLANT,ERYTHROPHTHALMUS,,,12.19,1.0,12.19,WEB corpus
,MASQUINONGY,ESOCIDAE,,,13.41,2.0,13.41,WEB corpus
,LAMELLATUS,EURYCERCUS,,,13.99,12.0,13.99,WEB corpus
,FLABELLARE,EXILE,,,12.68,1.0,12.68,WEB corpus
,MACULATA,EXILE,,,11.83,1.0,11.83,WEB corpus
,SYLVATICA,FAGUS,,,13.8,7.0,13.8,WEB corpus
,AMEIURUS,FIN,,,13.99,1.0,13.99,WEB corpus
,CLUPEA,FISHERY,,,11.83,1.0,11.83,WEB corpus
,PERCINA,FLAVESCENS,,,12.29,2.0,12.29,WEB corpus
,ABRAMIS,FLUVIATILIS,,,11.54,1.0,11.54,WEB corpus
,UMBLA,FLUVIATILIS,,,11.67,1.0,11.67,WEB corpus
,AGASSIZI,FORBESICHTHYS,,,13.99,1.0,13.99,WEB corpus
,PERCINA,FULVESCENS,,,11.67,1.0,11.67,WEB corpus
,TELEOSTEI,GADIDAE,,,11.99,1.0,11.99,WEB corpus
,TRUTLA,GAIRDNERI,,,13.41,1.0,13.41,WEB corpus
,HOLBROOKI,GAMBUSIA,,,13.18,19.0,13.18,WEB corpus
,ATYIDAE,GAMMARIDAE,,,13.0,1.0,13.0,WEB corpus
,OSTRACODA,GAMMARIDAE,,,12.68,1.0,12.68,WEB corpus
,DYTISCIDAE,GAMMARUS,,,12.41,1.0,12.41,WEB corpus
,LACUSTRIS,GAMMARUS,,,13.14,11.0,13.14,WEB corpus
,MEGALOPTERA,GAMMARUS,,,12.41,1.0,12.41,WEB corpus
,MOLLUSCA,GAMMARUS,,,12.41,1.0,12.41,WEB corpus
,PLECOPTERA,GAMMARUS,,,12.19,1.0,12.19,WEB corpus
,PULEX,GAMMARUS,,,13.0,12.0,13.0,WEB corpus
,FRESHWATER,GARCIA,,,12.83,2.0,12.83,WEB corpus
,SALT,GARCIA,,,13.41,2.0,13.41,WEB corpus
,SILURIFORMES,GARIEPINUS,,,13.41,1.0,13.41,WEB corpus
,COTTIDAE,GASTEROSTEIDAE,,,12.88,3.0,12.88,WEB corpus
,POECILIIDAE,GASTEROSTEIDAE,,,12.19,1.0,12.19,WEB corpus
,NEMATODA,GASTROPODA,,,13.37,12.0,13.37,WEB corpus
,PARVA,GIBELIO,,,11.99,1.0,11.99,WEB corpus
,MAXIMA,GLYCERIA,,,13.99,2.0,13.99,WEB corpus
,ELEOTRIDINAE,GOBIIDAE,,,13.41,1.0,13.41,WEB corpus
,GASTEROSTEIDAE,GOBIIDAE,,,12.41,1.0,12.41,WEB corpus
,GOBIIDAE,GOBY,,,13.99,1.0,13.99,WEB corpus
,GYRAULUS,GOBY,,,12.68,1.0,12.68,WEB corpus
,PHYSA,GOBY,,,12.68,1.0,12.68,WEB corpus
,GOBIIDAE,GRUNNIENS,,,13.41,1.0,13.41,WEB corpus
,CERNUA,GYMNOCEPHALUS,,,12.1,15.0,12.1,WEB corpus
,HALIPLIDAE,GYRINIDAE,,,13.41,1.0,13.41,WEB corpus
,RUBRA,HALIOTIS,,,13.99,2.0,13.99,WEB corpus
,CURCULIONIDAE,HALIPLIDAE,,,13.41,1.0,13.41,WEB corpus
,ANOMALA,HEMIMYSIS,,,13.99,5.0,13.99,WEB corpus
,HETEROPTERA,HEMIPTERA,,,12.19,1.0,12.19,WEB corpus
,HYMENOPTERA,HETEROPTERA,,,11.54,1.0,11.54,WEB corpus
,VULGARIS,HIPPURIS,,,13.0,1.0,13.0,WEB corpus
,TABANIDAE,HIRUDINEA,,,11.83,1.0,11.83,WEB corpus
,GIBBERUM,HOLOPEDIUM,,,13.99,5.0,13.99,WEB corpus
,ORTHOPTERA,HOMOPTERA,,,13.41,1.0,13.41,WEB corpus
,CALANOIDA,HYDRACARINA,,,13.0,1.0,13.0,WEB corpus
,CYCLOPOIDA,HYDRACARINA,,,13.0,1.0,13.0,WEB corpus
,MEGALOPTERA,HYDRACARINA,,,12.54,2.0,12.54,WEB corpus
,TABANIDAE,HYDRACARINA,,,12.19,1.0,12.19,WEB corpus
,VERTICILLATA,HYDRILLA,,,13.97,28.0,13.97,WEB corpus
,NOTERIDAE,HYDROPHILIDAE,,,13.0,1.0,13.0,WEB corpus
,COLEOPTERA,HYDROPSYCHIDAE,,,11.83,1.0,11.83,WEB corpus
,TRASKI,HYSTEROCARPUS,,,13.99,1.0,13.99,WEB corpus
,CINYGMULA,ICHNEUMONIDAE,,,13.0,1.0,13.0,WEB corpus
,CENTRARCHIDAE,ICTALURIDAE,,,13.41,1.0,13.41,WEB corpus
,AMPHIPODS,INSECT,,,13.41,1.0,13.41,WEB corpus
,DAPHNIA,KERATELLA,,,13.0,1.0,13.0,WEB corpus
,TSCHAWYTSCHA,KETA,,,12.68,1.0,12.68,WEB corpus
,ZENITHICUS,KIYI,,,12.19,1.0,12.19,WEB corpus
,OSTEICHTHYES,LABEO,,,13.41,1.0,13.41,WEB corpus
,DYTISCIDAE,LACUSTRIS,,,12.41,1.0,12.41,WEB corpus
,HYDRACARINA,LACUSTRIS,,,13.41,1.0,13.41,WEB corpus
,MEGALOPTERA,LACUSTRIS,,,12.41,1.0,12.41,WEB corpus
