TAXRANK_target,target,source,TAXRANK_source,relations,score.1,Hits,Score,data_source_y
,SCHLEGELI,ACANTHOPAGRUS,,,13.67,4.0,13.67,WEB corpus
,MELANOSTOMA,APOLLONIA,,,13.73,5.0,13.73,WEB corpus
,AQUATICUS,ASELLUS,,,13.94,14.0,13.94,WEB corpus
,LONGIMANUS,BYTHOTREPHES,,,13.99,6.0,13.99,WEB corpus
,DEMERSUM,CERATOPHYLLUM,,,13.88,18.0,13.88,WEB corpus
,FLAVICANS,CHAOBORUS,,,13.83,4.0,13.83,WEB corpus
,PLUMOSUS,CHIRONOMUS,,,13.5,6.0,13.5,WEB corpus
,SINENSIS,CLONORCHIS,,,13.99,5.0,13.99,WEB corpus
,CRANGON,CRANGON,,,13.54,4.0,13.54,WEB corpus
,POLYMORPHA,DREISSENA,,,13.88,30.0,13.88,WEB corpus
,MELANOGASTER,DROSOPHILA,,,13.86,5.0,13.86,WEB corpus
,CANADENSIS,ELODEA,,,13.69,17.0,13.69,WEB corpus
,TRIDENTATUS,ENTOSPHENUS,,,13.86,5.0,13.86,WEB corpus
,LAMELLATUS,EURYCERCUS,,,13.99,12.0,13.99,WEB corpus
,SYLVATICA,FAGUS,,,13.8,7.0,13.8,WEB corpus
,ANOMALA,HEMIMYSIS,,,13.99,5.0,13.99,WEB corpus
,GIBBERUM,HOLOPEDIUM,,,13.99,5.0,13.99,WEB corpus
,VERTICILLATA,HYDRILLA,,,13.97,28.0,13.97,WEB corpus
,SPICATUM,MYRIOPHYLLUM,,,13.88,57.0,13.88,WEB corpus
,EDULIS,MYTILUS,,,13.99,11.0,13.99,WEB corpus
,LUTEA,NUPHAR,,,13.93,10.0,13.93,WEB corpus
,LENIUSCULUS,PACIFASTACUS,,,13.99,16.0,13.99,WEB corpus
,MINIBICORNIS,PARVICAPSULA,,,13.99,5.0,13.99,WEB corpus
,MAXIMUS,SCOPHTHALMUS,,,13.99,25.0,13.99,WEB corpus
,CRYSTALLINA,SIDA,,,13.83,4.0,13.83,WEB corpus
,ERECTUM,SPARGANIUM,,,13.83,4.0,13.83,WEB corpus
,LATIFOLIA,TYPHA,,,13.62,5.0,13.62,WEB corpus
,VICTORIA,VICTORIA,,,13.54,4.0,13.54,WEB corpus
