TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,LUTRA,LUTRA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CANADENSIS,CASTOR, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CINEREA,ARDEA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,SPATULA,ATRACTOSTEUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,OSSEUS,LEPISOSTEUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,OCULATUS,LEPISOSTEUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,GIGAS,ARAPAIMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,AUSTRALIS,ANGUILLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ROSTRATA,ANGUILLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,JAPONICA,ANGUILLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ANGUILLA,ANGUILLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,DIEFFENBACHII,ANGUILLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,HARENGUS,CLUPEA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,FALLAX,ALOSA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,ALOSA,ALOSA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PSEUDOHARENGUS,ALOSA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,SAPIDISSIMA,ALOSA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CEPEDIANUM,DOROSOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PETENENSE,DOROSOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,MORDAX,ENGRAULIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,GARIEPINUS,CLARIAS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,GLANIS,SILURUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ASOTUS,SILURUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ASOTUS,SILURUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PUNCTATUS,ICTALURUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,NEBULOSUS,AMEIURUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,OLIVARIS,PYLODICTIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,MACULATUS,PIMELODUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,GRANULOSUS,PTERODORAS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,GRANULOSUS,PTERODORAS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ODOE,HEPSETUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,VITTATUS,HYDROCYNUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,INTERMEDIUS,ASTYANAX, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,LINEATUS,PROCHILODUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,OCTOFASCIATUS,LEPORINUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,BIGUTTATUS,NOCOMIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,MICROPOGON,NOCOMIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,LEPTOCEPHALUS,NOCOMIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,PLACITUS,HYBOGNATHUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,BALTEATUS,RICHARDSONIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,LEUCISCUS,LEUCISCUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,AMARUS,RHODEUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,SERICEUS,RHODEUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,DELINEATUS,LEUCASPIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,BJOERKNA,BLICCA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ERYTHROPHTHALMUS,SCARDINIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,BRAMA,ABRAMIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PROMELAS,PIMEPHALES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,NOTATUS,PIMEPHALES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,VIGILAX,PIMEPHALES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,TINCA,TINCA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,RUTILUS,RUTILUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ANOMALUM,CAMPOSTOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,NASUS,CHONDROSTOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,MOLITRIX,HYPOPHTHALMICHTHYS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,GIBELIO,CARASSIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CARASSIUS,CARASSIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,AURATUS,CARASSIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PARVA,PSEUDORASBORA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CAROLITERTII,SQUALIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,CEPHALUS,SQUALIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CEPHALUS,SQUALIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ARADENSIS,SQUALIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,ASPIUS,ASPIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CATARACTAE,RHINICHTHYS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,OSCULUS,RHINICHTHYS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CAERULEA,CYPRINELLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,LUTRENSIS,CYPRINELLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,VENUSTA,CYPRINELLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ATROMACULATUS,SEMOTILUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PHOXINUS,PHOXINUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,TEXANUS,NOTROPIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,STRAMINEUS,NOTROPIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,BAILEYI,NOTROPIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,HUDSONIUS,NOTROPIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,LUTIPINNIS,NOTROPIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
