TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,score.1_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,score.1_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,TEMPORARIA,RANA, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB frequency,both
 SPECIES,LUTRA,LUTRA, GENUS,VTO ontology,is_a,13.98,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.98,WEB corpus,both,WEB frequency,both
 SPECIES,MERGANSER,MERGUS, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB frequency,both
 SPECIES,CRISTATUS,PODICEPS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,CINEREA,ARDEA, GENUS,VTO ontology,is_a,13.93,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.93,WEB corpus,both,WEB frequency,both
 SPECIES,AUSTRALIS,ANGUILLA, GENUS,VTO ontology,is_a,9.23,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.23,WEB corpus,both,WEB frequency,both
 SPECIES,MARMORATA,ANGUILLA, GENUS,VTO ontology,is_a,11.72,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.72,WEB corpus,both,WEB frequency,both
 SPECIES,ROSTRATA,ANGUILLA, GENUS,VTO ontology,is_a,12.75,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.75,WEB corpus,both,WEB frequency,both
 SPECIES,JAPONICA,ANGUILLA, GENUS,VTO ontology,is_a,13.23,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.23,WEB corpus,both,WEB frequency,both
 SPECIES,ANGUILLA,ANGUILLA, GENUS,VTO ontology,is_a,11.93,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.93,WEB corpus,both,WEB frequency,both
 SPECIES,DIEFFENBACHII,ANGUILLA, GENUS,VTO ontology,is_a,10.08,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.08,WEB corpus,both,WEB frequency,both
 SPECIES,HARENGUS,CLUPEA, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB frequency,both
 SPECIES,TYRANNUS,BREVOORTIA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,CHRYSOCHLORIS,ALOSA, GENUS,VTO ontology,is_a,10.09,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.09,WEB corpus,both,WEB frequency,both
 SPECIES,FALLAX,ALOSA, GENUS,VTO ontology,is_a,12.32,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.32,WEB corpus,both,WEB frequency,both
 SPECIES,ALOSA,ALOSA, GENUS,VTO ontology,is_a,9.815,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.815,WEB corpus,both,WEB frequency,both
 SPECIES,PSEUDOHARENGUS,ALOSA, GENUS,VTO ontology,is_a,13.2,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.2,WEB corpus,both,WEB frequency,both
 SPECIES,SAPIDISSIMA,ALOSA, GENUS,VTO ontology,is_a,12.4,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.4,WEB corpus,both,WEB frequency,both
 SPECIES,CEPEDIANUM,DOROSOMA, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB frequency,both
 SPECIES,PETENENSE,DOROSOMA, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB frequency,both
 SPECIES,ENCRASICOLUS,ENGRAULIS, GENUS,VTO ontology,is_a,12.62,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.62,WEB corpus,both,WEB frequency,both
 SPECIES,MORDAX,ENGRAULIS, GENUS,VTO ontology,is_a,12.65,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.65,WEB corpus,both,WEB frequency,both
 SPECIES,GARIEPINUS,CLARIAS, GENUS,VTO ontology,is_a,13.98,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.98,WEB corpus,both,WEB frequency,both
 SPECIES,GLANIS,SILURUS, GENUS,VTO ontology,is_a,13.92,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.92,WEB corpus,both,WEB frequency,both
 SPECIES,FURCATUS,ICTALURUS, GENUS,VTO ontology,is_a,11.96,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.96,WEB corpus,both,WEB frequency,both
 SPECIES,PUNCTATUS,ICTALURUS, GENUS,VTO ontology,is_a,13.77,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.77,WEB corpus,both,WEB frequency,both
