source,target,relations,hits,score,score.1
ABRAMIS,BRAMA,PARENT-CHILD,54,13.81,13.81
ALBURNUS,ALBURNUS,PARENT-CHILD,28,13.92,13.92
ALOSA,ALOSA,PARENT-CHILD,13,12.68,12.68
ALOSA,PSEUDOHARENGUS,PARENT-CHILD,13,12.68,12.68
ALOSA,SAPIDISSIMA,PARENT-CHILD,18,11.125,11.125
AMBLOPLITES,RUPESTRIS,PARENT-CHILD,15,13.69,13.69
ANGUILLA,ANGUILLA,PARENT-CHILD,52,12.86,12.86
ANGUILLA,AUSTRALIS,PARENT-CHILD,10,10.74,10.74
ANGUILLA,DIEFFENBACHII,PARENT-CHILD,26,12.03,12.03
ANGUILLA,JAPONICA,PARENT-CHILD,50,12.79,12.79
ANGUILLA,ROSTRATA,PARENT-CHILD,32,12.27,12.27
ARAPAIMA,GIGAS,PARENT-CHILD,14,13.99,13.99
ASTYANAX,INTERMEDIUS,PARENT-CHILD,11,13.6,13.6
BARBATULA,BARBATULA,PARENT-CHILD,16,13.95,13.95
BARBUS,BARBUS,PARENT-CHILD,59,13.61,13.61
BARBUS,SCLATERI,PARENT-CHILD,12,11.87,11.87
BLICCA,BJOERKNA,PARENT-CHILD,14,13.48,13.48
CAMPOSTOMA,ANOMALUM,PARENT-CHILD,16,13.99,13.99
CARASSIUS,AURATUS,PARENT-CHILD,24,13.11,13.11
CARASSIUS,CARASSIUS,PARENT-CHILD,22,13.14,13.14
CATOSTOMUS,CATOSTOMUS,PARENT-CHILD,10,12.54,12.54
CATOSTOMUS,COMMERSONI,PARENT-CHILD,10,12.57,12.57
CATOSTOMUS,COMMERSONII,PARENT-CHILD,10,12.54,12.54
CHONDROSTOMA,NASUS,PARENT-CHILD,21,13.32,13.32
COREGONUS,ALBULA,PARENT-CHILD,94,13.01,13.01
COREGONUS,ARTEDI,PARENT-CHILD,10,10.13,10.13
COREGONUS,CLUPEAFORMIS,PARENT-CHILD,17,10.87,10.87
COREGONUS,LAVARETUS,PARENT-CHILD,95,13.01,13.01
COREGONUS,NASUS,PARENT-CHILD,13,10.39,10.39
COREGONUS,SARDINELLA,PARENT-CHILD,11,10.27,10.27
COTTUS,BAIRDI,PARENT-CHILD,17,11.58,11.58
COTTUS,COGNATUS,PARENT-CHILD,20,11.78,11.78
COTTUS,GOBIO,PARENT-CHILD,73,13.13,13.13
CYPRINELLA,VENUSTA,PARENT-CHILD,24,13.47,13.47
DAPHNIA,GALEATA,PARENT-CHILD,10,13.19,13.19
DOROSOMA,CEPEDIANUM,PARENT-CHILD,17,13.72,13.72
DREISSENA,POLYMORPHA,PARENT-CHILD,25,13.94,13.94
ENTOSPHENUS,TRIDENTATUS,PARENT-CHILD,16,13.99,13.99
ESOX,LINNAEUS,PARENT-CHILD,13,10.37,10.37
ESOX,LUCIUS,PARENT-CHILD,179,11.995,11.995
ETHEOSTOMA,CINEREUM,PARENT-CHILD,14,11.83,11.83
ETHEOSTOMA,FLABELLARE,PARENT-CHILD,17,12.06,12.06
ETHEOSTOMA,NIGRUM,PARENT-CHILD,17,12.08,12.08
ETHEOSTOMA,SPECTABILE,PARENT-CHILD,19,12.2,12.2
FUNDULUS,NOTATUS,PARENT-CHILD,15,12.77,12.77
FUNDULUS,OLIVACEUS,PARENT-CHILD,11,12.73,12.73
GADUS,MORHUA,PARENT-CHILD,30,13.97,13.97
GALAXIAS,FASCIATUS,PARENT-CHILD,12,12.35,12.35
GALAXIAS,MACULATUS,PARENT-CHILD,38,13.45,13.45
GAMBUSIA,AFFINIS,PARENT-CHILD,40,13.23,13.23
GAMBUSIA,HOLBROOKI,PARENT-CHILD,47,13.4,13.4
GASTEROSTEUS,ACULEATUS,PARENT-CHILD,99,13.94,13.94
GOBIOMORPHUS,COTIDIANUS,PARENT-CHILD,12,13.72,13.72
GYMNOCEPHALUS,CERNUA,PARENT-CHILD,13,12.51,12.51
GYMNOCEPHALUS,CERNUUS,PARENT-CHILD,46,13.79,13.79
ICTALURUS,PUNCTATUS,PARENT-CHILD,22,13.87,13.87
LAMPETRA,FLUVIATILIS,PARENT-CHILD,25,11.15,11.15
LAMPETRA,PLANERI,PARENT-CHILD,24,12.97,12.97
LAMPETRA,TRIDENTATA,PARENT-CHILD,17,12.57,12.57
LEPISOSTEUS,OCULATUS,PARENT-CHILD,10,13.15,13.15
LEPISOSTEUS,OSSEUS,PARENT-CHILD,11,13.25,13.25
LEPOMIS,CYANELLUS,PARENT-CHILD,14,11.47,11.47
LEPOMIS,GIBBOSUS,PARENT-CHILD,60,13.18,13.18
LEPOMIS,MACROCHIRUS,PARENT-CHILD,56,13.14,13.14
LEUCISCUS,CEPHALUS,PARENT-CHILD,37,13.15,13.15
LEUCISCUS,LEUCISCUS,PARENT-CHILD,26,13.06,13.06
LOTA,LOTA,PARENT-CHILD,55,11.56,11.56
LUCIUS,LINNAEUS,CHILD-PARENT,15,11.69,11.69
LUTRA,LUTRA,PARENT-CHILD,12,13.99,13.99
MACCULLOCHELLA,PEELII,PARENT-CHILD,17,13.83,13.83
MACQUARIA,AMBIGUA,PARENT-CHILD,19,13.46,13.46
MACQUARIA,AUSTRALASICA,PARENT-CHILD,13,13.12,13.12
MICROPTERUS,DOLOMIEU,PARENT-CHILD,36,13.77,13.77
MISGURNUS,ANGUILLICAUDATUS,PARENT-CHILD,14,13.85,13.85
MORONE,SAXATILIS,PARENT-CHILD,21,13.86,13.86
MYSIS,RELICTA,PARENT-CHILD,14,13.55,13.55
NEOGOBIUS,MELANOSTOMUS,PARENT-CHILD,67,13.84,13.84
ONCORHYNCHUS,CLARKI,PARENT-CHILD,12,9.27,9.27
ONCORHYNCHUS,GORBUSCHA,PARENT-CHILD,15,9.58,9.58
ONCORHYNCHUS,KETA,PARENT-CHILD,14,9.49,9.49
ONCORHYNCHUS,KISUTCH,PARENT-CHILD,138,12.52,12.52
ONCORHYNCHUS,MYKISS,PARENT-CHILD,212,12.99,12.99
ONCORHYNCHUS,NERKA,PARENT-CHILD,105,12.2,12.2
ONCORHYNCHUS,TSHAWYTSCHA,PARENT-CHILD,101,12.15,12.15
OSMERUS,EPERLANUS,PARENT-CHILD,20,13.51,13.51
OSMERUS,MORDAX,PARENT-CHILD,16,13.14,13.14
PERCA,FLAVESCENS,PARENT-CHILD,53,12.27,12.27
PERCA,FLUVIATILIS,PARENT-CHILD,230,13.66,13.66
PETROMYZON,MARINUS,PARENT-CHILD,30,13.91,13.91
PHOXINUS,PHOXINUS,PARENT-CHILD,51,13.85,13.85
PIMEPHALES,NOTATUS,PARENT-CHILD,11,12.57,12.57
PIMEPHALES,PROMELAS,PARENT-CHILD,11,13.06,13.06
PLECOGLOSSUS,ALTIVELIS,CHILD-PARENT,14,13.99,13.99
POECILIA,RETICULATA,PARENT-CHILD,22,13.67,13.67
POMOXIS,NIGROMACULATUS,PARENT-CHILD,11,13.41,13.41
PROCHILODUS,LINEATUS,PARENT-CHILD,14,13.99,13.99
PROSOPIUM,WILLIAMSONI,PARENT-CHILD,10,13.86,13.86
PSEUDORASBORA,PARVA,PARENT-CHILD,27,13.97,13.97
PTERODORAS,GRANULOSUS,CHILD-PARENT,13,13.94,13.94
PUNGITIUS,PUNGITIUS,PARENT-CHILD,41,13.86,13.86
RHINICHTHYS,CATARACTAE,PARENT-CHILD,15,13.51,13.51
RHINOGOBIUS,BRUNNEUS,PARENT-CHILD,12,13.12,13.12
RHINOGOBIUS,GIURINUS,PARENT-CHILD,11,13.03,13.03
RHODEUS,SERICEUS,PARENT-CHILD,23,13.61,13.61
RICHARDSONIUS,BALTEATUS,PARENT-CHILD,12,13.88,13.88
RUTILUS,RUTILUS,PARENT-CHILD,199,13.94,13.94
SALMO,GAIRDNERI,PARENT-CHILD,53,10.18,10.18
SALMO,LINNAEUS,PARENT-CHILD,17,8.47,8.47
SALMO,MARMORATUS,PARENT-CHILD,40,9.78,9.78
SALMO,SALAR,PARENT-CHILD,615,13.25,13.25
SALMO,TRUTTA,PARENT-CHILD,695,13.36,13.36
SALVELINUS,ALPINUS,PARENT-CHILD,485,13.51,13.51
SALVELINUS,CONFLUENTUS,PARENT-CHILD,96,11.67,11.67
SALVELINUS,FONTINALIS,PARENT-CHILD,163,12.33,12.33
SALVELINUS,MALMA,PARENT-CHILD,39,10.46,10.46
SALVELINUS,NAMAYCUSH,PARENT-CHILD,69,11.23,11.23
SANDER,LUCIOPERCA,PARENT-CHILD,24,12.44,12.44
SANDER,VITREUS,PARENT-CHILD,36,13.48,13.48
SCARDINIUS,ERYTHROPHTHALMUS,PARENT-CHILD,29,13.72,13.72
SEMOTILUS,ATROMACULATUS,PARENT-CHILD,21,13.96,13.96
SICYDIUM,PUNCTATUM,PARENT-CHILD,16,13.67,13.67
SICYOPTERUS,JAPONICUS,PARENT-CHILD,20,12.57,12.57
SICYOPTERUS,LAGOCEPHALUS,PARENT-CHILD,57,13.65,13.65
SILURUS,GLANIS,PARENT-CHILD,11,13.33,13.33
SQUALIUS,CEPHALUS,PARENT-CHILD,12,12.12,12.12
STIZOSTEDION,LUCIOPERCA,PARENT-CHILD,44,13.36,13.36
STIZOSTEDION,VITREUM,PARENT-CHILD,16,12.62,12.62
THYMALLUS,ARCTICUS,PARENT-CHILD,34,12.96,12.96
THYMALLUS,THYMALLUS,PARENT-CHILD,67,13.61,13.61
TINCA,TINCA,PARENT-CHILD,27,13.87,13.87
TRUTTA,LINNAEUS,PARENT-CHILD,14,11.67,11.67
