source,target,relations,hits,score,score.1,Hits,Score
ABRAMIS,BJOERKNA,PARENT-CHILD,8.0,11.5,11.5,8.0,11.5
ABRAMIS,BRAMA,PARENT-CHILD,54.0,13.81,13.81,54.0,13.81
ACANTHOPAGRUS,BUTCHERI,PARENT-CHILD,3.0,13.77,13.77,3.0,13.77
ACANTHOPAGRUS,SCHLEGELI,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68
ACANTHURUS,TRIOSTEGUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
ACARI,TETRANYCHIDAE,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
ACARINA,CLADOCERA,PARENT-CHILD,1.0,12.19,12.19,1.0,12.19
ACERINA,CERNUA,CHILD-PARENT,1.0,11.09,11.09,1.0,11.09
ACID,ALBULA,CHILD-PARENT,1.0,12.19,12.19,1.0,12.19
ACID,COREGONUS,CHILD-PARENT,1.0,12.19,12.19,1.0,12.19
ACIPENSER,BAERII,PARENT-CHILD,1.0,11.3,11.3,1.0,11.3
ACIPENSER,FULVESCENS,PARENT-CHILD,3.0,12.68,12.68,3.0,12.68
ACIPENSER,RUTHENUS,PARENT-CHILD,2.0,12.19,12.19,2.0,12.19
ACIPENSER,STURIO,PARENT-CHILD,1.0,11.3,11.3,1.0,11.3
ACIPENSER,TRANSMONTANUS,PARENT-CHILD,5.0,13.23,13.23,5.0,13.23
ACTINOPTERYGII,CYPRINODONTIFORMES,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41
ACTINOPTERYGII,OSTEOGLOSSIDAE,PARENT-CHILD,1.0,12.41,12.41,1.0,12.41
ADULT,HOYI,CHILD-PARENT,1.0,12.68,12.68,1.0,12.68
AFFINIS,MYERSII,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0
AFRICANA,LOTUS,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41
AGRARIA,MOLINA,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
ALBURNUS,ALBURNUS,PARENT-CHILD,28.0,13.92,13.92,28.0,13.92
ALNUS,GLUTINOSA,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99
ALONELLA,NANA,CHILD-PARENT,1.0,12.68,12.68,1.0,12.68
ALOSA,ALOSA,PARENT-CHILD,13.0,12.68,12.68,13.0,12.68
ALOSA,FALLAX,PARENT-CHILD,4.0,11.17,11.17,4.0,11.17
ALOSA,PSEUDOHARENGUS,PARENT-CHILD,13.0,12.68,12.68,13.0,12.68
ALOSA,SAPIDISSIMA,PARENT-CHILD,18.0,11.125,11.125,18.0,11.125
