source,target,hits,score,score.1
ABRAMIS,BRAMA,84.0,13.93,13.93
ACERINA,CERNUA,20.0,13.36,13.36
ACIPENSER,STURIO,21.0,13.16,13.16
ACIPENSER,TRANSMONTANUS,20.0,13.11,13.11
ALBURNUS,ALBURNUS,29.0,13.85,13.85
ALOSA,FALLAX,27.0,12.32,12.32
ALOSA,PSEUDOHARENGUS,59.0,13.2,13.2
ALOSA,SAPIDISSIMA,29.0,12.4,12.4
AMBLOPLITES,RUPESTRIS,21.0,13.96,13.96
AMEIURUS,NATALIS,30.0,13.25,13.25
AMEIURUS,NEBULOSUS,36.0,13.47,13.47
ANGUILLA,ANGUILLA,59.0,11.93,11.93
ANGUILLA,JAPONICA,181.0,13.23,13.23
ANGUILLA,JAPONICAS,181.0,13.23,13.23
ANGUILLA,MARMORATA,50.0,11.72,11.72
ANGUILLA,ROSTRATA,116.0,12.75,12.75
BARBUS,BARBUS,28.0,13.9,13.9
BIDYANUS,BIDYANUS,46.0,13.98,13.98
BLICCA,BJOERKNA,24.0,13.91,13.91
CARASSIUS,AURATUS,52.0,13.52,13.52
CARASSIUS,CARASSIUS,20.0,12.63,12.63
CATOSTOMUS,COMMERSONI,26.0,13.05,13.05
CLARIAS,GARIEPINUS,51.0,13.98,13.98
CLUPEA,HARENGUS,83.0,13.97,13.97
COREGONUS,ALBULA,86.0,12.24,12.24
COREGONUS,ARTEDI,26.0,10.67,10.67
COREGONUS,CLUPEAFORMIS,71.0,11.99,11.99
COREGONUS,HOYI,27.0,10.72,10.72
COREGONUS,LAVARETUS,220.0,13.08,13.08
COTTUS,ASPER,39.0,11.83,11.83
COTTUS,BAIRDI,44.0,11.99,11.99
COTTUS,COGNATUS,67.0,12.5,12.5
COTTUS,GOBIO,85.0,12.65,12.65
COTTUS,POECILOPUS,24.0,11.2,11.2
COUESIUS,PLUMBEUS,30.0,13.97,13.97
CYPRINIDAE,ESOX,43.0,12.61,12.61
CYPRINIDAE,FLUVIATILIS,43.0,12.62,12.62
CYPRINIDAE,LUCIUS,43.0,12.62,12.62
CYPRINIDAE,PERCA,43.0,12.6,12.6
DICENTRARCHUS,LABRAX,39.0,13.99,13.99
DREISSENA,POLYMORPHA,30.0,13.88,13.88
ESOX,CYPRINIDAE,43.0,10.105,10.105
ESOX,LUCIUS,376.0,11.754999999999999,11.754999999999999
EUBOTHRIUM,SALVELINI,20.0,13.99,13.99
FUNDULUS,HETEROCLITUS,33.0,13.8,13.8
GADUS,MORHUA,100.0,13.98,13.98
GALAXIAS,OLIDUS,28.0,13.38,13.38
GAMBUSIA,AFFINIS,26.0,13.47,13.47
GASTEROSTEUS,ACULEATUS,254.0,13.96,13.96
GOBIO,GOBIO,30.0,12.68,12.68
GYMNOCEPHALUS,CERNUUS,55.0,13.8,13.8
GYRODACTYLUS,SALARIS,24.0,13.83,13.83
HYDRILLA,VERTICILLATA,28.0,13.97,13.97
ICTALURUS,PUNCTATUS,58.0,13.77,13.77
LAMPETRA,FLUVIATILIS,204.0,12.65,12.65
LAMPETRA,PLANERI,68.0,12.58,12.58
LATES,NILOTICUS,30.0,13.09,13.09
LEPOMIS,CYANELLUS,21.0,11.44,11.44
LEPOMIS,GIBBOSUS,81.0,13.05,13.05
LEPOMIS,MACROCHIRUS,97.0,13.25,13.25
LEUCISCUS,CEPHALUS,66.0,13.36,13.36
LEUCISCUS,LEUCISCUS,38.0,12.98,12.98
LOTA,LOTA,84.0,13.96,13.96
LUTRA,LUTRA,38.0,13.98,13.98
MACQUARIA,AUSTRALASICA,31.0,13.84,13.84
MELANOGRAMMUS,AEGLEFINUS,21.0,13.96,13.96
MERGUS,MERGANSER,28.0,13.97,13.97
MICROPTERUS,DOLOMIEU,52.0,13.69,13.69
MORONE,SAXATILIS,52.0,13.75,13.75
MYOXOCEPHALUS,SCORPIUS,34.0,13.37,13.37
MYOXOCEPHALUS,THOMPSONII,27.0,13.11,13.11
MYRIOPHYLLUM,SPICATUM,57.0,13.88,13.88
NANNOPERCA,AUSTRALIS,37.0,13.62,13.62
NEOGOBIUS,MELANOSTOMUS,83.0,13.94,13.94
ONCORHYNCHUS,CLARKI,31.0,9.49,9.49
ONCORHYNCHUS,GORBUSCHA,52.0,10.23,10.23
ONCORHYNCHUS,KETA,57.0,10.35,10.35
ONCORHYNCHUS,KISUTCH,196.0,11.99,11.99
ONCORHYNCHUS,MYKISS,663.0,13.36,13.36
ONCORHYNCHUS,NERKA,182.0,11.9,11.9
ONCORHYNCHUS,TSHAWYTSCHA,156.0,11.71,11.71
OREOCHROMIS,MOSSAMBICUS,29.0,13.28,13.28
OREOCHROMIS,NILOTICUS,35.0,13.07,13.07
OSMERUS,EPERLANUS,34.0,13.31,13.31
OSMERUS,MORDAX,40.0,13.3,13.3
PARALICHTHYS,OLIVACEUS,22.0,13.62,13.62
PERCA,FLAVESCENS,136.0,12.41,12.41
PERCA,FLUVIATILIS,531.0,10.73,10.73
PETROMYZON,MARINUS,245.0,13.96,13.96
PHOXINUS,PHOXINUS,46.0,13.89,13.89
PIMEPHALES,PROMELAS,23.0,13.61,13.61
PLEURONECTES,PLATESSA,22.0,13.81,13.81
POMOXIS,NIGROMACULATUS,23.0,13.57,13.57
PUNGITIUS,PUNGITIUS,45.0,13.83,13.83
RUTILUS,RUTILUS,259.0,10.455,10.455
SALMO,GAIRDNERI,162.0,11.48,11.48
SALMO,SALAR,750.0,13.29,13.29
SALMO,TRUTTA,728.0,13.25,13.25
SALVELINUS,ALPINUS,579.0,13.47,13.47
SALVELINUS,CONFLUENTUS,23.0,9.4,9.4
SALVELINUS,FONTINALIS,209.0,12.879999999999999,12.879999999999999
SALVELINUS,MALMA,61.0,10.76,10.76
SALVELINUS,NAMAYCUSH,189.0,12.24,12.24
SANDER,LUCIOPERCA,85.0,13.32,13.32
SANDER,VITREUS,46.0,12.97,12.97
SCARDINIUS,ERYTHROPHTHALMUS,47.0,13.94,13.94
SCOPHTHALMUS,MAXIMUS,25.0,13.99,13.99
SILURUS,GLANIS,38.0,13.92,13.92
STIZOSTEDION,LUCIOPERCA,45.0,12.71,12.71
STIZOSTEDION,VITREUM,38.0,13.23,13.23
THYMALLUS,ARCTICUS,72.0,13.24,13.24
