source,target,hits,score,score.1,Hits,Score
ABRAMIS,BRAMA,84.0,13.93,13.93,84.0,13.93
ACANTHEMBLEMARIA,CROCKERI,1.0,13.99,13.99,1.0,13.99
ACANTHOGOBIUS,FLAVIMANUS,9.0,13.99,13.99,9.0,13.99
ACANTHOPAGRUS,BUTCHERI,2.0,13.0,13.0,2.0,13.0
ACANTHOPAGRUS,SCHLEGELI,4.0,13.67,13.67,4.0,13.67
ACERINA,CERNUA,20.0,13.36,13.36,20.0,13.36
ACIPENSER,STURIO,21.0,13.16,13.16,21.0,13.16
ACIPENSER,TRANSMONTANUS,20.0,13.11,13.11,20.0,13.11
ACROCHEILUS,ALUTACEUS,3.0,13.99,13.99,3.0,13.99
AEROMONAS,SALMONICIDA,8.0,13.99,13.99,8.0,13.99
ALBURNOIDES,BIPUNCTATUS,1.0,13.41,13.41,1.0,13.41
ALBURNUS,ALBURNUS,29.0,13.85,13.85,29.0,13.85
ALCEDO,ATTHIS,15.0,13.99,13.99,15.0,13.99
ALNUS,GLUTINOSA,3.0,13.99,13.99,3.0,13.99
ALONA,CERIODAPHNIA,1.0,13.0,13.0,1.0,13.0
ALONELLA,NANA,3.0,13.99,13.99,3.0,13.99
ALOSA,PSEUDOHARENGUS,59.0,13.2,13.2,59.0,13.2
AMBLOPLITES,RUPESTRIS,21.0,13.96,13.96,21.0,13.96
AMBLYOPSIS,ROSAE,1.0,13.99,13.99,1.0,13.99
AMBYSTOMA,MACRODACTYLUM,3.0,13.77,13.77,3.0,13.77
AMEIURUS,NATALIS,30.0,13.25,13.25,30.0,13.25
AMEIURUS,NEBULOSUS,36.0,13.47,13.47,36.0,13.47
AMMOCRYPTA,PELLUCIDA,1.0,13.0,13.0,1.0,13.0
AMMODYTES,TOBIANUS,3.0,13.77,13.77,3.0,13.77
AMPHIBIA,HYLIDAE,1.0,13.99,13.99,1.0,13.99
ANGUILLA,JAPONICA,181.0,13.23,13.23,181.0,13.23
ANGUILLA,JAPONICAS,181.0,13.23,13.23,181.0,13.23
ANGUILLICOLA,CRASSUS,7.0,13.41,13.41,7.0,13.41
ANGUILLIDAE,BAGRIDAE,1.0,13.0,13.0,1.0,13.0
ANGUILLIFORMES,ANGUILLIDAE,1.0,13.99,13.99,1.0,13.99
ANNALES,FENNICA,1.0,13.99,13.99,1.0,13.99
ANNELIDA,ECHINODERMATA,1.0,13.41,13.41,1.0,13.41
ANODONTA,ANATINA,1.0,13.99,13.99,1.0,13.99
ANOPLOPOMA,FIMBRIA,4.0,13.99,13.99,4.0,13.99
APHANIUS,IBERUS,1.0,13.41,13.41,1.0,13.41
APHREDODERUS,SAYANUS,2.0,13.99,13.99,2.0,13.99
APLODINOTUS,GRUNNIENS,13.0,13.99,13.99,13.0,13.99
APOLLONIA,MELANOSTOMA,5.0,13.73,13.73,5.0,13.73
ARDEA,CINEREA,10.0,13.93,13.93,10.0,13.93
ARTEMIA,SALINA,3.0,13.99,13.99,3.0,13.99
ARTHROPODA,INSECTA,1.0,13.99,13.99,1.0,13.99
ASELLUS,AQUATICUS,14.0,13.94,13.94,14.0,13.94
ASPIUS,ASPIUS,15.0,13.66,13.66,15.0,13.66
ASTACUS,ASTACUS,1.0,13.99,13.99,1.0,13.99
ASTATOREOCHROMIS,ALLUAUDI,1.0,13.99,13.99,1.0,13.99
ASTERROPTERYX,SEMIPUNCTATUS,2.0,13.99,13.99,2.0,13.99
ASTYANAX,MEXICANUS,1.0,13.99,13.99,1.0,13.99
ATHERINA,PRESBYTER,1.0,13.99,13.99,1.0,13.99
AUSTROPOTAMOBIUS,PALLIPES,2.0,13.99,13.99,2.0,13.99
AVES,ALCEDINIDAE,1.0,13.99,13.99,1.0,13.99
AWAOUS,GUAMENSIS,1.0,13.41,13.41,1.0,13.41
AWAOUS,RHINOGOBIUS,1.0,13.41,13.41,1.0,13.41
BABKA,GYMNOTRACHELUS,1.0,13.99,13.99,1.0,13.99
BAETIS,CINYGMULA,2.0,13.41,13.41,2.0,13.41
BAETIS,EPHEMERELLA,1.0,13.0,13.0,1.0,13.0
BAGRUS,DOCMAK,5.0,13.99,13.99,5.0,13.99
BALLERUS,BALLERUS,2.0,13.19,13.19,2.0,13.19
BARBATULA,BARBATULA,17.0,13.88,13.88,17.0,13.88
BARBUS,BARBUS,28.0,13.9,13.9,28.0,13.9
BELONE,BELONE,9.0,13.99,13.99,9.0,13.99
BIDYANUS,BIDYANUS,46.0,13.98,13.98,46.0,13.98
BIOLOGIA,OCEANOGRAFIA,1.0,13.41,13.41,1.0,13.41
BLICCA,BJOERKNA,24.0,13.91,13.91,24.0,13.91
BOREOGADUS,SAIDA,9.0,13.99,13.99,9.0,13.99
BOTAURUS,STELLARIS,2.0,13.99,13.99,2.0,13.99
BOTHRIOCEPHALUS,ACHEILOGNATHI,2.0,13.99,13.99,2.0,13.99
BRACHIONUS,COPEPODS,1.0,13.41,13.41,1.0,13.41
BRACHYMYSTAX,LENOK,2.0,13.67,13.67,2.0,13.67
