source,target,hits,score,score.1,Hits,Score
ABRALIA,TRIGONURA,1.0,13.99,13.99,1.0,13.99
ABRAMIS,BRAMA,84.0,13.9,13.9,84.0,13.9
ABYSSOBROTULA,GALATHEAE,1.0,13.99,13.99,1.0,13.99
ACANTHOCEPHALUS,LUCII,4.0,13.99,13.99,4.0,13.99
ACANTHOCYBIUM,SOLANDRI,4.0,13.99,13.99,4.0,13.99
ACANTHOGOBIUS,FLAVIMANUS,9.0,13.92,13.92,9.0,13.92
ACETODEXTRA,AMEIURI,1.0,13.99,13.99,1.0,13.99
ACHONDROSTOMA,ARCASII,1.0,13.99,13.99,1.0,13.99
ACILIUS,SULCATUS,1.0,13.99,13.99,1.0,13.99
ACIPENSERID,HERPESVIRUS,4.0,13.99,13.99,4.0,13.99
ACIPENSERIFORMES,ACIPENSERIDAE,1.0,13.99,13.99,1.0,13.99
ACORUS,CALAMUS,2.0,13.67,13.67,2.0,13.67
ACROCHEILUS,ALUTACEUS,3.0,13.99,13.99,3.0,13.99
ACROPERUS,HARPAE,5.0,13.99,13.99,5.0,13.99
AEDES,AEGYPTI,5.0,13.51,13.51,5.0,13.51
AEROMONAS,SALMONICIDA,8.0,13.61,13.61,8.0,13.61
AGABUS,BIPUSTULATUS,2.0,13.99,13.99,2.0,13.99
AGRALEA,MULTIPUNCTATA,2.0,13.67,13.67,2.0,13.67
ALBURNUS,ALBURNUS,29.0,13.77,13.77,29.0,13.77
ALCEDO,ATTHIS,15.0,13.99,13.99,15.0,13.99
ALCEDO,KINGFISHER,1.0,13.99,13.99,1.0,13.99
ALCES,ALCES,1.0,13.99,13.99,1.0,13.99
ALLIUM,URSINUM,2.0,13.99,13.99,2.0,13.99
ALNUS,GLUTINOSA,3.0,13.58,13.58,3.0,13.58
ALOPEX,LAGOPUS,1.0,13.99,13.99,1.0,13.99
ALOPIAS,VULPINUS,2.0,13.99,13.99,2.0,13.99
AMBLOPLITES,RUPESTRIS,21.0,13.93,13.93,21.0,13.93
AMBYSTOMA,BARBOURI,1.0,13.99,13.99,1.0,13.99
AMMOPHILA,DYSMICA,1.0,13.99,13.99,1.0,13.99
AMNICOLA,PHYSA,1.0,13.99,13.99,1.0,13.99
AMPHILIUS,URANOSCOPUS,6.0,13.67,13.67,6.0,13.67
AMPHIPRION,MELANOPUS,2.0,13.67,13.67,2.0,13.67
AMPHIURA,TRISCACANTHA,1.0,13.99,13.99,1.0,13.99
ANABAS,TESTUDINEUS,2.0,13.99,13.99,2.0,13.99
ANAS,CRECCA,5.0,13.51,13.51,5.0,13.51
ANASPIDES,TASMANIAE,1.0,13.99,13.99,1.0,13.99
ANAX,IMPERATOR,1.0,13.99,13.99,1.0,13.99
ANCHOA,MITCHILLI,28.0,13.99,13.99,28.0,13.99
ANDROMEDA,POLIFOLIA,1.0,13.99,13.99,1.0,13.99
ANGOPHORA,CORDIFOLIA,1.0,13.99,13.99,1.0,13.99
ANGUIS,FRAGILIS,1.0,13.99,13.99,1.0,13.99
ANISAKIS,SIMPLEX,4.0,13.54,13.54,4.0,13.54
ANISOPS,SARDEA,1.0,13.99,13.99,1.0,13.99
