source,target,hits,score,score.1
ABRAMIS,BRAMA,84.0,13.93,13.93
ALOSA,PSEUDOHARENGUS,59.0,13.2,13.2
ANGUILLA,ANGUILLA,59.0,11.93,11.93
ANGUILLA,JAPONICA,181.0,13.23,13.23
ANGUILLA,ROSTRATA,116.0,12.75,12.75
CLUPEA,HARENGUS,83.0,13.97,13.97
COREGONUS,ALBULA,86.0,12.24,12.24
COREGONUS,CLUPEAFORMIS,71.0,11.99,11.99
COREGONUS,LAVARETUS,220.0,13.08,13.08
COTTUS,COGNATUS,67.0,12.5,12.5
COTTUS,GOBIO,85.0,12.65,12.65
ESOX,LUCIUS,376.0,11.754999999999999,11.754999999999999
GADUS,MORHUA,100.0,13.98,13.98
GASTEROSTEUS,ACULEATUS,254.0,13.96,13.96
GYMNOCEPHALUS,CERNUUS,55.0,13.8,13.8
ICTALURUS,PUNCTATUS,58.0,13.77,13.77
LAMPETRA,FLUVIATILIS,204.0,12.65,12.65
LAMPETRA,PLANERI,68.0,12.58,12.58
LEPOMIS,GIBBOSUS,81.0,13.05,13.05
LEPOMIS,MACROCHIRUS,97.0,13.25,13.25
LEUCISCUS,CEPHALUS,66.0,13.36,13.36
LOTA,LOTA,84.0,13.96,13.96
MYRIOPHYLLUM,SPICATUM,57.0,13.88,13.88
NEOGOBIUS,MELANOSTOMUS,83.0,13.94,13.94
ONCORHYNCHUS,KETA,57.0,10.35,10.35
ONCORHYNCHUS,KISUTCH,196.0,11.99,11.99
ONCORHYNCHUS,MYKISS,663.0,13.36,13.36
ONCORHYNCHUS,NERKA,182.0,11.9,11.9
ONCORHYNCHUS,TSHAWYTSCHA,156.0,11.71,11.71
PERCA,FLAVESCENS,136.0,12.41,12.41
PERCA,FLUVIATILIS,531.0,10.73,10.73
PETROMYZON,MARINUS,245.0,13.96,13.96
RUTILUS,RUTILUS,259.0,10.455,10.455
SALMO,GAIRDNERI,162.0,11.48,11.48
SALMO,SALAR,750.0,13.29,13.29
SALMO,TRUTTA,728.0,13.25,13.25
SALVELINUS,ALPINUS,579.0,13.47,13.47
SALVELINUS,FONTINALIS,209.0,12.879999999999999,12.879999999999999
SALVELINUS,MALMA,61.0,10.76,10.76
SALVELINUS,NAMAYCUSH,189.0,12.24,12.24
SANDER,LUCIOPERCA,85.0,13.32,13.32
THYMALLUS,ARCTICUS,72.0,13.24,13.24
THYMALLUS,THYMALLUS,96.0,10.52,10.52
