source,target,hits,score,score.1,Hits,Score
ABRAMIS,BRAMA,84.0,13.93,13.93,84.0,13.93
ACANTHOPAGRUS,BUTCHERI,2.0,13.0,13.0,2.0,13.0
ACANTHOPAGRUS,SCHLEGELI,4.0,13.67,13.67,4.0,13.67
ACERINA,CERNUA,20.0,13.36,13.36,20.0,13.36
ACIPENSER,STURIO,21.0,13.16,13.16,21.0,13.16
ACIPENSER,TRANSMONTANUS,20.0,13.11,13.11,20.0,13.11
ALBURNUS,ALBURNUS,29.0,13.85,13.85,29.0,13.85
ALNUS,GLUTINOSA,3.0,13.99,13.99,3.0,13.99
ALONA,CERIODAPHNIA,1.0,13.0,13.0,1.0,13.0
ALONELLA,NANA,3.0,13.99,13.99,3.0,13.99
ALOSA,PSEUDOHARENGUS,59.0,13.2,13.2,59.0,13.2
AMBLOPLITES,RUPESTRIS,21.0,13.96,13.96,21.0,13.96
AMBLYOPSIS,ROSAE,1.0,13.99,13.99,1.0,13.99
AMEIURUS,NATALIS,30.0,13.25,13.25,30.0,13.25
AMEIURUS,NEBULOSUS,36.0,13.47,13.47,36.0,13.47
AMPHIBIA,HYLIDAE,1.0,13.99,13.99,1.0,13.99
ANGUILLA,JAPONICA,181.0,13.23,13.23,181.0,13.23
ANGUILLIDAE,BAGRIDAE,1.0,13.0,13.0,1.0,13.0
ANGUILLIFORMES,ANGUILLIDAE,1.0,13.99,13.99,1.0,13.99
ANNALES,FENNICA,1.0,13.99,13.99,1.0,13.99
ANOPLOPOMA,FIMBRIA,4.0,13.99,13.99,4.0,13.99
APHREDODERUS,SAYANUS,2.0,13.99,13.99,2.0,13.99
APLODINOTUS,GRUNNIENS,13.0,13.99,13.99,13.0,13.99
APOLLONIA,MELANOSTOMA,5.0,13.73,13.73,5.0,13.73
ARDEA,CINEREA,10.0,13.93,13.93,10.0,13.93
ARTEMIA,SALINA,3.0,13.99,13.99,3.0,13.99
ARTHROPODA,INSECTA,1.0,13.99,13.99,1.0,13.99
ASELLUS,AQUATICUS,14.0,13.94,13.94,14.0,13.94
ASPIUS,ASPIUS,15.0,13.66,13.66,15.0,13.66
ASSEMBLAGE,GARIEPINUS,1.0,13.41,13.41,1.0,13.41
ASTYANAX,MEXICANUS,1.0,13.99,13.99,1.0,13.99
ATHERINA,PRESBYTER,1.0,13.99,13.99,1.0,13.99
