source,target,hits sum,score mean,score median
BROWN_TROUT,SALMO_TRUTTA,86,13.11,13.11
TROUT,TROUT,45,12.605,12.605
TROUT,SALMO_TRUTTA,36,11.66,11.66
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,27,13.39,13.39
BOW,TROUT,20,12.83,12.83
TROUT,SALVELINUS_NAMAYCUSH,18,11.89,11.89
TROUT,SALVELINUS_CONFLUENTUS,13,11.46,11.46
TROUT,SALVELINUS_FONTINALIS,11,11.23,11.23
RAINBOW_TROUT,SALMO_GAIRDNERI,9,11.775,11.775
BROWN_TROUT,TROUT,6,9.085,9.085
TROUT,BROWN_TROUT,6,10.36,10.36
TROUT,SALMO_MARMORATUS,6,10.42,10.42
SALMO,ONCORHYNCHUS,5,13.32,13.32
BROWN_TROUT,BROWN_TROUT,4,11.115,11.115
SALMONIDAE,THYMALLUS,4,13.19,13.19
STEELHEAD,ONCORHYNCHUS_MYKISS,4,11.18,11.18
PARR,TROUT,3,12.06,12.06
PRE-SMOLT,TROUT,3,12.12,12.12
SALMONIDAE,SALMONIDAE,3,12.68,12.68
STEELHEAD_TROUT,ONCORHYNCHUS_MYKISS,3,10.94,10.94
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,2,13.99,13.99
ONCORHYNCHUS,ONCORHYNCHUS,2,12.29,12.29
RAINBOW_TROUT,BROWN_TROUT,2,10.38,10.38
RAINBOW_TROUT,ONCORHYNCHUS,2,9.87,9.87
STEELHEAD,STEELHEAD,2,12.54,12.54
THYMALLUS_THYMALLUS,SALMONIDAE,2,13.19,13.19
BROWN_TROUT,RAINBOW_TROUT,1,8.46,8.46
BROWN_TROUT,SALMON_TROUT,1,13.41,13.41
HYPOTHESIS,STEELHEAD,1,13.41,13.41
INTERACTION,STEELHEAD,1,13.41,13.41
JUVE,STEELHEAD,1,13,13
ONCORHYNCHUS,SALMO,1,12.19,12.19
RAINBOW_TROUT,RAINBOW_TROUT,1,13,13
REDBAND,RAINBOW_TROUT,1,13,13
SALMONIDAE,COREGONUS_ARTEDI,1,11.54,11.54
SALMONIDAE,COREGONUS_HOYI,1,11.54,11.54
SALMONIDAE,TROUT,1,8.68,8.68
STEELHEAD,ONCORHYNCHUS,1,10.75,10.75
STEELHEAD,RAINBOW_TROUT,1,11.41,11.41
STEELHEAD_TROUT,SALMO_GAIRDNERI,1,11.09,11.09
STEELHEAD_TROUT,SALMO_GAIRDNERII,1,12.41,12.41
TROUT,RAINBOW,1,7.89,7.89
