source,target,hits,score,score.1
BOW,TROUT,20.0,12.83,12.83
BROWN_TROUT,SALMO_TRUTTA,86.0,13.11,13.11
BROWN_TROUT,TROUT,6.0,9.085,9.085
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,27.0,13.39,13.39
RAINBOW_TROUT,SALMO_GAIRDNERI,9.0,11.775,11.775
SALMO,ONCORHYNCHUS,5.0,13.32,13.32
TROUT,BROWN_TROUT,6.0,10.36,10.36
TROUT,SALMO_MARMORATUS,6.0,10.42,10.42
TROUT,SALMO_TRUTTA,36.0,11.66,11.66
TROUT,SALVELINUS_CONFLUENTUS,13.0,11.46,11.46
TROUT,SALVELINUS_FONTINALIS,11.0,11.23,11.23
TROUT,SALVELINUS_NAMAYCUSH,18.0,11.89,11.89
TROUT,TROUT,45.0,12.605,12.605
