source,target,hits,score,score.1,Hits,Score
BROWN_TROUT,SALMON_TROUT,1.0,13.41,13.41,13.41,13.41
BROWN_TROUT,SALMO_TRUTTA,86.0,13.11,13.11,13.11,13.11
HYPOTHESIS,STEELHEAD,1.0,13.41,13.41,13.41,13.41
INTERACTION,STEELHEAD,1.0,13.41,13.41,13.41,13.41
JUVE,STEELHEAD,1.0,13.0,13.0,13.0,13.0
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,2.0,13.99,13.99,13.99,13.99
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,27.0,13.39,13.39,13.39,13.39
RAINBOW_TROUT,RAINBOW_TROUT,1.0,13.0,13.0,13.0,13.0
REDBAND,RAINBOW_TROUT,1.0,13.0,13.0,13.0,13.0
SALMO,ONCORHYNCHUS,5.0,13.32,13.32,13.32,13.32
SALMONIDAE,THYMALLUS,4.0,13.19,13.19,13.19,13.19
THYMALLUS_THYMALLUS,SALMONIDAE,2.0,13.19,13.19,13.19,13.19
