source,target,hits,score,score.1
BOW,TROUT,20,12.83,12.83
BROWN_TROUT,BROWN_TROUT,5,11.88,13.19
BROWN_TROUT,SALMO_TRUTTA,191,13.205,13.205
BROWN_TROUT,TROUT,8,9.86,9.49
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,37,12.15,12.24
RAINBOW_TROUT,SALMO_GAIRDNERI,9,11.775,11.775
SALMO,ONCORHYNCHUS,5,13.32,13.32
TROUT,BROWN_TROUT,7,10.83,10.83
TROUT,SALMO_MARMORATUS,6,10.42,10.42
TROUT,SALMO_TRUTTA,36,11.66,11.66
TROUT,SALVELINUS_CONFLUENTUS,13,11.46,11.46
TROUT,SALVELINUS_FONTINALIS,11,11.23,11.23
TROUT,SALVELINUS_NAMAYCUSH,18,11.89,11.89
TROUT,TROUT,45,12.605,12.605
