source,target,hits,score,score.1,Hits,Score
BROWN_TROUT,BROWN_TROUT,5.0,11.88,13.19,11.88,13.19
BROWN_TROUT,SALMON_TROUT,1.0,13.41,13.41,13.41,13.41
BROWN_TROUT,SALMO_TRUTTA,191.0,13.205,13.205,13.205,13.205
HYPOTHESIS,STEELHEAD,1.0,13.41,13.41,13.41,13.41
INTERACTION,STEELHEAD,1.0,13.41,13.41,13.41,13.41
JUVE,STEELHEAD,1.0,13.0,13.0,13.0,13.0
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,2.0,13.99,13.99,13.99,13.99
RAINBOW_TROUT,RAINBOW_TROUT,1.0,13.0,13.0,13.0,13.0
REDBAND,RAINBOW_TROUT,1.0,13.0,13.0,13.0,13.0
SALMO,ONCORHYNCHUS,5.0,13.32,13.32,13.32,13.32
SALMONIDAE,THYMALLUS,4.0,13.19,13.19,13.19,13.19
SALMO_TRUTTA,BROWN_TROUT,1.0,13.0,13.0,13.0,13.0
THYMALLUS_THYMALLUS,SALMONIDAE,2.0,13.19,13.19,13.19,13.19
