source,target,hits,score,score.1,Hits,Score
BROWN_TROUT,SALMO_TRUTTA,71.0,12.86,12.86,12.86,12.86
CREEK,STEELHEAD,1.0,13.0,13.0,13.0,13.0
FORM,STEELHEAD_TROUT,1.0,13.0,13.0,13.0,13.0
HUCHO,ONCORHYNCHUS,1.0,13.41,13.41,13.41,13.41
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,1.0,13.99,13.99,13.99,13.99
LIFE,STEELHEAD_TROUT,1.0,13.0,13.0,13.0,13.0
ONCORHYNCHUS,RAINBOW,2.0,12.83,12.83,12.83,12.83
ONCORHYNCHUS,SALMO,3.0,12.88,12.88,12.88,12.88
ONCORHYNCHUS,STEELHEAD,1.0,13.0,13.0,13.0,13.0
PEOPLE,ONCORHYNCHUS,1.0,13.0,13.0,13.0,13.0
RAINBOW,STEELHEAD_TROUT,2.0,13.0,13.0,13.0,13.0
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,74.0,13.14,13.14,13.14,13.14
REDBAND,REDBAND,2.0,13.19,13.19,13.19,13.19
SALMON,SALMO_GAIRDNERII,1.0,13.41,13.41,13.41,13.41
SALMO_TRUTTA,BROWN_TROUT,7.0,12.61,12.61,12.61,12.61
SILVER_TROUT,REDBAND_TROUT,1.0,13.41,13.41,13.41,13.41
STEELHEAD,CALIFORNIA,1.0,12.68,12.68,12.68,12.68
STEELHEAD,CREEK,1.0,12.68,12.68,12.68,12.68
STEELHEAD,SAGEHEN,1.0,12.68,12.68,12.68,12.68
STEELHEAD_TROUT,KAMLOOPS_TROUT,2.0,12.54,12.54,12.54,12.54
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.83,12.83,12.83,12.83
TROUT,TROUT,91.0,12.745000000000001,12.745000000000001,12.745000000000001,12.745000000000001
