source,target,hits,score,score.1,Hits,Score
BROWN_TROUT,BRACKEN,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,INVERTEBRATE,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,QUINN,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,SALMO_TRUTTA,176.0,13.08,13.08,13.08,13.08
BROWN_TROUT,SALVELINUS_ALPINUS,2.0,12.09,12.09,12.09,12.09
CREEK,STEELHEAD,1.0,13.0,13.0,13.0,13.0
FORM,STEELHEAD_TROUT,1.0,13.0,13.0,13.0,13.0
GAME,RAINBOW_TROUT,1.0,12.19,12.19,12.19,12.19
HUCHO,ONCORHYNCHUS,1.0,13.41,13.41,13.41,13.41
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,1.0,13.99,13.99,13.99,13.99
LIFE,STEELHEAD_TROUT,1.0,13.0,13.0,13.0,13.0
MARKET,ONCORHYNCHUS_MYKISS,1.0,12.19,12.19,12.19,12.19
ONCORHYNCHUS,RAINBOW,2.0,12.83,12.83,12.83,12.83
ONCORHYNCHUS,SALMO,3.0,12.88,12.88,12.88,12.88
ONCORHYNCHUS,STEELHEAD,1.0,13.0,13.0,13.0,13.0
ONCORHYNCHUS_MYKISS,BROWN_TROUT,2.0,12.41,12.41,12.41,12.41
ONCORHYNCHUS_MYKISS,SALMO_SALAR,1.0,12.41,12.41,12.41,12.41
PEOPLE,ONCORHYNCHUS,1.0,13.0,13.0,13.0,13.0
RAINBOW,STEELHEAD_TROUT,2.0,13.0,13.0,13.0,13.0
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,125.0,11.6725,12.395,11.6725,12.395
RAINBOW_TROUT,REDBAND_TROUT,1.0,12.19,12.19,12.19,12.19
RAINBOW_TROUT,STEELHEAD_TROUT,1.0,13.41,13.41,13.41,13.41
REDBAND,REDBAND,2.0,13.19,13.19,13.19,13.19
SALMON,SALMO_GAIRDNERII,1.0,13.41,13.41,13.41,13.41
SILVER_TROUT,REDBAND_TROUT,1.0,13.41,13.41,13.41,13.41
STEELHEAD,CALIFORNIA,1.0,12.68,12.68,12.68,12.68
STEELHEAD,CREEK,1.0,12.68,12.68,12.68,12.68
STEELHEAD,MALE,1.0,12.41,12.41,12.41,12.41
STEELHEAD,SAGEHEN,1.0,12.68,12.68,12.68,12.68
STEELHEAD_TROUT,KAMLOOPS_TROUT,2.0,12.54,12.54,12.54,12.54
THYMALLUS,SALMONIDAE,2.0,12.335,12.335,12.335,12.335
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.83,12.83,12.83,12.83
TROUT,SALVELINUS_NAMAYCUSH,36.0,12.14,12.14,12.14,12.14
TROUT,TROUT,91.0,12.745000000000001,12.745000000000001,12.745000000000001,12.745000000000001
