source,target,hits sum,score mean,score median
ADULT,STEELHEAD,1,11,11
BOW,TROUT,1,8.04,8.04
BROWN_TROUT,BRACKEN,2,12.09,12.09
BROWN_TROUT,BROWN_TROUT,3,9.61,9.61
BROWN_TROUT,INVERTEBRATE,2,12.09,12.09
BROWN_TROUT,QUINN,2,12.09,12.09
BROWN_TROUT,RAINBOW_TROUT,6,10.735,10.735
BROWN_TROUT,SALMO_TRUTTA,71,12.86,12.86
BROWN_TROUT,STEELHEAD,1,10.82,10.82
BROWN_TROUT,TROUT,21,10.648,10.16
COREGONUS,SALMONIDAE,1,10.6,10.6
COREGONUS_CLUPEAFORMIS,SALMONIDAE,1,10.68,10.68
CREEK,STEELHEAD,1,13,13
EUTELEOSTEI,SALMONIDAE,2,11.61,11.61
FORM,RAINBOW_TROUT,1,11.83,11.83
FORM,STEELHEAD_TROUT,1,13,13
HUCHO,ONCORHYNCHUS,1,13.41,13.41
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,1,13.99,13.99
KAMLOOPS_TROUT,TROUT,7,10.78,10.78
LIFE,RAINBOW_TROUT,1,11.83,11.83
LIFE,STEELHEAD_TROUT,1,13,13
MARKET,RAINBOW_TROUT,1,11.67,11.67
ONCORHYNCHUS,RAINBOW,2,12.83,12.83
ONCORHYNCHUS,RAINBOW_TROUT,1,11.67,11.67
ONCORHYNCHUS,SALMO,3,12.88,12.88
ONCORHYNCHUS,SALVELINUS,1,11.19,11.19
ONCORHYNCHUS,STEELHEAD,1,13,13
ONCORHYNCHUS,TROUT,1,9.16,9.16
ONCORHYNCHUS_GORBUSCHA,SALMONIDAE,1,10.54,10.54
ONCORHYNCHUS_KETA,SALMONIDAE,1,10.6,10.6
ONCORHYNCHUS_MYKISS,RAINBOW,2,11.3,11.3
ONCORHYNCHUS_MYKISS,RAINBOW_TROUT,3,11.96,11.96
ONCORHYNCHUS_MYKISS,SALMO_GAIRDNERI,2,10.07,10.07
ONCORHYNCHUS_NERKA,SALMONIDAE,1,10.47,10.47
PEOPLE,ONCORHYNCHUS,1,13,13
RAINBOW,RAINBOW,1,11,11
RAINBOW,STEELHEAD,3,11.415,11.415
RAINBOW,STEELHEAD_TROUT,2,13,13
RAINBOW,TROUT,3,9.07,9.07
RAINBOW-TROUT,SALMO_GAIRDNERI,1,9.48,9.48
RAINBOW_TROUT,BROWN_TROUT,16,11.43666667,11.32
RAINBOW_TROUT,ONCORHYNCHUS,1,8,8
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,74,13.14,13.14
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS_IRIDEUS,1,8.01,8.01
RAINBOW_TROUT,ONCORHYNCHUS_TSHAWYTSCHA,1,8.01,8.01
RAINBOW_TROUT,RAINBOW_TROUT,7,11.1,11.045
RAINBOW_TROUT,REDBAND,1,7.99,7.99
RAINBOW_TROUT,SALMON_TROUT,2,9,9
RAINBOW_TROUT,SALMO_GAIRDNERI,36,11.36666667,11.79
RAINBOW_TROUT,SALMO_TRUTTA,1,6.54,6.54
RAINBOW_TROUT,STEELHEAD,9,11.675,11.9
RAINBOW_TROUT,TROUT,6,9.225,9.225
REDBAND,RAINBOW,1,11.19,11.19
REDBAND,REDBAND,2,13.19,13.19
