source,target,hits,score,score.1
BROWN_TROUT,RAINBOW_TROUT,6.0,10.735,10.735
BROWN_TROUT,SALMO_TRUTTA,71.0,12.86,12.86
BROWN_TROUT,TROUT,21.0,10.648,10.16
KAMLOOPS_TROUT,TROUT,7.0,10.78,10.78
RAINBOW_TROUT,BROWN_TROUT,16.0,11.436666666666667,11.32
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,74.0,13.14,13.14
RAINBOW_TROUT,RAINBOW_TROUT,7.0,11.100000000000001,11.045
RAINBOW_TROUT,SALMO_GAIRDNERI,36.0,11.366666666666665,11.79
RAINBOW_TROUT,STEELHEAD,9.0,11.674999999999999,11.899999999999999
RAINBOW_TROUT,TROUT,6.0,9.225,9.225
SALMONIDAE,TROUT,8.0,10.095,10.095
SALMO_TRUTTA,BROWN_TROUT,7.0,12.61,12.61
SALMO_TRUTTA,TROUT,6.0,10.34,10.34
STEELHEAD,ONCORHYNCHUS_MYKISS,14.0,10.875,10.875
STEELHEAD,RAINBOW_TROUT,29.0,12.006666666666666,11.95
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.83,12.83
TROUT,BROWN_TROUT,23.0,11.11,11.12
TROUT,RAINBOW,9.0,11.12,11.22
TROUT,RAINBOW_TROUT,25.0,10.712,10.22
TROUT,SALMO_TRUTTA,30.0,11.09,11.09
TROUT,SALVELINUS_CONFLUENTUS,11.0,10.59,10.59
TROUT,SALVELINUS_FONTINALIS,17.0,11.12,11.12
TROUT,SALVELINUS_NAMAYCUSH,36.0,12.14,12.14
TROUT,TROUT,91.0,12.745000000000001,12.745000000000001
