source,target,hits,score,score.1,Hits,Score
ADULT,STEELHEAD,1.0,11.0,11.0,11.0,11.0
BROWN_TROUT,BRACKEN,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,INVERTEBRATE,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,QUINN,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,SALMO_TRUTTA,71.0,12.86,12.86,12.86,12.86
CREEK,STEELHEAD,1.0,13.0,13.0,13.0,13.0
EUTELEOSTEI,SALMONIDAE,2.0,11.61,11.61,11.61,11.61
FORM,RAINBOW_TROUT,1.0,11.83,11.83,11.83,11.83
FORM,STEELHEAD_TROUT,1.0,13.0,13.0,13.0,13.0
HUCHO,ONCORHYNCHUS,1.0,13.41,13.41,13.41,13.41
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,1.0,13.99,13.99,13.99,13.99
LIFE,RAINBOW_TROUT,1.0,11.83,11.83,11.83,11.83
LIFE,STEELHEAD_TROUT,1.0,13.0,13.0,13.0,13.0
MARKET,RAINBOW_TROUT,1.0,11.67,11.67,11.67,11.67
ONCORHYNCHUS,RAINBOW,2.0,12.83,12.83,12.83,12.83
ONCORHYNCHUS,RAINBOW_TROUT,1.0,11.67,11.67,11.67,11.67
ONCORHYNCHUS,SALMO,3.0,12.88,12.88,12.88,12.88
ONCORHYNCHUS,SALVELINUS,1.0,11.19,11.19,11.19,11.19
ONCORHYNCHUS,STEELHEAD,1.0,13.0,13.0,13.0,13.0
ONCORHYNCHUS_MYKISS,RAINBOW,2.0,11.3,11.3,11.3,11.3
ONCORHYNCHUS_MYKISS,RAINBOW_TROUT,3.0,11.96,11.96,11.96,11.96
PEOPLE,ONCORHYNCHUS,1.0,13.0,13.0,13.0,13.0
RAINBOW,RAINBOW,1.0,11.0,11.0,11.0,11.0
RAINBOW,STEELHEAD,3.0,11.415,11.415,11.415,11.415
RAINBOW,STEELHEAD_TROUT,2.0,13.0,13.0,13.0,13.0
RAINBOW_TROUT,BROWN_TROUT,16.0,11.436666666666667,11.32,11.436666666666667,11.32
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,74.0,13.14,13.14,13.14,13.14
RAINBOW_TROUT,RAINBOW_TROUT,7.0,11.100000000000001,11.045,11.100000000000001,11.045
RAINBOW_TROUT,SALMO_GAIRDNERI,36.0,11.366666666666665,11.79,11.366666666666665,11.79
RAINBOW_TROUT,STEELHEAD,9.0,11.674999999999999,11.899999999999999,11.674999999999999,11.899999999999999
REDBAND,RAINBOW,1.0,11.19,11.19,11.19,11.19
REDBAND,REDBAND,2.0,13.19,13.19,13.19,13.19
REDBAND,STEELHEAD,1.0,11.19,11.19,11.19,11.19
RESIDENT,STEELHEAD,1.0,11.0,11.0,11.0,11.0
SALARIS,RAINBOW_TROUT,4.0,11.47,11.47,11.47,11.47
SALMON,SALMO_GAIRDNERII,1.0,13.41,13.41,13.41,13.41
SALMONIDAE,CONCEPT,2.0,11.09,11.09,11.09,11.09
SALMONIDAE,GENUS,2.0,11.09,11.09,11.09,11.09
SALMONIDAE,NUMBER,2.0,11.09,11.09,11.09,11.09
SALMONIDAE,PROSOPIUM_CYLINDRACEUM,1.0,11.83,11.83,11.83,11.83
SALMONIDAE,RAINBOW_TROUT,4.0,11.03,11.03,11.03,11.03
SALMONIDAE,SALMO_SALAR,3.0,11.5,11.5,11.5,11.5
SALMONIDAE,SPECIE,2.0,11.04,11.04,11.04,11.04
SALMO_TRUTTA,BROWN_TROUT,7.0,12.61,12.61,12.61,12.61
SILVER_TROUT,REDBAND_TROUT,1.0,13.41,13.41,13.41,13.41
SMOLT,STEELHEAD,1.0,11.0,11.0,11.0,11.0
STEELHEAD,CALIFORNIA,1.0,12.68,12.68,12.68,12.68
STEELHEAD,CREEK,1.0,12.68,12.68,12.68,12.68
STEELHEAD,MALE,1.0,12.41,12.41,12.41,12.41
STEELHEAD,RAINBOW_TROUT,29.0,12.006666666666666,11.95,12.006666666666666,11.95
STEELHEAD,SAGEHEN,1.0,12.68,12.68,12.68,12.68
STEELHEAD_TROUT,KAMLOOPS_TROUT,2.0,12.54,12.54,12.54,12.54
STEELHEAD_TROUT,STEELHEAD,3.0,11.645,11.645,11.645,11.645
THYMALLUS,SALMONIDAE,2.0,12.335,12.335,12.335,12.335
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.83,12.83,12.83,12.83
TROUT,BROWN_TROUT,23.0,11.11,11.12,11.11,11.12
TROUT,RAINBOW,9.0,11.12,11.22,11.12,11.22
TROUT,SALMO_TRUTTA,30.0,11.09,11.09,11.09,11.09
TROUT,SALVELINUS_FONTINALIS,17.0,11.12,11.12,11.12,11.12
TROUT,SALVELINUS_NAMAYCUSH,36.0,12.14,12.14,12.14,12.14
TROUT,TROUT,91.0,12.745000000000001,12.745000000000001,12.745000000000001,12.745000000000001
