source,target,hits sum,score mean,score median
BROWN_TROUT,SALMO_TRUTTA,176,13.08,13.08
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,125,11.6725,12.395
TROUT,TROUT,91,12.745,12.745
RAINBOW_TROUT,SALMO_GAIRDNERI,36,11.36666667,11.79
TROUT,SALVELINUS_NAMAYCUSH,36,12.14,12.14
TROUT,SALMO_TRUTTA,30,11.09,11.09
STEELHEAD,RAINBOW_TROUT,29,12.00666667,11.95
TROUT,BROWN_TROUT,25,10.3725,10.945
TROUT,RAINBOW_TROUT,25,10.712,10.22
BROWN_TROUT,TROUT,21,10.648,10.16
TROUT,SALVELINUS_FONTINALIS,17,11.12,11.12
RAINBOW_TROUT,BROWN_TROUT,16,11.43666667,11.32
STEELHEAD,ONCORHYNCHUS_MYKISS,14,10.875,10.875
TROUT,SALVELINUS_CONFLUENTUS,11,10.59,10.59
SALMO_TRUTTA,BROWN_TROUT,10,12.24,11.5
RAINBOW_TROUT,STEELHEAD,9,11.675,11.9
TROUT,RAINBOW,9,11.12,11.22
ONCORHYNCHUS_MYKISS,SALMO_TRUTTA,8,10.08,10.08
RAINBOW_TROUT,RAINBOW_TROUT,8,10.88,10.79
RAINBOW_TROUT,TROUT,8,8.963333333,9.09
SALMONIDAE,TROUT,8,10.095,10.095
BROWN_TROUT,RAINBOW_TROUT,7,9.896666667,10.47
KAMLOOPS_TROUT,TROUT,7,10.78,10.78
SALMO_TRUTTA,TROUT,6,10.34,10.34
THYMALLUS_THYMALLUS,SALMONIDAE,6,12.83,12.83
SALARIS,ONCORHYNCHUS_MYKISS,4,11.57,11.57
SALARIS,RAINBOW_TROUT,4,11.47,11.47
SALMONIDAE,RAINBOW_TROUT,4,11.03,11.03
STEELHEAD,TROUT,4,9.53,9.53
STEELHEAD_TROUT,SALMO_GAIRDNERI,4,10.145,10.145
TROUT,STEELHEAD,4,9.065,9.065
BROWN_TROUT,BROWN_TROUT,3,9.61,9.61
ONCORHYNCHUS,SALMO,3,12.88,12.88
ONCORHYNCHUS_MYKISS,RAINBOW_TROUT,3,11.96,11.96
RAINBOW,STEELHEAD,3,11.415,11.415
RAINBOW,TROUT,3,9.07,9.07
SALMONIDAE,SALMO_SALAR,3,11.5,11.5
SALMO_TRUTTA,ONCORHYNCHUS_MYKISS,3,9.19,9.19
SALVELINUS_NAMAYCUSH,TROUT,3,9.5,9.5
STEELHEAD,STEELHEAD,3,10.51,10.51
STEELHEAD_TROUT,STEELHEAD,3,11.645,11.645
TROUT,ONCORHYNCHUS_AGUABONITA,3,8.76,8.76
TROUT,ONCORHYNCHUS_MYKISS,3,8.08,8.08
TROUT,SALMO,3,8.73,8.73
TROUT,SALVELINUS,3,8.72,8.72
BROWN_TROUT,BRACKEN,2,12.09,12.09
BROWN_TROUT,INVERTEBRATE,2,12.09,12.09
BROWN_TROUT,ONCORHYNCHUS_MYKISS,2,9.795,9.795
BROWN_TROUT,QUINN,2,12.09,12.09
BROWN_TROUT,SALVELINUS_ALPINUS,2,12.09,12.09
EUTELEOSTEI,SALMONIDAE,2,11.61,11.61
ONCORHYNCHUS,RAINBOW,2,12.83,12.83
ONCORHYNCHUS_MYKISS,BROWN_TROUT,2,12.41,12.41
ONCORHYNCHUS_MYKISS,RAINBOW,2,11.3,11.3
ONCORHYNCHUS_MYKISS,SALMO_GAIRDNERI,2,10.07,10.07
RAINBOW,STEELHEAD_TROUT,2,13,13
RAINBOW_TROUT,SALMON_TROUT,2,9,9
RAINBOW_TROUT,SALMO_TRUTTA,2,6.675,6.675
REDBAND,REDBAND,2,13.19,13.19
SALMONIDAE,CONCEPT,2,11.09,11.09
SALMONIDAE,GENUS,2,11.09,11.09
SALMONIDAE,NUMBER,2,11.09,11.09
SALMONIDAE,ONCORHYNCHUS_MYKISS,2,8.93,8.93
SALMONIDAE,SALMO_TRUTTA,2,10.87,10.87
SALMONIDAE,SPECIE,2,11.04,11.04
SALMO_SALAR,BROWN_TROUT,2,10.27,10.27
SALVELINUS_FONTINALIS,BROWN_TROUT,2,10.54,10.54
STEELHEAD,KAMLOOPS_TROUT,2,10.16,10.16
STEELHEAD,RAINBOW,2,10.02,10.02
STEELHEAD_TROUT,KAMLOOPS_TROUT,2,12.54,12.54
STEELHEAD_TROUT,ONCORHYNCHUS_MYKISS,2,8.78,8.78
THYMALLUS,SALMONIDAE,2,12.335,12.335
TROUT,ONCORHYNCHUS,2,10.3,10.3
TROUT,SALMO_GAIRDNERI,2,7.94,7.94
TROUT,SILVER_TROUT,2,8.19,8.19
ADULT,STEELHEAD,1,11,11
BOW,TROUT,1,8.04,8.04
BROWN_TROUT,STEELHEAD,1,10.82,10.82
COREGONUS,SALMONIDAE,1,10.6,10.6
COREGONUS_CLUPEAFORMIS,SALMONIDAE,1,10.68,10.68
CREEK,STEELHEAD,1,13,13
FISH,RAINBOW_TROUT,1,11.99,11.99
FORM,RAINBOW_TROUT,1,11.83,11.83
FORM,STEELHEAD_TROUT,1,13,13
GAME,RAINBOW_TROUT,1,12.19,12.19
HUCHO,ONCORHYNCHUS,1,13.41,13.41
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,1,13.99,13.99
LIFE,RAINBOW_TROUT,1,11.83,11.83
LIFE,STEELHEAD_TROUT,1,13,13
MARKET,ONCORHYNCHUS_MYKISS,1,12.19,12.19
MARKET,RAINBOW_TROUT,1,11.67,11.67
ONCORHYNCHUS,RAINBOW_TROUT,1,11.67,11.67
ONCORHYNCHUS,SALVELINUS,1,11.19,11.19
ONCORHYNCHUS,STEELHEAD,1,13,13
ONCORHYNCHUS,TROUT,1,9.16,9.16
ONCORHYNCHUS_GORBUSCHA,SALMONIDAE,1,10.54,10.54
ONCORHYNCHUS_KETA,SALMONIDAE,1,10.6,10.6
ONCORHYNCHUS_MYKISS,ONCORHYNCHUS_KISUTCH,1,10.68,10.68
ONCORHYNCHUS_MYKISS,ONCORHYNCHUS_MYKISS,1,7.82,7.82
ONCORHYNCHUS_MYKISS,SALMO_SALAR,1,12.41,12.41
ONCORHYNCHUS_MYKISS,SALVELINUS_ALPINUS,1,10.75,10.75
