source,target,hits,score,score.1
BROOK_TROUT,BROOK_TROUT,1,13.41,13.41
BROOK_TROUT,BROWN_TROUT,3,11.41,11.41
BROOK_TROUT,TROUT,1,9.91,9.91
BROWN_TROUT,BROWN_TROUT,4,11.115,11.115
BROWN_TROUT,SALMO,1,8.13,8.13
BROWN_TROUT,SALMON_TROUT,1,13.99,13.99
BROWN_TROUT,SALMO_TRUTTA,191,13.205,13.205
BROWN_TROUT,TROUT,4,9.82,9.82
LAKE_TROUT,SALVELINUS_NAMAYCUSH,7,13.05,13.05
LAKE_TROUT,TROUT,2,10.6,10.6
ONCORHYNCHUS,SALMO,1,12.19,12.19
PARR,TROUT,3,12.06,12.06
PRE-SMOLT,TROUT,3,12.12,12.12
SALMO,ONCORHYNCHUS,5,13.41,13.41
SALMO,SALVELINUS,1,11.99,11.99
SALMONIDAE,COREGONUS_ARTEDI,1,11.54,11.54
SALMONIDAE,COREGONUS_HOYI,1,11.54,11.54
SALMONIDAE,SALMONIDAE,3,12.68,12.68
SALMONIDAE,THYMALLUS,4,13.19,13.19
SALMONIDAE,TROUT,1,9.57,9.57
SALMO_SALAR,SALMO_TRUTTA,1,7.15,7.15
SALMO_TRUTTA,BROOK_TROUT,1,11.83,11.83
SALMO_TRUTTA,BROWN_TROUT,1,13,13
SALMO_TRUTTA,ONCORHYNCHUS_MYKISS,1,9.38,9.38
SALMO_TRUTTA,SALVELINUS_FONTINALIS,1,10.19,10.19
SALMO_TRUTTA,THYMALLUS_THYMALLUS,2,13.19,13.19
SALVELINUS,SALMO,1,12.68,12.68
SALVELINUS_NAMAYCUSH,BROOK_TROUT,1,13.41,13.41
SEA_TROUT,BROWN_TROUT,1,11,11
SEA_TROUT,SALMO_TRUTTA,10,9.325,9.325
THYMALLUS_THYMALLUS,SALMONIDAE,2,13.19,13.19
TROUT,BROOK_TROUT,2,9.58,9.58
TROUT,BROWN_TROUT,5,10.08,10.08
TROUT,LAKE_TROUT,13,11.45,11.45
TROUT,ONCORHYNCHUS_MYKISS,43,12.91,12.91
TROUT,SALMO,1,7.83,7.83
TROUT,SALMO_MARMORATUS,6,10.4,10.4
TROUT,SALMO_TRUTTA,27,11.235,11.235
TROUT,SALVELINUS_CONFLUENTUS,13,11.44,11.44
TROUT,TROUT,28,12.325,12.325
