source,target,hits,score,score.1,Hits,Score
BROOK_TROUT,BROOK_TROUT,1.0,13.41,13.41,13.41,13.41
BROOK_TROUT,BROWN_TROUT,3.0,11.41,11.41,11.41,11.41
BROWN_TROUT,BROWN_TROUT,4.0,11.114999999999998,11.114999999999998,11.114999999999998,11.114999999999998
BROWN_TROUT,SALMON_TROUT,1.0,13.99,13.99,13.99,13.99
BROWN_TROUT,SALMO_TRUTTA,191.0,13.205,13.205,13.205,13.205
LAKE_TROUT,SALVELINUS_NAMAYCUSH,7.0,13.05,13.05,13.05,13.05
LAKE_TROUT,TROUT,2.0,10.6,10.6,10.6,10.6
ONCORHYNCHUS,SALMO,1.0,12.19,12.19,12.19,12.19
PARR,TROUT,3.0,12.06,12.06,12.06,12.06
PRE-SMOLT,TROUT,3.0,12.12,12.12,12.12,12.12
SALMO,ONCORHYNCHUS,5.0,13.41,13.41,13.41,13.41
SALMO,SALVELINUS,1.0,11.99,11.99,11.99,11.99
SALMONIDAE,COREGONUS_ARTEDI,1.0,11.54,11.54,11.54,11.54
SALMONIDAE,COREGONUS_HOYI,1.0,11.54,11.54,11.54,11.54
SALMONIDAE,SALMONIDAE,3.0,12.68,12.68,12.68,12.68
SALMONIDAE,THYMALLUS,4.0,13.19,13.19,13.19,13.19
SALMO_TRUTTA,BROOK_TROUT,1.0,11.83,11.83,11.83,11.83
SALMO_TRUTTA,BROWN_TROUT,1.0,13.0,13.0,13.0,13.0
SALMO_TRUTTA,THYMALLUS_THYMALLUS,2.0,13.19,13.19,13.19,13.19
SALVELINUS,SALMO,1.0,12.68,12.68,12.68,12.68
SALVELINUS_NAMAYCUSH,BROOK_TROUT,1.0,13.41,13.41,13.41,13.41
SEA_TROUT,BROWN_TROUT,1.0,11.0,11.0,11.0,11.0
THYMALLUS_THYMALLUS,SALMONIDAE,2.0,13.19,13.19,13.19,13.19
TROUT,LAKE_TROUT,13.0,11.45,11.45,11.45,11.45
TROUT,ONCORHYNCHUS_MYKISS,43.0,12.91,12.91,12.91,12.91
TROUT,SALMO_TRUTTA,27.0,11.235,11.235,11.235,11.235
TROUT,SALVELINUS_CONFLUENTUS,13.0,11.44,11.44,11.44,11.44
TROUT,TROUT,28.0,12.325,12.325,12.325,12.325
