source,target,hits,score,score.1
BROOK_TROUT,BROWN_TROUT,8.0,11.02,11.02
BROOK_TROUT,LAKE_TROUT,8.0,11.283333333333333,11.3
BROOK_TROUT,SALVELINUS_FONTINALIS,26.0,11.46,11.46
BROWN_TROUT,LAKE_TROUT,7.0,9.844999999999999,9.844999999999999
BROWN_TROUT,SALMO_TRUTTA,176.0,12.38,12.84
BROWN_TROUT,TROUT,11.0,10.32,9.8
LAKE_TROUT,BROOK_TROUT,9.0,10.6075,10.704999999999998
LAKE_TROUT,SALVELINUS_NAMAYCUSH,35.0,13.09,13.09
LAKE_TROUT,TROUT,7.0,9.865,9.865
ONCORHYNCHUS_MYKISS,SALMO_TRUTTA,8.0,8.530000000000001,8.530000000000001
SALMO,SALVELINUS,6.0,13.26,13.26
SALMONIDAE,BROWN_TROUT,7.0,11.266666666666667,11.3
SALMONIDAE,TROUT,10.0,10.745000000000001,10.745000000000001
SALMO_SALAR,SALMO_TRUTTA,11.0,11.23,11.23
SALMO_TRUTTA,BROWN_TROUT,11.0,11.467499999999998,11.254999999999999
SALMO_TRUTTA,SEA_TROUT,5.0,11.58,11.58
SEA_TROUT,SALMO_TRUTTA,13.0,9.7,9.7
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.72,12.72
TROUT,BROOK_TROUT,15.0,10.21,9.42
TROUT,BROWN_TROUT,30.0,10.675,10.879999999999999
TROUT,LAKE_TROUT,9.0,10.5725,10.600000000000001
TROUT,ONCORHYNCHUS_MYKISS,129.0,11.254999999999999,11.254999999999999
TROUT,SALMO_TRUTTA,20.0,11.485,11.485
TROUT,SALVELINUS_CONFLUENTUS,11.0,10.32,10.32
TROUT,TROUT,78.0,12.62,12.62
