source,target,hits,score,score.1,Hits,Score
BROOK_TROUT,BROOK_TROUT,2.0,12.115,12.115,12.115,12.115
BROOK_TROUT,BROWN_TROUT,8.0,11.02,11.02,11.02,11.02
BROOK_TROUT,LAKE_TROUT,8.0,11.283333333333333,11.3,11.283333333333333,11.3
BROOK_TROUT,ONCORHYNCHUS_AGUABONITA,1.0,9.53,9.53,9.53,9.53
BROOK_TROUT,SALVELINUS_FONTINALIS,26.0,11.46,11.46,11.46,11.46
BROOK_TROUT,SEA_TROUT,1.0,9.32,9.32,9.32,9.32
BROOK_TROUT,THYMALLUS_THYMALLUS,1.0,11.19,11.19,11.19,11.19
BROOK_TROUT,TROUT,4.0,9.115,9.115,9.115,9.115
BROWNIE,LOCH_LEVEN_TROUT,2.0,13.67,13.67,13.67,13.67
BROWN_TROUT,BRACKEN,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,BROOK_TROUT,3.0,9.87,9.87,9.87,9.87
BROWN_TROUT,BROWNIE,2.0,9.48,9.48,9.48,9.48
BROWN_TROUT,BROWN_TROUT,3.0,9.58,9.58,9.58,9.58
BROWN_TROUT,INVERTEBRATE,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,LAKE_TROUT,7.0,9.844999999999999,9.844999999999999,9.844999999999999,9.844999999999999
BROWN_TROUT,QUINN,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,SALMO_TRUTTA,176.0,12.38,12.84,12.38,12.84
BROWN_TROUT,SALVELINUS_ALPINUS,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,SEA_TROUT,4.0,10.51,11.54,10.51,11.54
BROWN_TROUT,TROUT,11.0,10.32,9.8,10.32,9.8
CONCERN,SALMO_TRUTTA,1.0,11.67,11.67,11.67,11.67
COREGONUS,SALMONIDAE,1.0,10.47,10.47,10.47,10.47
COREGONUS_CLUPEAFORMIS,SALMONIDAE,1.0,10.54,10.54,10.54,10.54
DERJAVINI,SALMO_TRUTTA,2.0,12.68,12.68,12.68,12.68
EUTELEOSTEI,SALMONIDAE,2.0,11.47,11.47,11.47,11.47
FINNOCK,PEAL,1.0,13.99,13.99,13.99,13.99
KELT,SEA_TROUT,1.0,13.0,13.0,13.0,13.0
LAKE_TROUT,BROOK_TROUT,9.0,10.6075,10.704999999999998,10.6075,10.704999999999998
LAKE_TROUT,BROWN_TROUT,2.0,9.285,9.285,9.285,9.285
LAKE_TROUT,ERIE,1.0,13.0,13.0,13.0,13.0
LAKE_TROUT,LAKE,1.0,11.09,11.09,11.09,11.09
LAKE_TROUT,LAKE_TROUT,2.0,11.175,11.175,11.175,11.175
LAKE_TROUT,SALMONIDAE,1.0,10.47,10.47,10.47,10.47
LAKE_TROUT,SALMO_TRUTTA,1.0,6.98,6.98,6.98,6.98
