source,target,hits,score,score.1
BROOK_TROUT,BROWN_TROUT,7.0,11.5,11.5
BROOK_TROUT,LAKE_TROUT,7.0,11.38,11.38
BROOK_TROUT,SALVELINUS_FONTINALIS,25.0,13.39,13.39
BROWN_TROUT,LAKE_TROUT,5.0,10.57,10.57
BROWN_TROUT,SALMO_TRUTTA,176.0,12.38,12.84
BROWN_TROUT,TROUT,11.0,10.32,9.8
LAKE_TROUT,BROOK_TROUT,5.0,10.273333333333332,10.04
LAKE_TROUT,SALVELINUS_NAMAYCUSH,14.0,12.92,12.92
LAKE_TROUT,TROUT,7.0,9.865,9.865
ONCORHYNCHUS_MYKISS,SALMO_TRUTTA,8.0,8.530000000000001,8.530000000000001
SALMO,SALVELINUS,6.0,13.26,13.26
SALMONIDAE,BROWN_TROUT,7.0,11.266666666666667,11.3
SALMONIDAE,TROUT,10.0,10.745000000000001,10.745000000000001
SALMO_SALAR,SALMO_TRUTTA,11.0,11.23,11.23
SALMO_TRUTTA,BROWN_TROUT,11.0,11.467499999999998,11.254999999999999
SALMO_TRUTTA,SEA_TROUT,5.0,11.58,11.58
SEA_TROUT,SALMO_TRUTTA,13.0,9.7,9.7
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.72,12.72
TROUT,BROOK_TROUT,13.0,9.512500000000001,9.385
TROUT,BROWN_TROUT,30.0,10.675,10.879999999999999
TROUT,LAKE_TROUT,9.0,10.5725,10.600000000000001
TROUT,ONCORHYNCHUS_MYKISS,129.0,11.254999999999999,11.254999999999999
TROUT,SALMO_TRUTTA,20.0,11.485,11.485
TROUT,SALVELINUS_CONFLUENTUS,11.0,10.32,10.32
TROUT,TROUT,78.0,12.62,12.62
