source,target,hits,score,score.1,Hits,Score
BROOK_TROUT,BROOK_TROUT,1.0,13.41,13.41,13.41,13.41
BROOK_TROUT,BROWN_TROUT,7.0,11.5,11.5,11.5,11.5
BROOK_TROUT,LAKE_TROUT,7.0,11.38,11.38,11.38,11.38
BROOK_TROUT,SALVELINUS_FONTINALIS,25.0,13.39,13.39,13.39,13.39
BROWNIE,LOCH_LEVEN_TROUT,2.0,13.67,13.67,13.67,13.67
BROWN_TROUT,BRACKEN,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,INVERTEBRATE,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,QUINN,2.0,12.09,12.09,12.09,12.09
BROWN_TROUT,SALMO_TRUTTA,176.0,12.38,12.84,12.38,12.84
CONCERN,SALMO_TRUTTA,1.0,11.67,11.67,11.67,11.67
DERJAVINI,SALMO_TRUTTA,2.0,12.68,12.68,12.68,12.68
EUTELEOSTEI,SALMONIDAE,2.0,11.47,11.47,11.47,11.47
FINNOCK,PEAL,1.0,13.99,13.99,13.99,13.99
KELT,SEA_TROUT,1.0,13.0,13.0,13.0,13.0
LAKE_TROUT,LAKE_TROUT,2.0,11.175,11.175,11.175,11.175
LAKE_TROUT,SALVELINUS_NAMAYCUSH,14.0,12.92,12.92,12.92,12.92
ONCORHYNCHUS,SALMO,3.0,12.88,12.88,12.88,12.88
PEAL,HERLING,1.0,13.99,13.99,13.99,13.99
PROSOPIUM,SALMO,1.0,11.54,11.54,11.54,11.54
SALARIS,TROUT,4.0,11.19,11.19,11.19,11.19
SALMO,HUCHO,1.0,11.41,11.41,11.41,11.41
SALMO,SALVELINUS,6.0,13.26,13.26,13.26,13.26
SALMON,SALMO,1.0,13.41,13.41,13.41,13.41
SALMONIDAE,BROWN_TROUT,7.0,11.266666666666667,11.3,11.266666666666667,11.3
SALMONIDAE,CONCEPT,2.0,11.09,11.09,11.09,11.09
SALMONIDAE,GENUS,2.0,11.09,11.09,11.09,11.09
SALMONIDAE,NUMBER,2.0,11.09,11.09,11.09,11.09
SALMONIDAE,PROSOPIUM_CYLINDRACEUM,1.0,11.19,11.19,11.19,11.19
SALMONIDAE,SALMO_SALAR,3.0,11.5,11.5,11.5,11.5
SALMONIDAE,SPECIE,2.0,11.04,11.04,11.04,11.04
SALMON_TROUT,SEA_TROUT,1.0,12.68,12.68,12.68,12.68
SALMO_SALAR,SALMO_TRUTTA,11.0,11.23,11.23,11.23,11.23
SALMO_TRUTTA,BROWN_TROUT,11.0,11.467499999999998,11.254999999999999,11.467499999999998,11.254999999999999
SALMO_TRUTTA,SEA_TROUT,5.0,11.58,11.58,11.58,11.58
SALVELINUS_ALPINUS,SALMO,1.0,11.09,11.09,11.09,11.09
SALVELINUS_FONTINALIS,SALMO_TRUTTA,1.0,11.83,11.83,11.83,11.83
SEWIN,BROWN_TROUT,2.0,13.41,13.41,13.41,13.41
THYMALLUS,SALMONIDAE,2.0,12.265,12.265,12.265,12.265
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.72,12.72,12.72,12.72
TROUT,ONCORHYNCHUS_MYKISS,129.0,11.254999999999999,11.254999999999999,11.254999999999999,11.254999999999999
TROUT,SALMO_TRUTTA,20.0,11.485,11.485,11.485,11.485
TROUT,TROUT,78.0,12.62,12.62,12.62,12.62
