name,TAXRANK_target,is_a,target,source,TAXRANK_source
Prosopium,genus,Salmonidae,Prosopium,Salmonidae,family
Coregonus,genus,Salmonidae,Coregonus,Salmonidae,family
Stenodus,genus,Salmonidae,Stenodus,Salmonidae,family
Hucho,genus,Salmonidae,Hucho,Salmonidae,family
Parahucho,genus,Salmonidae,Parahucho,Salmonidae,family
Salmo,genus,Salmonidae,Salmo,Salmonidae,family
Salvelinus,genus,Salmonidae,Salvelinus,Salmonidae,family
Oncorhynchus,genus,Salmonidae,Oncorhynchus,Salmonidae,family
Salvethymus,genus,Salmonidae,Salvethymus,Salmonidae,family
Brachymystax,genus,Salmonidae,Brachymystax,Salmonidae,family
Thymallus,genus,Salmonidae,Thymallus,Salmonidae,family
Salmonidae,family,Salmoniformes,Salmonidae,Salmoniformes,order
Salmoniformes,order,Protacanthopterygii,Salmoniformes,Protacanthopterygii,
Protacanthopterygii,,Euteleostei,Protacanthopterygii,Euteleostei,
Euteleostei,,Teleostei,Euteleostei,Teleostei,
Prosopium spilonotus,species,Prosopium,spilonotus,Prosopium,genus
Prosopium gemmifer,species,Prosopium,gemmifer,Prosopium,genus
Prosopium coulterii,species,Prosopium,coulterii,Prosopium,genus
Prosopium williamsoni,species,Prosopium,williamsoni,Prosopium,genus
Prosopium abyssicola,species,Prosopium,abyssicola,Prosopium,genus
Prosopium cylindraceum,species,Prosopium,cylindraceum,Prosopium,genus
Coregonus nigripinnis,species,Coregonus,nigripinnis,Coregonus,genus
Coregonus tugun,species,Coregonus,tugun,Coregonus,genus
Coregonus lavaretus,species,Coregonus,lavaretus,Coregonus,genus
Coregonus migratorius,species,Coregonus,migratorius,Coregonus,genus
Coregonus peled,species,Coregonus,peled,Coregonus,genus
Coregonus chadary,species,Coregonus,chadary,Coregonus,genus
Coregonus autumnalis,species,Coregonus,autumnalis,Coregonus,genus
Coregonus zenithicus,species,Coregonus,zenithicus,Coregonus,genus
Coregonus artedi,species,Coregonus,artedi,Coregonus,genus
Coregonus albula,species,Coregonus,albula,Coregonus,genus
Coregonus clupeaformis,species,Coregonus,clupeaformis,Coregonus,genus
Coregonus hoyi,species,Coregonus,hoyi,Coregonus,genus
Coregonus kiyi,species,Coregonus,kiyi,Coregonus,genus
Coregonus zugensis,species,Coregonus,zugensis,Coregonus,genus
Coregonus widegreni,species,Coregonus,widegreni,Coregonus,genus
Coregonus wartmanni,species,Coregonus,wartmanni,Coregonus,genus
