source,target,relations,hits,score,score.1,Hits,Score,TAXRANK_target,TAXRANK_source
ABRAMIS,BJOERKNA,PARENT-CHILD,8.0,11.5,11.5,8.0,11.5, SPECIES, GENUS
ABRAMIS,BRAMA,PARENT-CHILD,54.0,13.81,13.81,54.0,13.81, SPECIES, GENUS
ACANTHOPAGRUS,BUTCHERI,PARENT-CHILD,3.0,13.77,13.77,3.0,13.77, SPECIES, GENUS
ACANTHURUS,TRIOSTEGUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
ACIPENSER,BAERII,PARENT-CHILD,1.0,11.3,11.3,1.0,11.3, SPECIES, GENUS
ACIPENSER,FULVESCENS,PARENT-CHILD,3.0,12.68,12.68,3.0,12.68, SPECIES, GENUS
ACIPENSER,RUTHENUS,PARENT-CHILD,2.0,12.19,12.19,2.0,12.19, SPECIES, GENUS
ACIPENSER,STURIO,PARENT-CHILD,1.0,11.3,11.3,1.0,11.3, SPECIES, GENUS
ACIPENSER,TRANSMONTANUS,PARENT-CHILD,5.0,13.23,13.23,5.0,13.23, SPECIES, GENUS
ALBURNUS,ALBURNUS,PARENT-CHILD,28.0,13.92,13.92,28.0,13.92, SPECIES, GENUS
ALOSA,ALOSA,PARENT-CHILD,13.0,12.68,12.68,13.0,12.68, SPECIES, GENUS
ALOSA,FALLAX,PARENT-CHILD,4.0,11.17,11.17,4.0,11.17, SPECIES, GENUS
ALOSA,PSEUDOHARENGUS,PARENT-CHILD,13.0,12.68,12.68,13.0,12.68, SPECIES, GENUS
ALOSA,SAPIDISSIMA,PARENT-CHILD,18.0,11.125,11.125,18.0,11.125, SPECIES, GENUS
AMBLOPLITES,RUPESTRIS,PARENT-CHILD,15.0,13.69,13.69,15.0,13.69, SPECIES, GENUS
AMEIURUS,NATALIS,PARENT-CHILD,1.0,11.67,11.67,1.0,11.67, SPECIES, GENUS
AMEIURUS,NEBULOSUS,PARENT-CHILD,5.0,13.62,13.62,5.0,13.62, SPECIES, GENUS
AMNIATABA,PERCOIDES,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
AMPHILIUS,LONGIROSTRIS,CHILD-PARENT,1.0,13.0,13.0,1.0,13.0, SPECIES, GENUS
ANGUILLA,ANGUILLA,PARENT-CHILD,52.0,12.86,12.86,52.0,12.86, SPECIES, GENUS
ANGUILLA,AUSTRALIS,PARENT-CHILD,10.0,10.74,10.74,10.0,10.74, SPECIES, GENUS
ANGUILLA,DIEFFENBACHII,PARENT-CHILD,26.0,12.03,12.03,26.0,12.03, SPECIES, GENUS
ANGUILLA,JAPONICA,PARENT-CHILD,50.0,12.79,12.79,50.0,12.79, SPECIES, GENUS
ANGUILLA,MARMORATA,PARENT-CHILD,4.0,9.5,9.5,4.0,9.5, SPECIES, GENUS
ANGUILLA,ROSTRATA,PARENT-CHILD,32.0,12.27,12.27,32.0,12.27, SPECIES, GENUS
ANOLIS,SAGREI,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
APHREDODERUS,SAYANUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
APLODINOTUS,GRUNNIENS,PARENT-CHILD,6.0,13.77,13.77,6.0,13.77, SPECIES, GENUS
ARAPAIMA,GIGAS,PARENT-CHILD,14.0,13.99,13.99,14.0,13.99, SPECIES, GENUS
ARDEA,CINEREA,PARENT-CHILD,4.0,13.67,13.67,4.0,13.67, SPECIES, GENUS
ASPIUS,ASPIUS,PARENT-CHILD,7.0,13.9,13.9,7.0,13.9, SPECIES, GENUS
ASTROBLEPUS,UBIDIAI,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
ASTYANAX,BIMACULATUS,PARENT-CHILD,1.0,11.0,11.0,1.0,11.0, SPECIES, GENUS
ASTYANAX,FASCIATUS,PARENT-CHILD,1.0,10.04,10.04,1.0,10.04, SPECIES, GENUS
ASTYANAX,INTERMEDIUS,PARENT-CHILD,11.0,13.6,13.6,11.0,13.6, SPECIES, GENUS
ASTYANAX,MEXICANUS,PARENT-CHILD,1.0,11.0,11.0,1.0,11.0, SPECIES, GENUS
ATHERINA,BOYERI,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
ATRACTOSTEUS,SPATULA,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99, SPECIES, GENUS
BALLERUS,BALLERUS,CHILD-PARENT,1.0,13.41,13.41,1.0,13.41, SPECIES, GENUS
BARBATULA,BARBATULA,PARENT-CHILD,16.0,13.95,13.95,16.0,13.95, SPECIES, GENUS
BARBUS,BARBUS,PARENT-CHILD,59.0,13.61,13.61,59.0,13.61, SPECIES, GENUS
BARBUS,HAASI,PARENT-CHILD,6.0,10.95,10.95,6.0,10.95, SPECIES, GENUS
BARBUS,PETENYI,PARENT-CHILD,5.0,10.72,10.72,5.0,10.72, SPECIES, GENUS
BLICCA,BJOERKNA,PARENT-CHILD,14.0,13.48,13.48,14.0,13.48, SPECIES, GENUS
BRACHYRHAPHIS,RHABDOPHORA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
BREVOORTIA,TYRANNUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
BRYCONAMERICUS,IHERINGII,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68, SPECIES, GENUS
BRYCONAMERICUS,STRAMINEUS,PARENT-CHILD,2.0,12.29,12.29,2.0,12.29, SPECIES, GENUS
CAMPOSTOMA,ANOMALUM,PARENT-CHILD,16.0,13.99,13.99,16.0,13.99, SPECIES, GENUS
CARASSIUS,AURATUS,PARENT-CHILD,24.0,13.11,13.11,24.0,13.11, SPECIES, GENUS
CARASSIUS,CARASSIUS,PARENT-CHILD,22.0,13.14,13.14,22.0,13.14, SPECIES, GENUS
CARASSIUS,GIBELIO,PARENT-CHILD,9.0,12.12,12.12,9.0,12.12, SPECIES, GENUS
CARPIODES,CYPRINUS,PARENT-CHILD,4.0,13.83,13.83,4.0,13.83, SPECIES, GENUS
CARPIODES,VELIFER,PARENT-CHILD,1.0,12.41,12.41,1.0,12.41, SPECIES, GENUS
CASTOR,CANADENSIS,CHILD-PARENT,9.0,13.47,13.47,9.0,13.47, SPECIES, GENUS
CATOSTOMUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,12.54,10.0,12.54, SPECIES, GENUS
CATOSTOMUS,CLARKII,PARENT-CHILD,3.0,10.65,10.65,3.0,10.65, SPECIES, GENUS
CATOSTOMUS,COMMERSONII,PARENT-CHILD,10.0,12.54,12.54,10.0,12.54, SPECIES, GENUS
CATOSTOMUS,DISCOBOLUS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03, SPECIES, GENUS
CATOSTOMUS,INSIGNIS,PARENT-CHILD,1.0,9.5,9.5,1.0,9.5, SPECIES, GENUS
CATOSTOMUS,LATIPINNIS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03, SPECIES, GENUS
CATOSTOMUS,MACROCHEILUS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03, SPECIES, GENUS
CERVUS,ELAPHUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
CHARACIFORMES,CHARACIDAE,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68, FAMILY, ORDER
CHEIMARRICHTHYS,FOSTERI,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
CHONDROSTOMA,NASUS,PARENT-CHILD,21.0,13.32,13.32,21.0,13.32, SPECIES, GENUS
CLARIAS,CAMERUNENSIS,PARENT-CHILD,1.0,11.54,11.54,1.0,11.54, SPECIES, GENUS
CLARIAS,GARIEPINUS,PARENT-CHILD,5.0,13.51,13.51,5.0,13.51, SPECIES, GENUS
CLARIAS,JAENSIS,PARENT-CHILD,1.0,11.54,11.54,1.0,11.54, SPECIES, GENUS
