TAXRANK_target,target,TAXRANK_source,source,relations,hits,score,score.1,_merge
 SPECIES,ROSTRATA, GENUS,ANGUILLA,PARENT-CHILD,32.0,12.27,12.27,both
 SPECIES,JAPONICA, GENUS,ANGUILLA,PARENT-CHILD,50.0,12.79,12.79,both
 SPECIES,ANGUILLA, GENUS,ANGUILLA,PARENT-CHILD,52.0,12.86,12.86,both
 SPECIES,DIEFFENBACHII, GENUS,ANGUILLA,PARENT-CHILD,26.0,12.03,12.03,both
 SPECIES,PUNCTATUS, GENUS,ICTALURUS,PARENT-CHILD,22.0,13.87,13.87,both
 SPECIES,LEUCISCUS, GENUS,LEUCISCUS,PARENT-CHILD,26.0,13.06,13.06,both
 SPECIES,SERICEUS, GENUS,RHODEUS,PARENT-CHILD,23.0,13.61,13.61,both
 SPECIES,ERYTHROPHTHALMUS, GENUS,SCARDINIUS,PARENT-CHILD,29.0,13.72,13.72,both
 SPECIES,BRAMA, GENUS,ABRAMIS,PARENT-CHILD,54.0,13.81,13.81,both
 SPECIES,TINCA, GENUS,TINCA,PARENT-CHILD,27.0,13.87,13.87,both
 SPECIES,RUTILUS, GENUS,RUTILUS,PARENT-CHILD,199.0,13.94,13.94,both
 SPECIES,NASUS, GENUS,CHONDROSTOMA,PARENT-CHILD,21.0,13.32,13.32,both
 SPECIES,CARASSIUS, GENUS,CARASSIUS,PARENT-CHILD,22.0,13.14,13.14,both
 SPECIES,AURATUS, GENUS,CARASSIUS,PARENT-CHILD,24.0,13.11,13.11,both
 SPECIES,PARVA, GENUS,PSEUDORASBORA,PARENT-CHILD,27.0,13.97,13.97,both
 SPECIES,VENUSTA, GENUS,CYPRINELLA,PARENT-CHILD,24.0,13.47,13.47,both
 SPECIES,ATROMACULATUS, GENUS,SEMOTILUS,PARENT-CHILD,21.0,13.96,13.96,both
 SPECIES,PHOXINUS, GENUS,PHOXINUS,PARENT-CHILD,51.0,13.85,13.85,both
 SPECIES,BARBUS, GENUS,BARBUS,PARENT-CHILD,59.0,13.61,13.61,both
 SPECIES,ALBURNUS, GENUS,ALBURNUS,PARENT-CHILD,28.0,13.92,13.92,both
 SPECIES,LUCIOPERCA, GENUS,SANDER,PARENT-CHILD,24.0,12.44,12.44,both
 SPECIES,VITREUS, GENUS,SANDER,PARENT-CHILD,36.0,13.48,13.48,both
 SPECIES,CERNUUS, GENUS,GYMNOCEPHALUS,PARENT-CHILD,46.0,13.79,13.79,both
 SPECIES,FLAVESCENS, GENUS,PERCA,PARENT-CHILD,53.0,12.27,12.27,both
 SPECIES,FLUVIATILIS, GENUS,PERCA,PARENT-CHILD,230.0,13.66,13.66,both
 SPECIES,SAXATILIS, GENUS,MORONE,PARENT-CHILD,21.0,13.86,13.86,both
 SPECIES,DOLOMIEU, GENUS,MICROPTERUS,PARENT-CHILD,36.0,13.77,13.77,both
 SPECIES,MACROCHIRUS, GENUS,LEPOMIS,PARENT-CHILD,56.0,13.14,13.14,both
 SPECIES,GIBBOSUS, GENUS,LEPOMIS,PARENT-CHILD,60.0,13.18,13.18,both
 SPECIES,JAPONICUS, GENUS,SICYOPTERUS,PARENT-CHILD,20.0,12.57,12.57,both
 SPECIES,LAGOCEPHALUS, GENUS,SICYOPTERUS,PARENT-CHILD,57.0,13.65,13.65,both
 SPECIES,MELANOSTOMUS, GENUS,NEOGOBIUS,PARENT-CHILD,67.0,13.84,13.84,both
 SPECIES,COGNATUS, GENUS,COTTUS,PARENT-CHILD,20.0,11.78,11.78,both
 SPECIES,GOBIO, GENUS,COTTUS,PARENT-CHILD,73.0,13.13,13.13,both
 SPECIES,ACULEATUS, GENUS,GASTEROSTEUS,PARENT-CHILD,99.0,13.94,13.94,both
 SPECIES,PUNGITIUS, GENUS,PUNGITIUS,PARENT-CHILD,41.0,13.86,13.86,both
 SPECIES,AFFINIS, GENUS,GAMBUSIA,PARENT-CHILD,40.0,13.23,13.23,both
 SPECIES,RETICULATA, GENUS,POECILIA,PARENT-CHILD,22.0,13.67,13.67,both
 SPECIES,MORHUA, GENUS,GADUS,PARENT-CHILD,30.0,13.97,13.97,both
 SPECIES,LOTA, GENUS,LOTA,PARENT-CHILD,55.0,11.56,11.56,both
 SPECIES,LUCIUS, GENUS,ESOX,PARENT-CHILD,179.0,11.995,11.995,both
 SPECIES,LAVARETUS, GENUS,COREGONUS,PARENT-CHILD,95.0,13.01,13.01,both
 SPECIES,ALBULA, GENUS,COREGONUS,PARENT-CHILD,94.0,13.01,13.01,both
 SPECIES,TRUTTA, GENUS,SALMO,PARENT-CHILD,695.0,13.36,13.36,both
 SPECIES,MARMORATUS, GENUS,SALMO,PARENT-CHILD,40.0,9.78,9.78,both
 SPECIES,SALAR, GENUS,SALMO,PARENT-CHILD,615.0,13.25,13.25,both
 SPECIES,NAMAYCUSH, GENUS,SALVELINUS,PARENT-CHILD,69.0,11.23,11.23,both
 SPECIES,CONFLUENTUS, GENUS,SALVELINUS,PARENT-CHILD,96.0,11.67,11.67,both
 SPECIES,ALPINUS, GENUS,SALVELINUS,PARENT-CHILD,485.0,13.51,13.51,both
 SPECIES,MALMA, GENUS,SALVELINUS,PARENT-CHILD,39.0,10.46,10.46,both
