TAXRANK_target,target,TAXRANK_source,source,relations,hits,score,score.1,Hits,Score,_merge
 SPECIES,SYLVATICA, GENUS,RANA,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,PIRICA, GENUS,RANA,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41,both
 SPECIES,LUTRA, GENUS,LUTRA,PARENT-CHILD,12.0,13.99,13.99,12.0,13.99,both
 SPECIES,VISON, GENUS,NEOVISON,PARENT-CHILD,1.0,12.19,12.19,1.0,12.19,both
 SPECIES,ELAPHUS, GENUS,CERVUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,CANADENSIS, GENUS,CASTOR,CHILD-PARENT,9.0,13.47,13.47,9.0,13.47,both
 SPECIES,MUSCULUS, GENUS,MUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,MUSCULUS, GENUS,MUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,MUSCULUS, GENUS,MUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,SAGREI, GENUS,ANOLIS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,UNDULATUS, GENUS,SCELOPORUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,CARBO, GENUS,PHALACROCORAX,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41,both
 SPECIES,MAJOR, GENUS,PARUS,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41,both
 SPECIES,MERGANSER, GENUS,MERGUS,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41,both
 SPECIES,CRISTATUS, GENUS,PODICEPS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,GARZETTA, GENUS,EGRETTA,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,CINEREA, GENUS,ARDEA,PARENT-CHILD,4.0,13.67,13.67,4.0,13.67,both
 SPECIES,SPATULA, GENUS,ATRACTOSTEUS,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99,both
 SPECIES,OSSEUS, GENUS,LEPISOSTEUS,PARENT-CHILD,11.0,13.25,13.25,11.0,13.25,both
 SPECIES,OCULATUS, GENUS,LEPISOSTEUS,PARENT-CHILD,10.0,13.15,13.15,10.0,13.15,both
 SPECIES,MOORII, GENUS,MARCUSENIUS,CHILD-PARENT,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,GIGAS, GENUS,ARAPAIMA,PARENT-CHILD,14.0,13.99,13.99,14.0,13.99,both
 SPECIES,ROSTRATA, GENUS,ANGUILLA,PARENT-CHILD,32.0,12.27,12.27,32.0,12.27,both
 SPECIES,JAPONICA, GENUS,ANGUILLA,PARENT-CHILD,50.0,12.79,12.79,50.0,12.79,both
 SPECIES,ANGUILLA, GENUS,ANGUILLA,PARENT-CHILD,52.0,12.86,12.86,52.0,12.86,both
 SPECIES,DIEFFENBACHII, GENUS,ANGUILLA,PARENT-CHILD,26.0,12.03,12.03,26.0,12.03,both
 SPECIES,HARENGUS, GENUS,CLUPEA,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99,both
 SPECIES,TYRANNUS, GENUS,BREVOORTIA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,ALOSA, GENUS,ALOSA,PARENT-CHILD,13.0,12.68,12.68,13.0,12.68,both
 SPECIES,PSEUDOHARENGUS, GENUS,ALOSA,PARENT-CHILD,13.0,12.68,12.68,13.0,12.68,both
 SPECIES,CEPEDIANUM, GENUS,DOROSOMA,PARENT-CHILD,17.0,13.72,13.72,17.0,13.72,both
 SPECIES,PETENENSE, GENUS,DOROSOMA,PARENT-CHILD,4.0,12.29,12.29,4.0,12.29,both
 SPECIES,ENCRASICOLUS, GENUS,ENGRAULIS,PARENT-CHILD,1.0,12.41,12.41,1.0,12.41,both
 SPECIES,MORDAX, GENUS,ENGRAULIS,PARENT-CHILD,4.0,12.24,12.24,4.0,12.24,both
 SPECIES,GARIEPINUS, GENUS,CLARIAS,PARENT-CHILD,5.0,13.51,13.51,5.0,13.51,both
 SPECIES,GLANIS, GENUS,SILURUS,PARENT-CHILD,11.0,13.33,13.33,11.0,13.33,both
 SPECIES,ASOTUS, GENUS,SILURUS,PARENT-CHILD,8.0,13.09,13.09,8.0,13.09,both
 SPECIES,ASOTUS, GENUS,SILURUS,PARENT-CHILD,8.0,13.09,13.09,8.0,13.09,both
 SPECIES,PUNCTATUS, GENUS,ICTALURUS,PARENT-CHILD,22.0,13.87,13.87,22.0,13.87,both
 SPECIES,MUNITUS, GENUS,NOTURUS,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41,both
 SPECIES,NEBULOSUS, GENUS,AMEIURUS,PARENT-CHILD,5.0,13.62,13.62,5.0,13.62,both
 SPECIES,OLIVARIS, GENUS,PYLODICTIS,PARENT-CHILD,7.0,13.72,13.72,7.0,13.72,both
 FAMILY,PIMELODIDAE, ORDER,SILURIFORMES,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68,both
 SPECIES,QUELEN, GENUS,RHAMDIA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,MACULATUS, GENUS,PIMELODUS,CHILD-PARENT,9.0,12.21,12.21,9.0,12.21,both
 SPECIES,GRANULOSUS, GENUS,PTERODORAS,CHILD-PARENT,13.0,13.94,13.94,13.0,13.94,both
 SPECIES,GRANULOSUS, GENUS,PTERODORAS,CHILD-PARENT,13.0,13.94,13.94,13.0,13.94,both
 FAMILY,LORICARIIDAE, ORDER,SILURIFORMES,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41,both
 SPECIES,ODOE, GENUS,HEPSETUS,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99,both
 SPECIES,FORSKAHLII, GENUS,HYDROCYNUS,PARENT-CHILD,2.0,12.19,12.19,2.0,12.19,both
 SPECIES,VITTATUS, GENUS,HYDROCYNUS,PARENT-CHILD,9.0,13.77,13.77,9.0,13.77,both
 FAMILY,CHARACIDAE, ORDER,CHARACIFORMES,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68,both
 SPECIES,SPILOPLEURA, GENUS,SERRASALMUS,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,NATTERERI, GENUS,PYGOCENTRUS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,HEPSETUS, GENUS,OLIGOSARCUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,MYERSII, GENUS,ROEBOIDES,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,INTERMEDIUS, GENUS,ASTYANAX,PARENT-CHILD,11.0,13.6,13.6,11.0,13.6,both
 SPECIES,ERYTHROZONUS, GENUS,HEMIGRAMMUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,IHERINGII, GENUS,BRYCONAMERICUS,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68,both
 SPECIES,STRAMINEUS, GENUS,BRYCONAMERICUS,PARENT-CHILD,2.0,12.29,12.29,2.0,12.29,both
 SPECIES,LINEATUS, GENUS,PROCHILODUS,PARENT-CHILD,14.0,13.99,13.99,14.0,13.99,both
 SPECIES,ALTAMAZONICA, GENUS,POTAMORHINA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,FRIDERICI, GENUS,LEPORINUS,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77,both
