name,TAXRANK,is_a
 Chordata,1.0,
 unclassified Chordata,, Chordata
,,
,,
,,
 Craniata,8.0, Chordata
 Vertebrata,, Craniata
 Gnathostomata,15.0, Vertebrata
 Chondrichthyes,, Chondrichthiomorphi
 Holocephali,7.0, Chondrichthyes
 Chimaeriformes,3.0, Holocephali
 Rhinochimaeridae,4.0, Chimaeriformes
 Rhinochimaera,5.0, Rhinochimaeridae
 Rhinochimaera africana,6.0, Rhinochimaera
 Rhinochimaera pacifica,6.0, Rhinochimaera
 Neoharriotta,5.0, Rhinochimaeridae
 Neoharriotta pinnata,6.0, Neoharriotta
 Harriotta,5.0, Rhinochimaeridae
 Harriotta raleighana,6.0, Harriotta
 Chimaeridae,4.0, Chimaeriformes
 Hydrolagus,5.0, Chimaeridae
 Hydrolagus colliei,6.0, Hydrolagus
 Hydrolagus bemisi,6.0, Hydrolagus
 Hydrolagus barbouri,6.0, Hydrolagus
 Hydrolagus melanophasma,6.0, Hydrolagus
 Hydrolagus africanus,6.0, Hydrolagus
 Hydrolagus trolli,6.0, Hydrolagus
 Hydrolagus novaezealandiae,6.0, Hydrolagus
 Hydrolagus mitsukurii,6.0, Hydrolagus
 Hydrolagus lemures,6.0, Hydrolagus
 Hydrolagus ogilbyi,6.0, Hydrolagus
 Chimaera,5.0, Chimaeridae
 Chimaera lignaria,6.0, Chimaera
 Chimaera panthera,6.0, Chimaera
 Chimaera phantasma,6.0, Chimaera
 Chimaera monstrosa,6.0, Chimaera
 Chimaera fulva,6.0, Chimaera
 Callorhinchidae,4.0, Chimaeriformes
 Callorhinchus,5.0, Callorhinchidae
 Callorhinchus capensis,6.0, Callorhinchus
 Callorhinchus milii,6.0, Callorhinchus
 Callorhinchus callorynchus,6.0, Callorhinchus
 Elasmobranchii,7.0, Chondrichthyes
 Heterodontiformes,3.0, Elasmobranchii
 Heterodontidae,4.0, Heterodontiformes
 Heterodontus,5.0, Heterodontidae
 Heterodontus galeatus,6.0, Heterodontus
 Heterodontus mexicanus,6.0, Heterodontus
 Heterodontus japonicus,6.0, Heterodontus
 Heterodontus zebra,6.0, Heterodontus
 Heterodontus francisci,6.0, Heterodontus
 Heterodontus portusjacksoni,6.0, Heterodontus
 Lamniformes,3.0, Elasmobranchii
 Odontaspididae,4.0, Lamniformes
 Odontaspis,5.0, Odontaspididae
 Odontaspis noronhai,6.0, Odontaspis
 Odontaspis ferox,6.0, Odontaspis
 Carcharias,5.0, Odontaspididae
 Carcharias taurus,6.0, Carcharias
 Mitsukurinidae,4.0, Lamniformes
 Mitsukurina,5.0, Mitsukurinidae
 Mitsukurina owstoni,6.0, Mitsukurina
 Megachasmidae,4.0, Lamniformes
 Megachasma,5.0, Megachasmidae
 Megachasma pelagios,6.0, Megachasma
 Pseudocarchariidae,4.0, Lamniformes
 Pseudocarcharias,5.0, Pseudocarchariidae
 Pseudocarcharias kamoharai,6.0, Pseudocarcharias
 Alopiidae,4.0, Lamniformes
 Isurus,5.0, Lamnidae
 Isurus paucus,6.0, Isurus
 Isurus oxyrinchus,6.0, Isurus
 Carcharodon,5.0, Lamnidae
 Carcharodon carcharias,6.0, Carcharodon
 Lamna,5.0, Lamnidae
 Lamna ditropis,6.0, Lamna
 Lamna nasus,6.0, Lamna
 Cetorhinus,5.0, Cetorhinidae
 Cetorhinus maximus,6.0, Cetorhinus
 Alopias,5.0, Alopiidae
 Alopias superciliosus,6.0, Alopias
 Alopias pelagicus,6.0, Alopias
 Alopias vulpinus,6.0, Alopias
 Carcharhiniformes,3.0, Elasmobranchii
 Leptochariidae,4.0, Carcharhiniformes
 Leptocharias,5.0, Leptochariidae
 Leptocharias smithii,6.0, Leptocharias
 Hemigaleidae,4.0, Carcharhiniformes
 Chaenogaleus,5.0, Hemigaleidae
 Chaenogaleus macrostoma,6.0, Chaenogaleus
 Hemigaleus,5.0, Hemigaleidae
 Hemigaleus australiensis,6.0, Hemigaleus
 Hemigaleus microstoma,6.0, Hemigaleus
 Paragaleus,5.0, Hemigaleidae
 Paragaleus pectoralis,6.0, Paragaleus
 Paragaleus randalli,6.0, Paragaleus
 Hemipristis,5.0, Hemigaleidae
 Hemipristis elongata,6.0, Hemipristis
 Scyliorhinidae,4.0, Carcharhiniformes
 Scyliorhinus,5.0, Scyliorhinidae
 Scyliorhinus retifer,6.0, Scyliorhinus
 Scyliorhinus capensis,6.0, Scyliorhinus
 Scyliorhinus canicula,6.0, Scyliorhinus
 Scyliorhinus stellaris,6.0, Scyliorhinus
 Scyliorhinus torazame,6.0, Scyliorhinus
 Figaro,5.0, Scyliorhinidae
 Figaro boardmani,6.0, Figaro
 Poroderma,5.0, Scyliorhinidae
 Poroderma africanum,6.0, Poroderma
 Poroderma pantherinum,6.0, Poroderma
 Parmaturus,5.0, Scyliorhinidae
 Parmaturus xaniurus,6.0, Parmaturus
 Galeus,5.0, Scyliorhinidae
 Galeus murinus,6.0, Galeus
 Galeus eastmani,6.0, Galeus
 Galeus sauteri,6.0, Galeus
 Galeus polli,6.0, Galeus
 Galeus atlanticus,6.0, Galeus
 Galeus melastomus,6.0, Galeus
 Galeus arae,6.0, Galeus
 Cephaloscyllium,5.0, Scyliorhinidae
 Cephaloscyllium pictum,6.0, Cephaloscyllium
 Cephaloscyllium umbratile,6.0, Cephaloscyllium
 Cephaloscyllium ventriosum,6.0, Cephaloscyllium
 Cephaloscyllium silasi,6.0, Cephaloscyllium
 Cephaloscyllium laticeps,6.0, Cephaloscyllium
 Cephaloscyllium sufflans,6.0, Cephaloscyllium
 Cephaloscyllium speccum,6.0, Cephaloscyllium
 Cephaloscyllium albipinnum,6.0, Cephaloscyllium
 Cephaloscyllium variegatum,6.0, Cephaloscyllium
 Cephaloscyllium hiscosellum,6.0, Cephaloscyllium
 Cephaloscyllium fasciatum,6.0, Cephaloscyllium
 Schroederichthys,5.0, Scyliorhinidae
 Schroederichthys bivius,6.0, Schroederichthys
 Atelomycterus,5.0, Scyliorhinidae
 Atelomycterus baliensis,6.0, Atelomycterus
