name,TAXRANK
 taxonomic_rank,0000000
 phylum,0000001
 class,0000002
 order,0000003
 family,0000004
 genus,0000005
 species,0000006
 subclass,0000007
 subphylum,0000008
 subgenus,0000009
 species_group,0000010
 species_subgroup,0000011
 species_complex,0000012
 infraorder,0000013
 suborder,0000014
 superclass,0000015
 varietas,0000016
 kingdom,0000017
 superfamily,0000018
 infraclass,0000019
 superorder,0000020
 parvorder,0000021
 superkingdom,0000022
 subspecies,0000023
 subfamily,0000024
 tribe,0000025
 forma,0000026
 superphylum,0000027
 subtribe,0000028
 subkingdom,0000029
 section,0000030
 series,0000031
 bio-variety,0000032
 candidate,0000033
 cultivar,0000034
 cultivar-group,0000035
 denominationclass,0000036
 domain,0000037
 graft-chimaera,0000038
 grex,0000039
 infraphylum,0000040
 infrafamily,0000041
 infragenerictaxon,0000042
 infragenus,0000043
 infrakingdom,0000044
 infraspecies,0000045
 infraspecificTaxon,0000046
 infratribe,0000047
 patho-variety,0000048
 specialform,0000049
 speciesaggregate,0000050
 subvariety,0000051
 subsubvariety,0000052
 subsection,0000053
 subseries,0000054
 subspecificaggregate,0000055
 subsubform,0000056
 supertribe,0000057
 supragenerictaxon,0000058
 subform,0000059
 no_rank,0000060
